Users;mean;std;Performances
0;0.01688003;0.1707117;e3
8;0.02779095;0.2135962;e2
29;0.1056804;0.2815737;e1
41;0.07852042;0.2168312;e3
50;0.1377463;0.2626468;e1
113;0.003181564;0.2024985;e2
160;0.03026198;0.2621959;e1
194;0.08494683;0.231976;e2
208;-0.04885999;0.2634187;e1
211;0.06038876;0.2605178;e2
278;0.1486109;0.2868135;e1
311;0.06772225;0.1874056;e2
353;0.04097526;0.2665427;e1
364;-0.02115815;0.2302559;e2
378;0.06928708;0.181154;e3
388;0.07679411;0.2173123;e2
418;-0.001240989;0.2161613;e2
456;0.1725735;0.3357726;e1
495;0.06679858;0.2450711;e2
546;0.0745371;0.2959014;e1
548;0.0568744;0.1688606;e3
555;0.02568569;0.2159159;e2
573;0.01687561;0.1737089;e3
640;0.03938837;0.2167841;e1
661;0.07119172;0.2572097;e2
666;0.02770502;0.2474419;e2
710;-0.0511006;0.2271527;e2
740;0.07686643;0.2355742;e1
841;0.05147231;0.3485196;e1
851;0.08773486;0.2799563;e1
922;0.08575811;0.2847673;e1
