Users;mean_h1;mean_h3;std_h1;std_h3;Performance
0;0.04440068;0.02697674;0.1424457;0.1510291;e3
8;0.08046565;0.02476938;0.2127846;0.2381774;e2
29;0.03339107;0.06790328;0.1948863;0.2771851;e1
41;0.04280447;0.04385757;0.1565816;0.1857059;e3
50;0.1228401;0.1115296;0.2064373;0.2905679;e1
113;0.03242024;-0.002080549;0.2203254;0.2070041;e2
160;0.0837386;-0.03032562;0.2411662;0.2628998;e1
194;0.1716819;0.02302492;0.1975593;0.1958687;e2
208;-0.02751897;-0.05974947;0.2170595;0.2646319;e1
211;0.06694894;0.06765308;0.1656617;0.3120949;e2
278;0.1507626;0.07906367;0.291494;0.3681224;e1
311;0.1312305;0.1080186;0.2061283;0.24347;e2
353;0.06930003;0.002404077;0.2345031;0.3130578;e1
364;0.0369807;-0.04504833;0.2085332;0.2558212;e2
378;0.07370278;0.08344284;0.1717569;0.2595668;e3
388;0.09003066;-0.001312827;0.2226109;0.2185783;e2
418;-0.02871045;-0.05238244;0.2473002;0.307298;e2
456;0.2405;0.1485488;0.331376;0.4356924;e1
495;0.02914337;0.01702615;0.2128988;0.2575386;e2
546;0.1194386;0.04004657;0.2512611;0.345304;e1
548;0.0674684;0.006661861;0.1668102;0.2137174;e3
555;-0.011796;-0.06511151;0.1852103;0.2601122;e2
573;-0.01843097;-0.0114498;0.158778;0.2186612;e3
640;0.1471194;0.06270906;0.2859773;0.3395211;e1
661;0.1218267;0.07837281;0.188587;0.2711809;e2
666;0.01172722;-0.04449573;0.2496679;0.2320342;e2
710;-0.03640358;-0.1010375;0.2141662;0.2631424;e2
740;0.07853721;0.05957157;0.2339919;0.3533798;e1
841;0.0610601;0.2532768;0.233235;0.3641987;e1
851;0.04729174;0.06775614;0.2587009;0.2684791;e1
922;0.08220182;0.04703178;0.223226;0.2574822;e1
