users;mean_err;std_err;expertise
0;0.02611971;0.1604222;e3
8;0.03834434;0.2192447;e2
29;0.08244873;0.2654587;e1
41;0.06393971;0.1999281;e3
50;0.1298355;0.2573811;e1
113;0.008150753;0.2073055;e2
160;0.0287931;0.2606597;e1
194;0.09180679;0.222625;e2
208;-0.04612166;0.2541473;e1
211;0.06314296;0.2525772;e2
278;0.1363282;0.3054557;e1
311;0.08915917;0.2052263;e2
353;0.03980487;0.2702325;e1
364;-0.01366594;0.2325344;e2
378;0.07291349;0.196727;e3
388;0.06483588;0.2208767;e2
418;-0.01704192;0.2434382;e2
456;0.1818236;0.3576362;e1
495;0.04908377;0.2418074;e2
546;0.07835069;0.2973758;e1
548;0.05013323;0.1784324;e3
555;0.001233632;0.2212156;e2
573;0.003944927;0.1808121;e3
640;0.06652331;0.2615618;e1
661;0.08286346;0.2481363;e2
666;0.01122461;0.2464824;e2
710;-0.05736245;0.232583;e2
740;0.07384516;0.2623207;e1
841;0.0850893;0.3396096;e1
851;0.07537248;0.2737154;e1
922;0.07752594;0.2678919;e1
