u;exp;be_dist_it_all_mean_1;be_dist_it_all_mean_2;be_dist_it_all_mean_3;be_dist_it_all_mean_4;be_dist_it_all_std_1;be_dist_it_all_std_2;be_dist_it_all_std_3;be_dist_it_all_std_4
0;exp_1;0.06023678;0.04989082;0.01813805;0.04211359;0.2079542;0.1883426;0.1739168;0.1813465
8;exp_1;0.04805449;0.1220004;0.05563257;0.07368334;0.2800239;0.2320644;0.2544907;0.3026236
29;exp_1;0.003033296;0.08517367;0.03503045;0.02221948;0.2443466;0.2865507;0.2546;0.2390774
41;exp_1;0.07196536;0.1362654;0.09411487;0.08293948;0.1943487;0.26471;0.2654698;0.2331945
50;exp_1;0.02439956;0.08480535;0.05789141;-0.03189769;0.2465391;0.2491231;0.2219025;0.191445
113;exp_1;-0.01166231;0.01889475;0.005273641;-0.01919557;0.2660724;0.2596505;0.2147306;0.2143331
160;exp_1;0.2118525;0.2960321;0.1838004;0.1799129;0.2800117;0.300667;0.2901661;0.3684727
194;exp_1;-0.003541898;-0.02902579;-0.03697851;-0.02720913;0.2881396;0.3016248;0.255986;0.2936763
208;exp_1;0.06364258;0.08317152;0.06128729;0.01363668;0.2777698;0.2930138;0.322434;0.2885256
211;exp_1;0.03803584;0.06754997;0.03497801;0.0818935;0.1752505;0.1983219;0.1953431;0.2321721
278;exp_1;0.04282426;0.05330851;0.01434185;0.04284449;0.2335175;0.2150922;0.2286405;0.2436684
311;exp_1;0.04380638;0.04208467;0.02524878;0.03048597;0.1848425;0.2406204;0.2228408;0.2019083
353;exp_1;0.002249579;0.04404276;-0.01393888;-0.02274864;0.2303127;0.2355135;0.2399282;0.2553095
364;exp_1;0.1579617;0.08299012;0.08927839;0.1451807;0.3608755;0.274109;0.2930474;0.4780677
378;exp_1;0.05851302;0.04532662;0.07545282;0.05595745;0.2709403;0.2408792;0.2360774;0.2322985
388;exp_1;0.09080549;0.09852824;-0.01276133;0.1103146;0.2857614;0.3318049;0.2948782;0.3291771
418;exp_1;0.03672761;0.10883;0.0716556;0.06887017;0.1880621;0.2416;0.2218939;0.1966834
456;exp_1;0.09551185;0.1612206;0.1604043;0.1341807;0.2554717;0.2520923;0.3223868;0.3098713
495;exp_1;-0.01104913;0.0469547;-0.01583113;0.06141741;0.1836488;0.2066914;0.17058;0.1766634
546;exp_1;0.04889915;0.1068396;0.03640864;0.04268407;0.2894781;0.2894922;0.2722342;0.2990033
548;exp_1;0.04228045;0.04915235;0.04393531;0.04552418;0.2281583;0.2527414;0.2208352;0.2335832
555;exp_1;0.0298215;0.02440343;0.02116924;-0.02042513;0.2818696;0.2735139;0.2265907;0.2643088
573;exp_1;0.03471439;0.002010166;0.08056913;0.02631269;0.2747684;0.2587036;0.2238373;0.2057457
640;exp_1;0.04511637;0.09144588;0.1181264;0.2022195;0.241569;0.2755558;0.3006476;0.3578196
661;exp_1;0.1121668;0.1165559;0.03038272;0.07092555;0.22868;0.2653219;0.2902708;0.2455261
666;exp_1;0.05206072;0.06188918;-0.04624306;0.01668029;0.2526899;0.2526781;0.2332168;0.2544127
710;exp_1;-0.01134321;0.04497302;0.01413849;0.03471914;0.1720718;0.2134721;0.2024681;0.2088995
740;exp_1;-0.009946205;0.03032557;0.000479474;0.02681721;0.249297;0.3193147;0.2514117;0.3725586
