Users;z_th1;z_th2;z_th3
0;1.175468;1.426231;1.660937
8;1.148863;1.393721;1.630617
29;1.200118;1.42955;1.692126
41;1.145131;1.405365;1.655458
50;1.183651;1.422062;1.697356
113;1.195888;1.429304;1.685599
160;1.185478;1.40388;1.662881
194;1.156093;1.380031;1.632433
208;1.206669;1.447005;1.703505
211;1.153008;1.410775;1.674259
278;1.142755;1.402103;1.63923
311;1.146114;1.394661;1.64818
353;1.176918;1.438215;1.687384
364;1.196741;1.436545;1.688049
378;1.178306;1.425029;1.668018
388;1.192719;1.43586;1.68421
418;1.161423;1.407723;1.6558
456;1.206898;1.446202;1.689036
495;1.175257;1.432305;1.656994
546;1.161656;1.421695;1.675802
548;1.150782;1.398605;1.668856
555;1.162999;1.389416;1.663206
573;1.169307;1.41808;1.661124
640;1.202613;1.425205;1.695157
661;1.178065;1.413247;1.66292
666;1.184438;1.412644;1.667292
710;1.172337;1.395589;1.663673
740;1.168139;1.419901;1.649229
841;1.177524;1.405646;1.680596
851;1.18725;1.423563;1.683749
922;1.201072;1.443414;1.686003
