Var1;K_ph_med_1;K_ph_med_2;K_ph_med_3;K_ph_notch_1;K_ph_notch_2;K_ph_notch_3;Performance
0;168.383914;191.9494358;258.5467932;50.53474599;49.85056433;136.5998356;e3
8;106.5912531;128.1550955;479.2429553;122.4970409;36.53835286;159.170043;e2
29;195.1027819;169.9448348;339.9744334;79.82360631;41.74840852;119.521463;e1
41;118.0961428;166.7751165;260.5021665;63.70860523;74.30864325;81.74544151;e3
50;132.4857389;140.4508778;372.5000897;103.3447762;50.49670188;104.612841;e1
113;119.3976486;177.3608994;535.7765513;141.5653497;80.71201168;83.80369754;e2
160;95.66366356;135.3394078;304.3382441;77.57743861;56.8817951;46.76332806;e1
194;164.1750749;122.3165055;507.4575271;124.9723236;101.1268944;129.0131851;e2
208;365.0887494;87.50306505;751.4357901;194.2175862;46.20258198;53.43780944;e1
211;74.15223541;147.8602895;140.0580127;34.92632811;76.38624202;144.9028993;e2
278;201.0720368;103.7207953;673.3389061;181.2210043;31.45079505;45.54068338;e1
311;90.20598883;236.2109478;440.7178722;110.8502114;77.25265203;97.40217628;e2
353;94.65545542;175.4866526;405.423898;104.560507;52.41868823;96.39523453;e1
364;88.51464564;190.8371605;361.439056;95.15094528;88.7546517;122.6138851;e2
378;112.2328467;198.8944228;306.1721121;85.25103768;58.37346944;188.0476151;e3
388;125.1346427;131.1914329;573.1043651;141.5326002;34.96372088;83.97177064;e2
418;92.39790137;180.4047803;448.6615397;119.0211526;49.90913207;101.9440399;e2
456;204.684618;98.7367103;755.1743724;198.4720998;33.67658959;94.42077636;e1
495;83.25830848;72.44060363;322.0584263;81.13358912;49.02029412;101.5887437;e2
546;111.0041241;241.2337655;331.183464;81.87658207;148.2845707;172.1523919;e1
548;91.17292813;112.0891095;236.5585448;67.26459213;84.95255861;74.68462049;e3
555;81.24626335;176.2946012;136.696748;33.29388803;56.01268905;106.173404;e2
573;63.83105301;148.8532294;445.127734;117.3004769;86.29599818;76.69793173;e3
640;68.38734862;109.8231775;216.1856042;60.29062179;43.4016417;185.6825685;e1
661;59.80571215;73.220153;275.5511649;73.15681954;39.88106528;97.40146499;e2
666;170.2147198;148.2563829;784.3982298;208.307028;72.3614083;125.7914258;e2
710;156.4719726;221.623028;388.9132447;98.43617018;114.8890135;113.0810177;e2
740;127.915318;188.5856536;506.2279223;128.3819468;54.62770864;107.0942361;e1
841;104.4352327;156.2633556;683.1620241;180.260426;60.7861333;87.22755813;e1
851;99.54138219;112.8962433;205.6144687;46.47528957;81.49723109;182.1783821;e1
922;88.086626;101.1638614;314.0185397;78.12714673;54.68504009;92.09815841;e1
