Users,med_ph_1,med_ph_2,med_ph_3,notch_ph_1,notch_ph_2,notch_ph_3,Performances
000,14.9793913389632,12.8140808411654,8.62158440347604,1.44883493823105,1.8806839884195,3.22386932389538,3
008,8.37394283039471,12.0858181951911,7.86710216296531,2.01157595330166,2.40682767092763,3.36344851789143,2
029,9.13395045082238,9.96043703098614,6.82498375173731,2.72771528696879,2.72372019975341,4.05499550308651,1
041,8.53888623943144,11.8530295388169,10.3836935695508,3.42150232747565,2.34376823982768,3.03918190644394,3
050,7.4737877345787,11.6867210299989,9.49487622502643,4.55070541893613,2.11001004583652,3.77745583291376,1
113,5.49311407822412,8.25146266695791,6.40649780473599,3.17141027456565,3.43093362229684,2.97819947058117,2
160,5.5975123900746,13.2808291579704,7.67390596762638,4.28082411572996,2.98767968763735,5.54906271406935,1
194,6.22083419713273,7.38487711698396,8.17845864096881,2.24581808077546,2.32079579243375,3.55163736061378,2
208,9.18251149029926,11.1637312310484,6.92430726613526,1.47736401070544,1.84732139365638,3.56457718367404,1
211,7.81757133215846,7.24188865045631,6.37813905950356,5.14959909811032,2.82060705129614,2.4711200543243,2
278,8.68621001333941,10.6035601850568,1.07877914724155,4.14225943355532,2.46023291205704,3.23151440695479,1
311,8.66758923384937,9.88445311708612,8.22796921753401,1.48244359994712,1.71109585202852,2.12633326694974,2
353,6.10477989248877,14.7161617583362,9.86103141458116,2.84825972865801,3.69060874800554,4.56232260416404,1
364,5.0031814065612,13.8021473085698,9.77400855822,2.5257061528355,2.10698437672363,9.29433274836392,2
378,7.16785249569317,17.1636571072833,8.24996179223676,2.63623068345439,4.43695802250388,2.58377359700655,3
388,12.6725173697192,10.6129820821717,8.08182969289904,1.21838597239572,1.4963837229713,2.41938472408798,2
418,8.52164145157595,11.6413179511965,6.75764245711392,2.55487545126402,1.56099709241885,2.93668819662374,2
456,12.9275926124391,8.46969476432549,5.36775064194284,3.69576439100643,1.11854690377782,2.41406916656457,1
495,8.38563765767301,7.6494165885947,6.14235997743997,1.07358948742851,1.25735832255447,2.61347052684846,2
546,7.29260345387644,10.0963649044043,6.59314907680409,4.43099354937274,2.49121599441484,3.65821345338688,1
548,2.07485055382922,6.853200909553,4.76701831616018,3.73663376675547,3.98206587881716,2.9896244447719,3
555,8.07977032812125,9.83093265896802,6.27566238164296,4.35560028761148,2.58441569607497,2.58775272754021,2
573,9.10268685175203,15.1231927479438,11.9515854985916,2.18159821188563,2.56960826442123,2.13542736716912,3
640,8.82135161536855,9.76617182929567,8.36733988804179,1.01067530848281,1.28637353317972,4.5399183346576,1
661,3.14524595452111,6.92900231369247,4.46030776085837,2.8149636282778,1.84859516328945,2.31944514303838,2
666,4.74357363524675,10.4016274607091,5.88460420723414,3.64337842944591,2.88657615857264,3.54987356697308,2
710,-1.44844021371759,11.8926729778011,7.96750261424732,3.63017017369936,3.88164502414026,4.14540929405795,2
740,9.33098822772842,10.9299849130924,9.09423232766774,2.256385499295,1.47589790018519,3.19120547426605,1
841,3.71138227488367,12.046335889116,6.53590288195644,4.55415389623736,3.80200639149662,3.38810770709546,1
851,7.93391492780102,10.7494044637476,7.89192743878411,3.79002214388885,1.69617932706159,5.75183487462055,1
922,10.5232266249566,10.9493296327622,10.2348111669651,3.46728309032715,1.87955424704589,2.8773401756115,1
