Users;med_ph_1;med_ph_2;med_ph_3;notch_ph_1;notch_ph_2;notch_ph_3;Performances
0;14.99550659;12.85803158;10.14837296;1.433144641;1.90897991;2.138297874;3
8;9.21983356;12.23755499;10.34467248;1.949117715;2.220848072;3.348722573;2
29;9.353532427;11.04073429;9.097335812;2.515556408;2.646761419;2.71126924;1
41;10.20282243;14.43757043;10.83009703;4.150240594;2.765320649;2.631676219;3
50;12.24015345;13.78256697;11.08094626;3.360114073;1.528367307;3.413151955;1
113;8.298153777;12.08901566;7.9001682;3.197058032;3.010180842;2.379653042;2
160;11.83663245;14.7637824;12.3145648;3.588519137;2.924096304;3.615860195;1
194;8.316247159;8.760986626;8.406690025;2.416711457;2.654752122;2.439853913;2
208;9.165123485;11.07043573;8.85646958;1.517747864;1.865170552;2.516869606;1
211;10.20433963;9.41112188;7.992909092;3.678624352;2.646699676;2.178586166;2
278;12.40435409;10.86197479;6.687015656;3.261253742;2.107823105;3.25905088;1
311;8.809036937;10.60701163;8.663020291;1.578410565;1.577801875;1.604568759;2
353;9.600696982;15.33855332;11.8830561;3.438163313;2.714052649;3.843328915;1
364;7.032932962;14.32881636;17.07417519;2.214185499;2.417349372;4.76873548;2
378;11.21283975;17.50991614;8.848508454;2.348866569;3.443021789;1.894787537;3
388;12.93828528;10.614404;8.632620926;1.274809488;1.414888576;1.386210655;2
418;10.69801274;11.90232321;10.04998516;2.16316491;1.624540731;3.226464813;2
456;14.89641773;8.473601767;8.935456211;2.670725732;1.146711107;1.982275076;1
495;8.737303961;7.924896187;8.772893874;1.145197961;1.225552361;2.544326053;2
546;10.41054125;11.33199055;10.50518896;4.068328819;2.669176626;3.633136003;1
548;8.819272138;8.464270349;8.849163198;3.953370403;3.160060204;3.099529816;3
555;8.675177314;9.919791438;6.846789874;4.452524228;2.481565248;2.001488721;2
573;9.313455108;15.26890687;13.49866145;2.192794015;2.635411683;1.999685402;3
640;8.907145578;10.16141759;11.79468255;1.167859352;1.201445979;2.956999663;1
661;8.505661552;7.525345344;7.428752936;2.538524586;1.828151407;2.126912711;2
666;9.687897525;10.70371757;9.22302712;4.080996168;2.599980944;3.416689235;2
710;3.516156168;12.67664196;9.241838557;3.523250452;3.819110673;3.935705576;2
740;10.26068924;11.43203546;11.2679653;1.830234221;1.518349204;2.274879861;1
841;10.5196454;14.30148746;8.246633011;3.905226068;3.202359074;2.966301097;1
851;10.36569663;11.72567392;9.899780975;4.729016115;1.714970111;4.755394677;1
922;11.86859149;12.54469669;11.37561848;3.430638315;1.43522932;2.867033985;1
