Users,med_1,med_2,notch_1,notch_2,Expertise
000,16.3857677061237,16.7525255177505,1.14653322452097,2.24346106480702,3
008,10.4858736943898,13.1954324621065,3.32055004987464,4.4765975055232,2
029,10.0158170435554,12.0815225004083,2.82251018953535,2.83107838553401,1
041,12.2118415159227,12.0822978599853,4.03130241462981,2.47091317104591,3
050,10.5986399646657,10.0215088774048,2.66630039342355,1.2306196943538,1
113,5.70029989291761,10.3868956479859,2.32906997563878,2.99831734355365,2
160,12.9480427544493,9.77573958783323,1.87317283818612,4.13839939795674,1
194,9.76973345681613,5.33090357015367,2.20144081253362,3.37977922853778,2
208,8.88392952497684,11.8731206068461,1.23576263061796,2.20499191359639,1
211,11.5238238765998,16.4818737627549,4.79244051294979,5.53558011366927,2
278,9.51877348596332,10.209758410237,2.0768577127211,4.16774164822753,1
311,9.17833706812117,9.26168612807944,3.16243421773012,1.78513735863165,2
353,10.4300092081899,9.79492255018126,4.29894296834964,4.38019710289982,1
364,8.69196521832907,7.06973062190749,2.65330137102408,2.93838371905198,2
378,11.5202139234652,12.5278722392373,2.33203546081445,2.52837898907362,3
388,13.1999312959406,11.5933805511748,1.41702834125323,1.68066924864871,2
418,9.84517426857415,3.54301190821797,2.03631184810308,2.89523642803087,2
456,14.6326134239451,14.9582567453232,2.49791841563396,1.97305204320654,1
495,8.33485952549445,11.3381026473725,1.53588208381102,1.94735707393381,2
546,3.86586251787507,8.68531355021544,1.67175344429485,3.4226477299508,1
548,7.49539810816516,4.7734610680101,2.96992543864202,3.84198101366067,3
555,5.3499290444217,9.59849406956332,2.665647608453,3.83338760015594,2
573,5.03595915581208,13.1312469545994,1.96786146961387,3.28165146418276,3
640,9.6620818996103,9.04875545799074,2.20155502914953,1.6223980959984,1
661,9.08922355374342,5.79558985116843,1.51838109751023,3.11137167527168,2
666,8.39020068192252,9.21307845555873,2.89852637383354,2.67952021710937,2
710,2.21335037003385,6.20395303343406,5.01672349435584,4.29027371872047,2
740,7.96349990818818,9.25228138883496,2.05998256419715,2.17685494048548,1
841,7.59694592128297,11.1857607403785,2.39759749382001,2.09860894918132,1
851,9.05704995195924,13.7791481286147,2.50016851889637,3.14869857209286,1
922,8.68643058621619,13.9835655250901,4.86704959149949,3.83624047002981,1
