Users;med_ph_1;med_ph_2;med_ph_3;notch_ph_1;notch_ph_2;notch_ph_3;Performances
0;151.0138567;194.2833651;163.6045673;33.95319026;29.93637468;51.94817899;3
8;135.5376498;191.7013301;196.6909551;90.94665342;60.3955558;41.99635245;2
29;95.05713792;77.8791874;294.7015791;208.4810326;30.03977594;143.4553096;1
41;180.0443943;138.7615306;218.0369885;148.0349974;58.16256117;76.04221003;3
50;106.7298883;147.9769492;327.8116785;67.45814869;36.83693857;84.17208219;1
113;77.48875463;106.4920413;122.6802939;70.337224;53.55650323;94.19146427;2
160;240.1477083;343.6395214;266.9611683;148.3626262;99.75862466;84.07782387;1
194;95.81003541;116.487437;165.4936845;157.4971381;40.44866664;56.11867973;2
208;107.3394469;122.5770823;119.4090725;24.34570197;57.89166771;75.26400821;1
211;445.127734;106.6450925;140.2418096;247.5818361;39.832168;49.8034913;2
278;82.54521622;95.85993665;145.1363288;85.91685978;61.35386565;69.4472357;1
311;96.43777712;174.3288009;163.0773308;86.51221027;42.86668373;32.91474002;2
353;53.43833304;249.5960283;131.5752865;22.89771503;88.6607537;195.121124;1
364;65.90976943;211.4300966;219.7872231;49.58993481;68.72611865;76.41165887;2
378;67.04997199;267.4552029;200.627744;23.27862619;70.75459815;83.92695164;3
388;127.6617619;131.7090798;147.538178;85.16530932;39.26842746;113.5910923;2
418;57.16725612;118.1093349;168.0293536;32.49423993;39.21386733;61.84932941;2
456;179.050856;112.789246;113.6885964;83.73012173;22.30474332;65.10027436;1
495;88.43165191;94.37852047;135.3835406;80.96123265;33.17184266;57.86469713;2
546;109.8628972;138.3399727;178.7369889;191.8161398;49.22298508;111.796344;1
548;95.46360674;61.90596939;249.7979821;44.9829954;53.93254659;82.59264325;3
555;188.2407685;191.520437;139.1330731;67.56762967;50.90495809;84.25669037;2
573;71.05835583;256.5073916;220.8316185;120.252423;69.76896031;65.44597475;3
640;73.26134236;105.7476071;219.4971821;21.34892003;29.90340615;75.93242976;1
661;70.7809527;75.89992156;177.0003716;47.59182822;33.67762295;62.61533516;2
666;81.28765606;163.7301981;216.4772996;60.17246941;57.44959064;103.0424744;2
710;222.8438717;289.4830768;276.0070943;135.9128342;91.89909472;89.96707934;2
740;72.37999991;162.8046009;135.1954117;58.16951584;40.92854644;63.21164596;1
841;136.1236812;131.9550401;190.5977174;138.4960689;62.76764055;58.51396986;1
851;199.0804398;224.3482731;362.732262;90.49080926;82.14086469;74.64183834;1
922;91.29789999;147.4418159;128.277542;46.33203296;23.93241452;44.60842824;1
