Users;med_1;med_2;notch_1;notch_2;Expertise
0;139.0534028;159.3092233;35.87513057;35.72536943;3
8;115.6814821;265.0287331;112.3320484;150.6005551;2
29;52.41344221;110.3855289;84.47468036;133.4767217;1
41;151.4896833;293.1920444;65.27164153;124.8947448;3
50;72.25514163;88.46702573;50.47050562;30.02178245;1
113;88.54261399;86.11093495;52.41461606;64.90027683;2
160;85.03631292;134.1042019;37.06853346;161.5599097;1
194;75.90690333;76.61284766;39.61595943;141.8343865;2
208;93.67273633;82.80201705;25.38139231;25.91754057;1
211;117.5772291;163.5673358;80.31684094;65.68218587;2
278;57.50895456;159.5535979;49.92851476;86.17613218;1
311;56.61750798;82.44206841;41.08372207;65.08368453;2
353;113.8027646;84.51849693;172.9167501;114.9006866;1
364;61.37748969;62.61303415;73.91883244;28.36240907;2
378;71.73137269;69.60247409;43.56039329;21.48917121;3
388;113.1217989;99.64759471;47.28210427;55.72580459;2
418;76.46739995;44.88965958;50.16126314;114.5341688;2
456;88.31794621;191.9251135;70.33781357;59.61411148;1
495;75.97755488;110.2535732;47.37527297;81.84509481;2
546;103.4399036;109.986183;80.21941314;52.23617222;1
548;101.3833058;73.25771404;65.2576667;56.68740921;3
555;131.8287651;150.0503253;112.9670906;242.330021;2
573;145.2350704;98.1365075;124.6627167;41.97879744;3
640;134.292289;99.27525604;52.90297663;37.07300459;1
661;127.5258737;97.58001301;56.78135798;78.44847936;2
666;101.6797606;90.12418647;148.4730552;60.86051565;2
710;400.59655;220.2493448;250.5105414;196.4280757;2
740;156.6885491;58.53769805;87.13493911;95.7623;1
841;94.3881042;93.56864757;45.21318844;39.23385452;1
851;148.4286504;120.8216884;50.04725716;132.7820246;1
922;104.9396994;154.0519652;127.4763098;155.1284081;1
