Users;med_ph_1;med_ph_2;med_ph_3;notch_ph_1;notch_ph_2;notch_ph_3;Performances
0;0.349299463;0.374116243;0.412723398;0.028562416;0.021190374;0.035221066;3
8;0.39661951;0.337130013;0.330687832;0.042650479;0.018708481;0.035997448;2
29;0.581101829;0.45515606;0.585114802;0.105492109;0.035140888;0.071097256;1
41;0.603307499;0.374750939;0.472261294;0.080294651;0.044530256;0.059602549;3
50;0.583009593;0.445645098;0.521572672;0.0760306;0.05831191;0.062180856;1
113;0.409551464;0.417370337;0.469272045;0.042934762;0.032058147;0.050865559;2
160;0.5484982;0.507371315;0.679860945;0.056565212;0.062721959;0.101716454;1
194;0.504617695;0.328458773;0.369751876;0.061038232;0.020782233;0.030742417;2
208;0.328108527;0.305558348;0.320768488;0.025019776;0.020572438;0.041602577;1
211;0.5449723;0.324264102;0.352430903;0.104609573;0.025745591;0.048558039;2
278;0.50782921;0.433223135;0.477738536;0.059241916;0.029236987;0.046246035;1
311;0.298956137;0.302313572;0.345309807;0.031427447;0.022419062;0.027416993;2
353;0.36406797;0.375547659;0.533577718;0.036226985;0.025786663;0.108702733;1
364;0.421785145;0.450124494;0.531057633;0.043799921;0.059962673;0.119985326;2
378;0.483001205;0.511434046;0.507528061;0.043134218;0.050939766;0.04878019;3
388;0.258670508;0.252031738;0.335401863;0.01900984;0.013396732;0.031444504;2
418;0.363203889;0.2717181;0.411983609;0.021634525;0.016614645;0.072861691;2
456;0.325781215;0.228703396;0.292551708;0.057777489;0.012252542;0.035206155;1
495;0.263291715;0.227024761;0.270485924;0.022181772;0.017983976;0.03569381;2
546;0.412507659;0.312798576;0.364665234;0.076206483;0.021178847;0.040177923;1
548;0.471865547;0.468544844;0.537003574;0.058174851;0.059492557;0.053319932;3
555;0.59244773;0.515684569;0.538643209;0.092184402;0.042931296;0.036370941;2
573;0.572400467;0.404004751;0.481983777;0.073082267;0.022520657;0.037501616;3
640;0.302355513;0.272370337;0.4118756;0.021501616;0.014082298;0.034527586;1
661;0.325982862;0.294614991;0.356367621;0.028341471;0.020022798;0.042008377;2
666;0.523829033;0.427156151;0.534878304;0.069565834;0.048887773;0.089312148;2
710;0.814590394;0.698461904;0.688259278;0.167101844;0.044439665;0.082145796;2
740;0.293976744;0.25836637;0.38122518;0.016821436;0.02433996;0.052487029;1
841;0.570713696;0.423342847;0.531984109;0.090886436;0.03260179;0.049252417;1
851;0.635478563;0.532982978;0.567369798;0.036310221;0.049786737;0.084040246;1
922;0.417422959;0.315890717;0.416256195;0.042132581;0.024894961;0.030341267;1
