Users;med_ph_1;med_ph_2;med_ph_3;notch_ph_1;notch_ph_2;notch_ph_3;Performances
0;0.980071059;0.973924381;0.971203157;0.011483918;0.009700822;0.01817579;3
8;0.965356216;0.968537909;0.973155847;0.01809096;0.01804935;0.016896147;2
29;0.897947891;0.96193127;0.942026792;0.060502201;0.022326845;0.02770801;1
41;0.93859979;0.968325896;0.967610148;0.050450854;0.021257915;0.020855419;3
50;0.921858812;0.963215107;0.959680423;0.058011597;0.013402808;0.03123356;1
113;0.930112516;0.975598632;0.932605982;0.035066097;0.025325071;0.032274391;2
160;0.907190673;0.962852379;0.929963286;0.053083805;0.031221384;0.072731031;1
194;0.925101419;0.954175364;0.986201476;0.03840679;0.040483321;0.023639179;2
208;0.972949608;0.973653754;0.965734901;0.016523744;0.006653848;0.021281716;1
211;0.890453292;0.966998884;0.963198943;0.054265344;0.017551045;0.027817005;2
278;0.943694852;0.976448997;0.968099757;0.029993046;0.023768554;0.02904895;1
311;0.950811514;0.983142001;0.975345005;0.018242616;0.01101065;0.007687315;2
353;0.928485951;0.980150775;0.963360149;0.024323754;0.013372883;0.028566097;1
364;0.920229558;0.958502732;0.975477515;0.046326466;0.015632732;0.051483243;2
378;0.933648574;0.981943539;0.967026712;0.053759872;0.013533177;0.03265416;3
388;0.969459738;0.968180732;0.975062205;0.009807035;0.024028507;0.024660261;2
418;0.933653404;0.976442911;0.968534357;0.035253866;0.008673468;0.033840513;2
456;0.96309785;0.970212792;0.976546033;0.022960867;0.008191387;0.027940358;1
495;0.957877414;0.947440367;0.960887384;0.020889441;0.020660353;0.051008178;2
546;0.911605825;0.979001039;0.944969114;0.034137881;0.017055613;0.021723051;1
548;0.934093702;0.952696358;0.952617777;0.033639472;0.043324418;0.024408717;3
555;0.942949252;0.978705888;0.956048859;0.041819767;0.012901932;0.012590969;2
573;0.90835874;0.977430594;0.97395204;0.044743449;0.009267504;0.00969991;3
640;0.959374607;0.975774315;0.94690743;0.015882167;0.007212767;0.062767258;1
661;0.961242166;0.963532683;0.970061459;0.042887528;0.020825671;0.031204368;2
666;0.892957132;0.939638522;0.927664114;0.029209799;0.033749115;0.032526894;2
710;0.888610561;0.932576945;0.919710324;0.063459935;0.020509663;0.04173534;2
740;0.980112145;0.976393301;0.981722273;0.019694356;0.00903396;0.008801446;1
841;0.894444948;0.96890988;0.965078638;0.042815409;0.015932118;0.046967521;1
851;0.942151822;0.963176693;0.958377363;0.02542046;0.028306525;0.061479463;1
922;0.938786152;0.98146712;0.97735217;0.053750449;0.009825453;0.010075035;1
