Users;med_1;med_2;notch_1;notch_2;Expertise
0;0.980662497;0.978790685;0.005945524;0.005117655;3
8;0.943085624;0.913137739;0.035152467;0.070820004;2
29;0.957724742;0.953370818;0.028066581;0.02720573;1
41;0.885805739;0.937683724;0.087735519;0.042507179;3
50;0.9165815;0.94470746;0.030613013;0.023948288;1
113;0.921950001;0.953363359;0.040857657;0.057786949;2
160;0.955053814;0.895372464;0.020773793;0.070529919;1
194;0.91625494;0.916717677;0.047306446;0.040915415;2
208;0.948915677;0.962934563;0.017206483;0.01874656;1
211;0.957389102;0.921644392;0.025501351;0.054644649;2
278;0.957856758;0.948616463;0.033743495;0.034098432;1
311;0.942692201;0.920544428;0.066465754;0.034165258;2
353;0.919432091;0.830404669;0.046446521;0.057709362;1
364;0.949222595;0.947853903;0.043842264;0.048903237;2
378;0.952207339;0.948717443;0.025472258;0.019269238;3
388;0.982173204;0.951262732;0.011684081;0.02190771;2
418;0.952992343;0.896278634;0.032687529;0.091495756;2
456;0.957319854;0.96347987;0.024451245;0.031889602;1
495;0.926116363;0.966488699;0.034936273;0.034546151;2
546;0.905029284;0.947319851;0.067716186;0.033376925;1
548;0.943891971;0.894871614;0.03590459;0.041237448;3
555;0.94945076;0.89859287;0.038756725;0.027054503;2
573;0.934289809;0.928490243;0.029517777;0.03860974;3
640;0.959761714;0.957167971;0.025322098;0.029179299;1
661;0.961638913;0.953206547;0.023471835;0.021117171;2
666;0.884623684;0.90608317;0.047595885;0.04929335;2
710;0.91776795;0.901811832;0.049336253;0.03932445;2
740;0.945406315;0.899758635;0.036641466;0.056091667;1
841;0.94674269;0.893305525;0.043175737;0.037815872;1
851;0.913470161;0.944493447;0.033058595;0.031917352;1
922;0.826363647;0.93537652;0.088061114;0.062568095;1
