t,paddle,ball
75,-0.017064,1.2848
75.02,-0.024531,1.32
75.04,-0.031334,1.3507
75.06,-0.039353,1.378
75.08,-0.046142,1.4011
75.1,-0.053094,1.4206
75.12,-0.060778,1.4362
75.14,-0.068071,1.4477
75.16,-0.075633,1.4552
75.18,-0.082471,1.4589
75.2,-0.088941,1.4587
75.22,-0.094987,1.4545
75.24,-0.10066,1.4463
75.26,-0.10574,1.4345
75.28,-0.11013,1.4186
75.3,-0.1142,1.3986
75.32,-0.11722,1.3749
75.34,-0.11988,1.3471
75.36,-0.12199,1.3155
75.38,-0.12293,1.2804
75.4,-0.12385,1.2406
75.42,-0.1279,1.1968
75.44,-0.13304,1.1496
75.46,-0.13322,1.0987
75.48,-0.13003,1.0435
75.5,-0.12693,0.98442
75.52,-0.12225,0.92124
75.54,-0.1151,0.8546
75.56,-0.10601,0.78366
75.58,-0.095756,0.70829
75.6,-0.086888,0.62941
75.62,-0.076989,0.547
75.64,-0.06778,0.46094
75.66,-0.056368,0.37044
75.68,-0.04258,0.27469
75.7,-0.028443,0.17832
75.72,-0.013537,0.075675
75.74,0.0012254,0.10464
75.76,0.015772,0.20262
75.78,0.028898,0.29268
75.8,0.039936,0.38275
75.82,0.049342,0.46628
75.84,0.05637,0.54608
75.86,0.060562,0.6217
75.88,0.061742,0.69558
75.9,0.061103,0.76303
75.92,0.05826,0.82786
75.94,0.053387,0.88874
75.96,0.045252,0.9453
75.98,0.036404,0.99858
76,0.025659,1.0475
76.02,0.014794,1.0922
76.04,0.0049181,1.1334
76.06,-0.0042042,1.1703
76.08,-0.011804,1.2036
76.1,-0.018014,1.2332
76.12,-0.022902,1.2583
76.14,-0.030098,1.2798
76.16,-0.036486,1.2974
76.18,-0.0436,1.311
76.2,-0.051038,1.3208
76.22,-0.057779,1.3264
76.24,-0.063971,1.3283
76.26,-0.070708,1.3263
76.28,-0.076651,1.3203
76.3,-0.082221,1.3105
76.32,-0.08757,1.2966
76.34,-0.092673,1.2787
76.36,-0.097136,1.2572
76.38,-0.10172,1.2316
76.4,-0.1039,1.2018
76.42,-0.10552,1.1687
76.44,-0.10583,1.131
76.46,-0.1061,1.0897
76.48,-0.10571,1.0458
76.5,-0.10435,0.9963
76.52,-0.10256,0.94262
76.54,-0.099407,0.88563
76.56,-0.095847,0.82461
76.58,-0.091233,0.75987
76.6,-0.086245,0.69136
76.62,-0.079266,0.61831
76.64,-0.072106,0.54197
76.66,-0.063794,0.461
76.68,-0.055454,0.3766
76.7,-0.046319,0.28841
76.72,-0.037306,0.19634
76.74,-0.026797,0.10059
76.76,-0.018257,0.039977
76.78,-0.0084702,0.13034
76.8,0.0017749,0.21396
76.82,0.0107,0.29547
76.84,0.020007,0.37238
76.86,0.028198,0.44568
76.88,0.033656,0.51516
76.9,0.037499,0.58134
76.92,0.039813,0.64162
76.94,0.039731,0.69829
76.96,0.039257,0.75364
76.98,0.037576,0.80297
77,0.032633,0.84879
77.02,0.026534,0.89087
77.04,0.018836,0.92889
77.06,0.01023,0.96308
77.08,0.0019945,0.9927
77.1,-0.0061661,1.0188
77.12,-0.011779,1.0412
77.14,-0.016862,1.0596
77.16,-0.020406,1.074
77.18,-0.024511,1.0845
77.2,-0.028629,1.091
77.22,-0.034282,1.0937
77.24,-0.040111,1.0924
77.26,-0.04579,1.0873
77.28,-0.050523,1.0781
77.3,-0.05426,1.065
77.32,-0.057478,1.0481
77.34,-0.058503,1.0272
77.36,-0.060159,1.0024
77.38,-0.061682,0.97352
77.4,-0.062392,0.94098
77.42,-0.062582,0.90442
77.44,-0.062244,0.86356
77.46,-0.062355,0.81942
77.48,-0.061943,0.77102
77.5,-0.060906,0.71919
77.52,-0.058922,0.66238
77.54,-0.055939,0.60278
77.56,-0.051546,0.53851
77.58,-0.047101,0.4698
77.6,-0.039863,0.39849
77.62,-0.032273,0.32269
77.64,-0.022839,0.2424
77.66,-0.012391,0.15978
77.68,-0.0010555,0.071448
77.7,0.011529,0.11234
77.72,0.023945,0.19292
77.74,0.036913,0.27021
77.76,0.049118,0.34265
77.78,0.060129,0.41239
77.8,0.068858,0.47756
77.82,0.075514,0.53865
77.84,0.07669,0.59575
77.86,0.075754,0.64932
77.88,0.071911,0.69922
77.9,0.063223,0.74452
77.92,0.052395,0.78577
77.94,0.038851,0.82407
77.96,0.026469,0.85771
77.98,0.01589,0.88749
78,0.0071853,0.91351
78.02,0.0010642,0.93546
78.04,-0.0038108,0.95379
78.06,-0.0078509,0.96769
78.08,-0.012661,0.97791
78.1,-0.017615,0.98418
78.12,-0.022431,0.98671
78.14,-0.029794,0.98528
78.16,-0.035473,0.9798
78.18,-0.041353,0.97047
78.2,-0.046402,0.95713
78.22,-0.049784,0.94029
78.24,-0.054135,0.91887
78.26,-0.059313,0.89369
78.28,-0.064873,0.86493
78.3,-0.07072,0.83201
78.32,-0.076064,0.79488
78.34,-0.081067,0.75425
78.36,-0.082982,0.70929
78.38,-0.083662,0.66066
78.4,-0.08159,0.6087
78.42,-0.078952,0.55225
78.44,-0.072999,0.49181
78.46,-0.065044,0.42746
78.48,-0.05598,0.35898
78.5,-0.04607,0.2873
78.52,-0.034627,0.21036
78.54,-0.022223,0.1297
78.56,-0.011522,0.04733
78.58,-0.0011654,0.10414
78.6,0.011364,0.18352
78.62,0.02412,0.258
78.64,0.035195,0.32864
78.66,0.043595,0.39527
78.68,0.048174,0.45963
78.7,0.048315,0.51783
78.72,0.046353,0.57336
78.74,0.042357,0.62349
78.76,0.036587,0.67201
78.78,0.028613,0.71479
78.8,0.019136,0.75377
78.82,0.008501,0.78986
78.84,-0.0023481,0.82176
78.86,-0.01306,0.84948
78.88,-0.021272,0.87306
78.9,-0.02985,0.89281
78.92,-0.037709,0.90886
78.94,-0.045745,0.92095
78.96,-0.057145,0.92891
78.98,-0.068482,0.93319
79,-0.073968,0.93341
79.02,-0.079731,0.92977
79.04,-0.085594,0.92233
79.06,-0.088715,0.91064
79.08,-0.091754,0.89519
79.1,-0.094395,0.87563
79.12,-0.096265,0.8523
79.14,-0.097303,0.82507
79.16,-0.09704,0.79415
79.18,-0.09615,0.75911
79.2,-0.094269,0.72026
79.22,-0.090885,0.67709
79.24,-0.086042,0.63011
79.26,-0.078679,0.57974
79.28,-0.070286,0.5249
79.3,-0.060439,0.46621
79.32,-0.04874,0.403
79.34,-0.036799,0.33611
79.36,-0.021955,0.26712
79.38,-0.0082982,0.19279
79.4,0.0055469,0.11503
79.42,0.020479,0.10417
79.44,0.035415,0.18128
79.46,0.04951,0.25509
79.48,0.060952,0.32434
79.5,0.069907,0.3897
79.52,0.072218,0.45102
79.54,0.071773,0.50964
79.56,0.069251,0.56252
79.58,0.06087,0.6127
79.6,0.050215,0.65831
79.62,0.037532,0.70055
79.64,0.02356,0.73815
79.66,0.010187,0.77239
79.68,-0.0019847,0.80253
79.7,-0.012344,0.8287
79.72,-0.021773,0.85092
79.74,-0.030155,0.86918
79.76,-0.037934,0.88365
79.78,-0.045905,0.89426
79.8,-0.053391,0.90082
79.82,-0.060014,0.90351
79.84,-0.066806,0.9023
79.86,-0.073308,0.89707
79.88,-0.078716,0.88799
79.9,-0.084267,0.87503
79.92,-0.088774,0.85807
79.94,-0.091914,0.8377
79.96,-0.094524,0.81214
79.98,-0.095409,0.78363
80,-0.095938,0.75133
80.02,-0.096052,0.71432
80.04,-0.09507,0.6743
80.06,-0.092298,0.62968
80.08,-0.088206,0.58025
80.1,-0.08165,0.52913
80.12,-0.072622,0.47292
80.14,-0.061634,0.41255
80.16,-0.050604,0.34927
80.18,-0.039169,0.2803
80.2,-0.025536,0.20925
80.22,-0.012273,0.13314
80.24,0.0013371,0.053977
80.26,0.014319,0.12766
80.28,0.02718,0.20256
80.3,0.039815,0.27367
80.32,0.051895,0.34042
80.34,0.062165,0.40257
80.36,0.068094,0.4629
80.38,0.070142,0.51836
80.4,0.069694,0.56978
80.42,0.066695,0.61725
80.44,0.060938,0.66069
80.46,0.053915,0.70029
80.48,0.044588,0.73594
80.5,0.034845,0.76781
80.52,0.024762,0.79577
80.54,0.013837,0.81957
80.56,0.0038404,0.83959
80.58,-0.0066354,0.85579
80.6,-0.015711,0.86792
80.62,-0.024233,0.87617
80.64,-0.03285,0.88052
80.66,-0.041969,0.8809
80.68,-0.050796,0.87739
80.7,-0.058549,0.86991
80.72,-0.066248,0.85862
80.74,-0.072634,0.84343
80.76,-0.078466,0.82408
80.78,-0.08356,0.8006
80.8,-0.087841,0.77377
80.82,-0.088492,0.74342
80.84,-0.090836,0.70802
80.86,-0.092,0.66901
80.88,-0.092165,0.62629
80.9,-0.091068,0.57978
80.92,-0.089153,0.52919
80.94,-0.083424,0.47452
80.96,-0.075177,0.41572
80.98,-0.066753,0.3542
81,-0.056668,0.28742
81.02,-0.044709,0.21702
81.04,-0.032878,0.1432
81.06,-0.018527,0.064911
81.08,-0.0036785,0.073668
81.1,0.011374,0.15055
81.12,0.026008,0.22379
81.14,0.040011,0.29226
81.16,0.054364,0.35722
81.18,0.06871,0.41949
81.2,0.078461,0.47662
81.22,0.087241,0.53013
81.24,0.089779,0.57967
81.26,0.090163,0.62567
81.28,0.089357,0.66805
81.3,0.084917,0.70545
81.32,0.078539,0.73945
81.34,0.070716,0.76948
81.36,0.060986,0.79546
81.38,0.050465,0.81765
81.4,0.039024,0.83601
81.42,0.028292,0.8504
81.44,0.016778,0.86086
81.46,0.0058113,0.86732
81.48,-0.0055374,0.86991
81.5,-0.018829,0.86856
81.52,-0.036295,0.8633
81.54,-0.048808,0.85406
81.56,-0.056164,0.84104
81.58,-0.062895,0.82389
81.6,-0.06939,0.80266
81.62,-0.07384,0.77789
81.64,-0.076246,0.74926
81.66,-0.078297,0.71722
81.68,-0.079718,0.67973
81.7,-0.079804,0.63916
81.72,-0.077815,0.59515
81.74,-0.074325,0.54623
81.76,-0.069152,0.49361
81.78,-0.06151,0.43777
81.8,-0.053122,0.37751
81.82,-0.042762,0.31373
81.84,-0.029491,0.2453
81.86,-0.01763,0.17351
81.88,-0.0043593,0.09681
81.9,0.0089369,0.085198
81.92,0.023435,0.15982
81.94,0.038274,0.22934
81.96,0.051824,0.29594
81.98,0.064947,0.35712
82,0.077529,0.41589
82.02,0.089155,0.46918
82.04,0.094617,0.5198
82.06,0.098766,0.56665
82.08,0.099103,0.60905
82.1,0.096982,0.64768
82.12,0.092288,0.68244
82.14,0.085229,0.71306
82.16,0.07496,0.73994
82.18,0.062791,0.7629
82.2,0.048458,0.78179
82.22,0.034745,0.79694
82.24,0.021188,0.80803
82.26,0.0081739,0.81522
82.28,-0.0033262,0.81853
82.3,-0.013432,0.81793
82.32,-0.023287,0.81333
82.34,-0.033048,0.8049
82.36,-0.042406,0.79246
82.38,-0.051594,0.77595
82.4,-0.059611,0.75579
82.42,-0.066089,0.73174
82.44,-0.071859,0.70366
82.46,-0.076571,0.6718
82.48,-0.081637,0.63562
82.5,-0.083719,0.59589
82.52,-0.085491,0.55222
82.54,-0.087378,0.50442
82.56,-0.084328,0.45262
82.58,-0.081314,0.3971
82.6,-0.078601,0.33772
82.62,-0.071937,0.27394
82.64,-0.064537,0.20683
82.66,-0.052282,0.13599
82.68,-0.040678,0.060554
82.7,-0.024132,0.036931
82.72,-0.0057387,0.11771
82.74,0.010164,0.19461
82.76,0.026214,0.26757
82.78,0.041835,0.33531
82.8,0.055315,0.3995
82.82,0.064234,0.46115
82.84,0.067506,0.51841
82.86,0.066466,0.57048
82.88,0.061324,0.61986
82.9,0.051964,0.66434
82.92,0.040939,0.70602
82.94,0.028432,0.74309
82.96,0.016127,0.77618
82.98,0.0050029,0.80591
83,-0.0050327,0.83119
83.02,-0.013593,0.85269
83.04,-0.021382,0.87021
