t,z,f
109.188,-3.84463,0.0409125
109.189,-3.84611,0.0480322
109.19,-3.85115,0.0599561
109.191,-3.85821,0.0750764
109.192,-3.86641,0.0915038
109.193,-3.87338,0.107253
109.194,-3.88074,0.120431
109.195,-3.8877,0.129416
109.196,-3.89513,0.133002
109.197,-3.9023,0.130501
109.198,-3.90939,0.12179
109.199,-3.91631,0.10731
109.2,-3.92258,0.0880012
109.201,-3.92878,0.0651969
109.202,-3.93651,0.0404833
109.203,-3.94254,0.0155374
109.204,-3.94893,-0.00803709
109.205,-3.95485,-0.028861
109.206,-3.9608,-0.0459028
109.207,-3.96711,-0.0585627
109.208,-3.97324,-0.0667096
109.209,-3.97916,-0.0706687
109.21,-3.98522,-0.0711619
109.211,-3.9864,-0.0692093
109.212,-3.99094,-0.0660002
109.213,-3.99703,-0.0627491
109.214,-4.00255,-0.0605514
109.215,-4.00789,-0.0602523
109.216,-4.01539,-0.0623423
109.217,-4.02322,-0.0668902
109.218,-4.02915,-0.0735194
109.219,-4.0345,-0.0814294
109.22,-4.0407,-0.0894602
109.221,-4.04711,-0.0961937
109.222,-4.05305,-0.100081
109.223,-4.05871,-0.0995832
109.224,-4.06588,-0.0933154
109.225,-4.0705,-0.0801733
109.226,-4.07582,-0.0594375
109.227,-4.08346,-0.0308418
109.228,-4.08951,0.00540008
109.229,-4.09532,0.0486109
109.23,-4.09653,0.0977085
109.231,-4.10118,0.1513
109.232,-4.10665,0.207805
109.233,-4.11273,0.26559
109.234,-4.11849,0.323112
109.235,-4.12471,0.379046
109.236,-4.13246,0.432392
109.237,-4.13857,0.482557
109.238,-4.14444,0.529383
109.239,-4.15033,0.573153
109.24,-4.1571,0.614537
109.241,-4.16371,0.654517
109.242,-4.16935,0.694278
109.243,-4.17596,0.735075
109.244,-4.18196,0.778109
109.245,-4.18323,0.824395
109.246,-4.18765,0.874656
109.247,-4.19336,0.929248
109.248,-4.20171,0.988117
109.249,-4.20846,1.05079
109.25,-4.21389,1.11643
109.251,-4.21957,1.18387
109.252,-4.22578,1.25177
109.253,-4.2323,1.31869
109.254,-4.23843,1.38324
109.255,-4.24477,1.44421
109.256,-4.2533,1.50064
109.257,-4.25806,1.55195
109.258,-4.26633,1.59796
109.259,-4.27375,1.6389
109.26,-4.28044,1.67536
109.261,-4.28744,1.70828
109.262,-4.28894,1.73881
109.263,-4.29493,1.76821
109.264,-4.30712,1.79774
109.265,-4.31506,1.82854
