t;reali;virti;realii;virtii;realiii;virtiii;realiv;virtiv
1;0,27989;0,27989;0,34762;0,34762;0,30489;0,30489;0,29521;0,29521
2;0,27992;0,27992;0,34749;0,34749;0,30517;0,30517;0,29505;0,29505
3;0,27995;0,27995;0,34736;0,34736;0,30546;0,30546;0,29489;0,29489
4;0,27998;0,27998;0,34723;0,34723;0,30574;0,30574;0,29474;0,29474
5;0,28002;0,28002;0,34709;0,34709;0,30602;0,30602;0,29459;0,29459
6;0,28005;0,28005;0,34695;0,34695;0,3063;0,3063;0,29444;0,29444
7;0,28009;0,28009;0,34682;0,34682;0,30658;0,30658;0,29429;0,29429
8;0,28013;0,28013;0,34667;0,34667;0,30686;0,30686;0,29414;0,29414
9;0,28016;0,28016;0,34653;0,34653;0,30714;0,30714;0,294;0,294
10;0,2802;0,2802;0,34639;0,34639;0,30742;0,30742;0,29385;0,29385
11;0,28024;0,28024;0,34624;0,34624;0,3077;0,3077;0,2937;0,2937
12;0,28028;0,28028;0,34609;0,34609;0,30798;0,30798;0,29356;0,29356
13;0,28032;0,28032;0,34594;0,34594;0,30826;0,30826;0,29341;0,29341
14;0,28036;0,28036;0,34579;0,34579;0,30854;0,30854;0,29327;0,29327
15;0,2804;0,2804;0,34564;0,34564;0,30882;0,30882;0,29312;0,29312
16;0,28045;0,28045;0,34549;0,34549;0,3091;0,3091;0,29297;0,29297
17;0,28049;0,28049;0,34533;0,34533;0,30938;0,30938;0,29283;0,29283
18;0,28054;0,28054;0,34518;0,34518;0,30966;0,30966;0,29268;0,29268
19;0,28058;0,28058;0,34502;0,34502;0,30994;0,30994;0,29253;0,29253
20;0,28063;0,28063;0,34486;0,34486;0,31022;0,31022;0,29238;0,29238
21;0,28067;0,28067;0,34471;0,34471;0,3105;0,3105;0,29224;0,29224
22;0,28072;0,28072;0,34455;0,34455;0,31078;0,31078;0,29209;0,29209
23;0,28077;0,28077;0,34439;0,34439;0,31106;0,31106;0,29195;0,29195
24;0,28082;0,28082;0,34423;0,34423;0,31133;0,31133;0,2918;0,2918
25;0,28087;0,28087;0,34408;0,34408;0,31161;0,31161;0,29165;0,29165
26;0,28092;0,28092;0,34392;0,34392;0,31189;0,31189;0,29151;0,29151
27;0,28097;0,28097;0,34376;0,34376;0,31217;0,31217;0,29137;0,29137
28;0,28103;0,28103;0,34359;0,34359;0,31245;0,31245;0,29122;0,29122
29;0,28108;0,28108;0,34343;0,34343;0,31272;0,31272;0,29108;0,29108
30;0,28114;0,28114;0,34327;0,34327;0,313;0,313;0,29094;0,29094
31;0,28119;0,28119;0,34311;0,34311;0,31327;0,31327;0,2908;0,2908
32;0,28125;0,28125;0,34294;0,34294;0,31355;0,31355;0,29066;0,29066
33;0,28131;0,28131;0,34278;0,34278;0,31382;0,31382;0,29053;0,29053
34;0,28137;0,28137;0,34261;0,34261;0,31409;0,31409;0,29039;0,29039
35;0,28143;0,28143;0,34245;0,34245;0,31436;0,31436;0,29026;0,29026
