t;real_i;virt_i;real_ii;virt_ii;real_iii;virt_iii;real_iv;virt_iv
1;0,000;0,000;5,898;5,898;0,000;0,000;1,663;1,666
2;0,003;0,003;5,885;5,885;0,028;0,028;1,647;1,650
3;0,006;0,006;5,872;5,872;0,057;0,057;1,631;1,634
4;0,009;0,009;5,859;5,859;0,085;0,085;1,616;1,619
5;0,013;0,013;5,845;5,845;0,113;0,113;1,601;1,604
6;0,016;0,016;5,831;5,831;0,141;0,141;1,586;1,589
7;0,020;0,020;5,818;5,818;0,169;0,169;1,571;1,574
8;0,024;0,024;5,803;5,803;0,197;0,197;1,556;1,559
9;0,027;0,027;5,789;5,789;0,225;0,225;1,542;1,545
10;0,031;0,031;5,775;5,775;0,253;0,253;1,527;1,530
11;0,035;0,035;5,760;5,760;0,281;0,281;1,512;1,515
12;0,039;0,039;5,745;5,745;0,309;0,309;1,498;1,501
13;0,043;0,043;5,730;5,730;0,337;0,337;1,483;1,486
14;0,047;0,047;5,715;5,715;0,365;0,365;1,469;1,472
15;0,051;0,051;5,700;5,700;0,393;0,393;1,454;1,457
16;0,056;0,056;5,685;5,685;0,421;0,421;1,439;1,442
17;0,060;0,060;5,669;5,669;0,449;0,449;1,425;1,428
18;0,065;0,065;5,654;5,654;0,477;0,477;1,410;1,413
19;0,069;0,069;5,638;5,638;0,505;0,505;1,395;1,398
20;0,074;0,074;5,622;5,622;0,533;0,533;1,380;1,383
21;0,078;0,078;5,607;5,607;0,561;0,561;1,366;1,369
22;0,083;0,083;5,591;5,591;0,589;0,589;1,351;1,354
23;0,088;0,088;5,575;5,575;0,617;0,617;1,337;1,340
24;0,093;0,093;5,559;5,559;0,644;0,644;1,322;1,325
25;0,098;0,098;5,544;5,544;0,672;0,672;1,307;1,310
26;0,103;0,103;5,528;5,528;0,700;0,700;1,293;1,296
27;0,108;0,108;5,512;5,512;0,728;0,728;1,279;1,282
28;0,114;0,114;5,495;5,495;0,756;0,756;1,264;1,267
29;0,119;0,119;5,479;5,479;0,783;0,783;1,250;1,253
30;0,125;0,125;5,463;5,463;0,811;0,811;1,236;1,239
31;0,130;0,130;5,447;5,447;0,838;0,838;1,222;1,225
32;0,136;0,136;5,430;5,430;0,866;0,866;1,208;1,211
33;0,142;0,142;5,414;5,414;0,893;0,893;1,195;1,198
34;0,148;0,148;5,397;5,397;0,920;0,920;1,181;1,184
35;0,154;0,154;5,381;5,381;0,947;0,947;1,168;1,171
36;0,161;0,161;5,364;5,364;0,974;0,974;1,155;1,158
37;0,167;0,167;5,347;5,347;1,001;1,001;1,142;1,145
38;0,174;0,174;5,330;5,330;1,028;1,028;1,129;1,132
39;0,180;0,180;5,314;5,314;1,054;1,054;1,116;1,119
40;0,187;0,187;5,297;5,297;1,081;1,081;1,104;1,107
41;0,194;0,194;5,280;5,280;1,107;1,107;1,091;1,094
42;0,202;0,202;5,263;5,263;1,134;1,134;1,079;1,082
43;0,209;0,209;5,247;5,247;1,160;1,160;1,068;1,071
44;0,216;0,216;5,230;5,230;1,186;1,186;1,056;1,059
45;0,224;0,224;5,213;5,213;1,212;1,212;1,044;1,047
46;0,231;0,231;5,196;5,196;1,238;1,238;1,033;1,036
47;0,239;0,239;5,179;5,179;1,263;1,263;1,022;1,025
48;0,247;0,247;5,162;5,162;1,289;1,289;1,011;1,014
49;0,255;0,255;5,145;5,145;1,315;1,315;0,999;1,002
50;0,263;0,263;5,128;5,128;1,341;1,341;0,988;0,991
51;0,271;0,271;5,111;5,111;1,366;1,366;0,977;0,980
52;0,279;0,279;5,094;5,094;1,392;1,392;0,966;0,969
53;0,288;0,288;5,076;5,076;1,418;1,418;0,955;0,958
54;0,296;0,296;5,059;5,059;1,444;1,444;0,943;0,946
55;0,304;0,304;5,041;5,041;1,470;1,470;0,932;0,935
56;0,313;0,313;5,023;5,023;1,496;1,496;0,920;0,923
57;0,321;0,321;5,006;5,006;1,522;1,522;0,909;0,912
58;0,329;0,329;4,988;4,988;1,549;1,549;0,897;0,900
59;0,338;0,338;4,969;4,969;1,575;1,575;0,886;0,889
60;0,346;0,346;4,951;4,951;1,602;1,602;0,874;0,877
61;0,354;0,354;4,933;4,933;1,628;1,628;0,862;0,865
62;0,362;0,362;4,914;4,914;1,655;1,655;0,851;0,854
63;0,370;0,370;4,896;4,896;1,682;1,682;0,839;0,842
64;0,378;0,378;4,877;4,877;1,709;1,709;0,827;0,830
65;0,386;0,386;4,859;4,859;1,735;1,735;0,815;0,818
66;0,394;0,394;4,840;4,840;1,762;1,762;0,804;0,807
67;0,402;0,402;4,821;4,821;1,789;1,789;0,792;0,795
68;0,410;0,410;4,803;4,803;1,816;1,816;0,781;0,784
69;0,417;0,417;4,784;4,784;1,843;1,843;0,769;0,772
70;0,425;0,425;4,766;4,766;1,871;1,871;0,758;0,761
71;0,433;0,433;4,747;4,747;1,898;1,898;0,746;0,749
72;0,442;0,442;4,729;4,729;1,925;1,925;0,735;0,738
73;0,450;0,450;4,711;4,711;1,952;1,952;0,724;0,727
74;0,459;0,459;4,693;4,693;1,979;1,979;0,712;0,715
75;0,468;0,468;4,675;4,675;2,006;2,006;0,701;0,704
76;0,477;0,477;4,657;4,657;2,034;2,034;0,690;0,693
77;0,487;0,487;4,639;4,639;2,061;2,061;0,679;0,682
78;0,497;0,497;4,621;4,621;2,088;2,088;0,668;0,671
79;0,507;0,507;4,603;4,603;2,114;2,114;0,657;0,660
80;0,517;0,517;4,586;4,586;2,141;2,141;0,646;0,649
81;0,527;0,527;4,568;4,568;2,168;2,168;0,635;0,638
82;0,538;0,538;4,550;4,550;2,194;2,194;0,624;0,627
83;0,549;0,549;4,532;4,532;2,221;2,221;0,614;0,617
84;0,560;0,560;4,514;4,514;2,247;2,247;0,603;0,606
85;0,572;0,572;4,496;4,496;2,273;2,273;0,593;0,596
86;0,583;0,583;4,478;4,478;2,299;2,299;0,582;0,585
87;0,595;0,595;4,459;4,459;2,324;2,324;0,572;0,575
88;0,606;0,606;4,441;4,441;2,350;2,350;0,562;0,565
89;0,618;0,618;4,422;4,422;2,375;2,375;0,552;0,555
90;0,630;0,630;4,403;4,403;2,400;2,400;0,542;0,545
91;0,643;0,643;4,384;4,384;2,425;2,425;0,532;0,535
92;0,655;0,655;4,365;4,365;2,450;2,450;0,523;0,526
93;0,667;0,667;4,347;4,347;2,474;2,474;0,514;0,517
94;0,680;0,680;4,328;4,328;2,499;2,499;0,505;0,508
95;0,692;0,692;4,309;4,309;2,523;2,523;0,496;0,499
96;0,705;0,705;4,290;4,290;2,547;2,547;0,487;0,490
97;0,718;0,718;4,271;4,271;2,571;2,571;0,479;0,482
98;0,730;0,730;4,253;4,253;2,594;2,594;0,470;0,473
99;0,743;0,743;4,234;4,234;2,617;2,617;0,462;0,465
100;0,756;0,756;4,216;4,216;2,641;2,641;0,453;0,456
101;0,768;0,768;4,198;4,198;2,663;2,663;0,445;0,448
102;0,781;0,782;4,180;4,180;2,686;2,686;0,436;0,440
103;0,794;0,795;4,162;4,161;2,708;2,708;0,428;0,431
104;0,807;0,808;4,144;4,143;2,730;2,730;0,419;0,423
105;0,820;0,822;4,126;4,125;2,752;2,752;0,411;0,415
106;0,833;0,835;4,109;4,107;2,773;2,774;0,402;0,407
107;0,846;0,849;4,091;4,088;2,794;2,795;0,394;0,399
108;0,859;0,863;4,074;4,070;2,814;2,817;0,385;0,391
109;0,872;0,877;4,057;4,052;2,835;2,838;0,377;0,383
110;0,886;0,892;4,040;4,034;2,855;2,858;0,368;0,375
111;0,899;0,906;4,023;4,015;2,874;2,879;0,360;0,367
112;0,913;0,921;4,006;3,997;2,894;2,899;0,351;0,359
113;0,927;0,936;3,989;3,979;2,913;2,919;0,343;0,352
114;0,941;0,951;3,972;3,961;2,932;2,939;0,335;0,344
115;0,955;0,966;3,955;3,943;2,951;2,958;0,327;0,337
116;0,969;0,981;3,938;3,925;2,969;2,978;0,319;0,329
117;0,984;0,997;3,921;3,906;2,988;2,997;0,311;0,322
118;0,998;1,012;3,904;3,888;3,006;3,016;0,303;0,314
119;1,013;1,028;3,887;3,870;3,024;3,034;0,296;0,307
120;1,028;1,044;3,870;3,852;3,042;3,053;0,289;0,300
121;1,043;1,060;3,852;3,834;3,060;3,071;0,282;0,293
122;1,058;1,076;3,835;3,816;3,078;3,089;0,275;0,286
123;1,074;1,092;3,817;3,798;3,096;3,107;0,268;0,279
124;1,089;1,109;3,799;3,780;3,114;3,124;0,261;0,272
125;1,105;1,125;3,781;3,762;3,132;3,141;0,254;0,265
126;1,120;1,142;3,762;3,744;3,150;3,158;0,248;0,258
127;1,136;1,159;3,744;3,726;3,167;3,175;0,241;0,252
