t,z,f
109.288,-4.46071,3.19288
109.289,-4.46697,3.28878
109.29,-4.47372,3.38405
109.291,-4.47964,3.47681
109.292,-4.48746,3.56529
109.293,-4.49476,3.64795
109.294,-4.50296,3.72358
109.295,-4.50961,3.79146
109.296,-4.51582,3.85134
109.297,-4.52158,3.90347
109.298,-4.52716,3.94858
109.299,-4.53272,3.98776
109.3,-4.53779,4.02238
109.301,-4.54306,4.05388
109.302,-4.54851,4.08373
109.303,-4.54961,4.11319
109.304,-4.55654,4.14326
109.305,-4.56312,4.1746
109.306,-4.56835,4.20746
109.307,-4.5735,4.2417
109.308,-4.57942,4.27684
109.309,-4.58471,4.31216
109.31,-4.58989,4.34676
109.311,-4.59507,4.37973
109.312,-4.60011,4.41023
109.313,-4.60491,4.43761
109.314,-4.61038,4.46148
109.315,-4.61721,4.48178
109.316,-4.62271,4.49877
109.317,-4.62744,4.51299
109.318,-4.63236,4.52525
109.319,-4.63353,4.53649
109.32,-4.63707,4.54772
109.321,-4.6413,4.55989
109.322,-4.64562,4.5738
109.323,-4.65052,4.59003
109.324,-4.65524,4.60886
109.325,-4.6593,4.63028
109.326,-4.66297,4.65397
109.327,-4.66656,4.67934
109.328,-4.67016,4.70564
109.329,-4.67332,4.73202
109.33,-4.67613,4.75765
109.331,-4.67884,4.7818
109.332,-4.68176,4.80398
109.333,-4.68457,4.824
109.334,-4.68511,4.84203
109.335,-4.68839,4.85859
109.336,-4.69088,4.87459
109.337,-4.69129,4.89122
109.338,-4.69262,4.90993
109.339,-4.69367,4.93226
109.34,-4.6956,4.95974
109.341,-4.69719,4.99376
109.342,-4.69926,5.03543
109.343,-4.70017,5.0855
109.344,-4.70213,5.1442
109.345,-4.70306,5.21127
109.346,-4.70406,5.2859
109.347,-4.70408,5.36678
109.348,-4.70407,5.45215
109.349,-4.70395,5.53992
109.35,-4.70351,5.6278
109.351,-4.70321,5.71348
109.352,-4.70258,5.79471
109.353,-4.70144,5.86953
109.354,-4.70142,5.93635
109.355,-4.70151,5.99406
109.356,-4.69989,6.04212
109.357,-4.69774,6.08053
109.358,-4.69583,6.10983
109.359,-4.69418,6.13107
109.36,-4.68987,6.14566
109.361,-4.68658,6.15526
109.362,-4.68322,6.16169
109.363,-4.68016,6.16669
109.364,-4.67712,6.17186
109.365,-4.6725,6.17848
109.366,-4.66827,6.18746
109.367,-4.66346,6.19918
109.368,-4.65813,6.21357
109.369,-4.65234,6.23
109.37,-4.64379,6.24739
109.371,-4.64157,6.26427
109.372,-4.63629,6.27886
109.373,-4.62954,6.28926
109.374,-4.62266,6.29354
109.375,-4.61665,6.28996
109.376,-4.61029,6.27709
109.377,-4.60259,6.25398
109.378,-4.59529,6.22028
109.379,-4.58856,6.17634
109.38,-4.57748,6.12321
109.381,-4.56982,6.0627
109.382,-4.56196,5.99723
109.383,-4.55367,5.92978
109.384,-4.54454,5.86365
109.385,-4.53513,5.80226
109.386,-4.52605,5.74891
109.387,-4.51644,5.70651
109.388,-4.50659,5.67732
109.389,-4.49667,5.65134
109.39,-4.48664,5.62577
109.391,-4.47653,5.6006
109.392,-4.46633,5.57582
109.393,-4.45603,5.55144
109.394,-4.44563,5.52744
109.395,-4.43515,5.50382
109.396,-4.42456,5.48057
109.397,-4.41388,5.45769
109.398,-4.4031,5.43518
109.399,-4.39222,5.41302
109.4,-4.38124,5.39121
109.401,-4.37017,5.36975
109.402,-4.35899,5.34863
109.403,-4.34771,5.32785
109.404,-4.33633,5.3074
109.405,-4.32484,5.28727
109.406,-4.31326,5.26746
109.407,-4.30156,5.24796
109.408,-4.28977,5.22877
109.409,-4.27786,5.20989
109.41,-4.26585,5.1913
109.411,-4.25373,5.173
109.412,-4.2415,5.15499
109.413,-4.22917,5.13726
109.414,-4.21672,5.1198
109.415,-4.20416,5.10262
109.416,-4.19149,5.08569
109.417,-4.17871,5.06903
109.418,-4.16582,5.05262
109.419,-4.15281,5.03646
109.42,-4.13968,5.02054
109.421,-4.12645,5.00485
109.422,-4.11309,4.9894
109.423,-4.09962,4.97417
109.424,-4.08603,4.95917
109.425,-4.07232,4.94438
109.426,-4.05849,4.92979
109.427,-4.04455,4.91542
109.428,-4.03048,4.90124
109.429,-4.01629,4.88725
109.43,-4.00197,4.87345
109.431,-3.98754,4.85983
109.432,-3.97298,4.84639
109.433,-3.95829,4.83312
