t;f1;frec1;fval1;fvalrec1;f2;frec2;fval2;fvalrec2;f3;frec3;fval3;fvalrec3;f4;frec4;fval4;fvalrec4;f5;frec5;fval5;fvalrec5;f6;frec6;fval6;fvalrec6;f7;frec7;fval7;fvalrec7;f8;frec8;fval8;fvalrec8;f9;frec9;fval9;fvalrec9;f10;frec10;fval10;fvalrec10;f11;frec11;fval11;fvalrec11
1;-0.0017041;-0.17431;6.3808e-05;0.20548;-0.0017974;0.13948;-0.00031594;0.26322;-0.0042957;-0.031371;0.0016473;0.064087;-0.0029558;0.34147;-0.0007157;-0.018917;-0.00062429;0.65151;-0.0020186;-0.049418;-0.0013006;0.19633;-0.00099673;-0.18624;1.9666e-05;0.66922;-0.00064027;-0.040986;-0.0026635;-0.012799;1.7856e-05;-0.62095;-0.001675;-0.37178;0.0010143;0.057243;-0.0026851;-0.054727;0.0016499;-0.38139;-0.0027397;0.1789;-0.00022256;-0.36995
2;-0.0049303;-0.16273;0.00024511;0.19919;-0.0050606;0.14516;-0.0009766;0.26462;-0.013405;-0.024413;0.0052434;0.06873;-0.0086116;0.36636;-0.0023358;-0.01368;-0.0010674;0.67707;-0.006481;-0.041287;-0.0048182;0.1862;-0.0032574;-0.18576;0.00075407;0.69858;-0.0021218;-0.039284;-0.0091972;-0.039137;2.4154e-05;-0.61738;-0.0058987;-0.38516;0.0033883;0.06134;-0.0093708;-0.064597;0.0052851;-0.38705;-0.0093361;0.16062;-0.00070486;-0.36603
3;-0.0088787;-0.14778;0.00059951;0.19185;-0.0087533;0.15563;-0.0018834;0.26287;-0.026396;-0.016568;0.010577;0.073697;-0.015609;0.39316;-0.0048129;-0.010218;-9.5783e-05;0.70959;-0.013222;-0.034267;-0.011117;0.17482;-0.0067796;-0.18485;0.003085;0.72712;-0.0044561;-0.040805;-0.020067;-0.050824;-5.1966e-05;-0.61249;-0.013071;-0.37897;0.0072024;0.067169;-0.020663;-0.07968;0.010722;-0.38319;-0.020104;0.142;-0.0014263;-0.361
4;-0.01276;-0.12833;0.0011868;0.18527;-0.011833;0.17136;-0.0029221;0.25962;-0.042261;-0.0095988;0.01741;0.078843;-0.02255;0.4249;-0.008052;-0.0074198;0.0035022;0.746;-0.022044;-0.029103;-0.020569;0.16173;-0.011564;-0.18362;0.0078963;0.75931;-0.0076286;-0.043932;-0.035543;-0.067018;-0.00031525;-0.60569;-0.023434;-0.37301;0.012509;0.074982;-0.036987;-0.098566;0.01772;-0.37241;-0.035155;0.12169;-0.0023814;-0.35607
5;-0.015785;-0.1038;0.0020574;0.1796;-0.013259;0.19283;-0.003984;0.25499;-0.060054;-0.0041679;0.02549;0.083957;-0.028009;0.46185;-0.011944;-0.0054558;0.010906;0.78599;-0.032724;-0.026583;-0.033374;0.14666;-0.017609;-0.18209;0.016061;0.79529;-0.011616;-0.048593;-0.055709;-0.086194;-0.00089381;-0.59642;-0.037081;-0.36823;0.019327;0.084853;-0.058604;-0.12126;0.025993;-0.35536;-0.054431;0.099589;-0.0035873;-0.35141
6;-0.017149;-0.073647;0.0032469;0.17495;-0.011993;0.22052;-0.0049738;0.24927;-0.079013;-0.00092332;0.034564;0.088737;-0.03055;0.50426;-0.016401;-0.0044676;0.023269;0.82927;-0.045025;-0.027124;-0.049578;0.12936;-0.024891;-0.18028;0.028428;0.83522;-0.0164;-0.054614;-0.08048;-0.10715;-0.0019253;-0.58427;-0.053972;-0.36535;0.027643;0.096723;-0.085645;-0.14782;0.035209;-0.33289;-0.077727;0.075718;-0.0050852;-0.34725
7;-0.016013;-0.037463;0.00478;0.1714;-0.0070022;0.25486;-0.0058048;0.24285;-0.098578;-0.00044898;0.04438;0.092829;-0.028758;0.55231;-0.02136;-0.0045287;0.041721;0.87548;-0.058707;-0.030807;-0.069096;0.10961;-0.033352;-0.17826;0.045812;0.87926;-0.021982;-0.061736;-0.10963;-0.12947;-0.003543;-0.56903;-0.073944;-0.36494;0.037421;0.11039;-0.11813;-0.17831;0.044996;-0.30605;-0.10474;0.050069;-0.0069386;-0.34379
8;-0.011506;0.0050766;0.0066748;0.16901;0.0027604;0.29629;-0.0063953;0.23609;-0.11835;-0.0032405;0.054682;0.095887;-0.021242;0.60616;-0.026788;-0.0056362;0.067362;0.92432;-0.073533;-0.037513;-0.091733;0.087175;-0.042893;-0.17607;0.068986;0.92755;-0.028378;-0.069597;-0.14282;-0.15353;-0.0058689;-0.55069;-0.096751;-0.36745;0.048598;0.12548;-0.15598;-0.21285;0.054957;-0.27615;-0.1351;0.022475;-0.0092321;-0.34127
9;-0.0027424;0.054197;0.008937;0.16777;0.018363;0.34517;-0.0066744;0.22926;-0.13805;-0.0096675;0.065219;0.097643;-0.0066301;0.66596;-0.032663;-0.0077412;0.10126;0.97567;-0.089278;-0.046984;-0.1172;0.061755;-0.053385;-0.17378;0.098678;0.98022;-0.035613;-0.077726;-0.17972;-0.18012;-0.0090231;-0.52946;-0.12209;-0.37334;0.061078;0.14146;-0.19902;-0.25156;0.064699;-0.2447;-0.16845;-0.0074663;-0.012063;-0.33993
10;0.011173;0.11;0.011549;0.16766;0.040895;0.40181;-0.006584;0.22258;-0.15746;-0.019855;0.075768;0.097928;0.016452;0.732;-0.038964;-0.010785;0.14443;1.0298;-0.10573;-0.05883;-0.14517;0.033032;-0.064686;-0.17146;0.13558;1.0373;-0.0437;-0.085605;-0.21996;-0.20998;-0.013133;-0.50578;-0.14963;-0.38311;0.074737;0.15757;-0.24702;-0.29457;0.073856;-0.21333;-0.20441;-0.040264;-0.015532;-0.33995
