t_tot;z_tot;t_fit_est;z_fit_est;t_est;z_est;t_fit_val;z_fit_val;t_val;z_val
95;0.3494;95.132;0.33318;95.231;0.31041;96.003;0.32768;96.102;0.31022
95.003;0.34933;95.133;0.333;95.232;0.31017;96.004;0.32751;96.103;0.31006
95.006;0.34924;95.134;0.33282;95.233;0.30993;96.005;0.32734;96.104;0.30989
95.009;0.34914;95.135;0.33263;95.234;0.30969;96.006;0.32716;96.105;0.30973
95.012;0.34903;95.136;0.33245;95.235;0.30945;96.007;0.32699;96.106;0.30957
95.015;0.3489;95.137;0.33227;95.236;0.30922;96.008;0.32681;96.107;0.30941
95.018;0.34874;95.138;0.33208;95.237;0.30898;96.009;0.32663;96.108;0.30924
95.021;0.34857;95.139;0.33189;95.238;0.30874;96.01;0.32645;96.109;0.30908
95.024;0.34836;95.14;0.3317;95.239;0.30851;96.011;0.32626;96.11;0.30892
95.027;0.34813;95.141;0.33151;95.24;0.30828;96.012;0.32608;96.111;0.30876
95.03;0.34787;95.142;0.33132;95.241;0.30805;96.013;0.32589;96.112;0.3086
95.033;0.3476;95.143;0.33113;95.242;0.30781;96.014;0.32571;96.113;0.30845
95.036;0.3473;95.144;0.33093;95.243;0.30758;96.015;0.32552;96.114;0.30829
95.039;0.347;95.145;0.33073;95.244;0.30735;96.016;0.32533;96.115;0.30813
95.042;0.34668;95.146;0.33053;95.245;0.30713;96.017;0.32514;96.116;0.30797
95.045;0.34634;95.147;0.33033;95.246;0.3069;96.018;0.32495;96.117;0.30782
95.048;0.34599;95.148;0.33012;95.247;0.30667;96.019;0.32476;96.118;0.30766
95.051;0.34563;95.149;0.32992;95.248;0.30645;96.02;0.32457;96.119;0.30751
95.054;0.34525;95.15;0.32971;95.249;0.30622;96.021;0.32438;96.12;0.30735
95.057;0.34487;95.151;0.3295;95.25;0.306;96.022;0.3242;96.121;0.3072
95.06;0.34448;95.152;0.32928;95.251;0.30578;96.023;0.32401;96.122;0.30704
95.063;0.34408;95.153;0.32907;95.252;0.30556;96.024;0.32383;96.123;0.30689
95.066;0.34367;95.154;0.32885;95.253;0.30534;96.025;0.32365;96.124;0.30674
95.069;0.34324;95.155;0.32864;95.254;0.30512;96.026;0.32346;96.125;0.30659
95.072;0.34281;95.156;0.32842;95.255;0.3049;96.027;0.32329;96.126;0.30644
95.075;0.34237;95.157;0.3282;95.256;0.30468;96.028;0.32311;96.127;0.30629
95.078;0.34193;95.158;0.32798;95.257;0.30447;96.029;0.32293;96.128;0.30614
95.081;0.34148;95.159;0.32776;95.258;0.30425;96.03;0.32276;96.129;0.30599
95.084;0.34102;95.16;0.32754;95.259;0.30404;96.031;0.32258;96.13;0.30584
95.087;0.34055;95.161;0.32732;95.26;0.30382;96.032;0.3224;96.131;0.30569
95.09;0.34008;95.162;0.3271;95.261;0.30361;96.033;0.32223;96.132;0.30554
95.093;0.33961;95.163;0.32688;95.262;0.3034;96.034;0.32205;96.133;0.30539
95.096;0.33915;95.164;0.32666;95.263;0.30319;96.035;0.32188;96.134;0.30525
95.099;0.33868;95.165;0.32644;95.264;0.30298;96.036;0.3217;96.135;0.3051
95.102;0.3382;95.166;0.32622;95.265;0.30277;96.037;0.32152;96.136;0.30495
95.105;0.33772;95.167;0.326;95.266;0.30257;96.038;0.32134;96.137;0.30481
95.108;0.33722;95.168;0.32578;95.267;0.30236;96.039;0.32116;96.138;0.30466
95.111;0.33673;95.169;0.32555;95.268;0.30216;96.04;0.32097;96.139;0.30452
95.114;0.33623;95.17;0.32533;95.269;0.30195;96.041;0.32079;96.14;0.30438
95.117;0.33573;95.171;0.3251;95.27;0.30175;96.042;0.3206;96.141;0.30423
95.12;0.33522;95.172;0.32488;95.271;0.30155;96.043;0.32042;96.142;0.30409
95.123;0.33472;95.173;0.32465;95.272;0.30135;96.044;0.32023;96.143;0.30395
95.126;0.33421;95.174;0.32442;95.273;0.30115;96.045;0.32004;96.144;0.30381
95.129;0.3337;95.175;0.32419;95.274;0.30095;96.046;0.31985;96.145;0.30366
95.132;0.33317;95.176;0.32395;95.275;0.30075;96.047;0.31967;96.146;0.30352
95.135;0.33262;95.177;0.32372;95.276;0.30055;96.048;0.31948;96.147;0.30338
95.138;0.33207;95.178;0.32348;95.277;0.30036;96.049;0.31929;96.148;0.30324
95.141;0.3315;95.179;0.32324;95.278;0.30016;96.05;0.3191;96.149;0.30311
95.144;0.33092;95.18;0.323;95.279;0.29997;96.051;0.31892;96.15;0.30297
95.147;0.33032;95.181;0.32276;95.28;0.29977;96.052;0.31874;96.151;0.30283
95.15;0.3297;95.182;0.32252;95.281;0.29958;96.053;0.31855;96.152;0.30269
95.153;0.32906;95.183;0.32228;95.282;0.29939;96.054;0.31837;96.153;0.30255
95.156;0.32841;95.184;0.32204;95.283;0.2992;96.055;0.31819;96.154;0.30242
95.159;0.32775;95.185;0.32179;95.284;0.29901;96.056;0.31801;96.155;0.30228
95.162;0.32709;95.186;0.32155;95.285;0.29882;96.057;0.31783;96.156;0.30215
95.165;0.32643;95.187;0.3213;95.286;0.29864;96.058;0.31765;96.157;0.30201
95.168;0.32576;95.188;0.32106;95.287;0.29845;96.059;0.31747;96.158;0.30188
95.171;0.32509;95.189;0.32081;95.288;0.29827;96.06;0.31729;96.159;0.30174
95.174;0.32441;95.19;0.32057;95.289;0.29808;96.061;0.31712;96.16;0.30161
95.177;0.32371;95.191;0.32032;95.29;0.2979;96.062;0.31694;96.161;0.30148
95.18;0.32299;95.192;0.32008;95.291;0.29772;96.063;0.31677;96.162;0.30135
95.183;0.32227;95.193;0.31983;95.292;0.29754;96.064;0.31659;96.163;0.30121
95.186;0.32153;95.194;0.31959;95.293;0.29736;96.065;0.31642;96.164;0.30108
95.189;0.3208;95.195;0.31934;95.294;0.29718;96.066;0.31625;96.165;0.30095
95.192;0.32007;95.196;0.3191;95.295;0.297;96.067;0.31607;96.166;0.30082
95.195;0.31933;95.197;0.31885;95.296;0.29682;96.068;0.3159;96.167;0.30069
95.198;0.31859;95.198;0.31861;95.297;0.29664;96.069;0.31573;96.168;0.30056
95.201;0.31786;95.199;0.31836;95.298;0.29647;96.07;0.31556;96.169;0.30043
95.204;0.31711;95.2;0.31812;95.299;0.2963;96.071;0.31539;96.17;0.30031
95.207;0.31637;95.201;0.31787;95.3;0.29612;96.072;0.31522;96.171;0.30018
95.21;0.31562;95.202;0.31762;95.301;0.29595;96.073;0.31506;96.172;0.30005
95.213;0.31486;95.203;0.31737;95.302;0.29578;96.074;0.31489;96.173;0.29992
95.216;0.31411;95.204;0.31713;95.303;0.29561;96.075;0.31472;96.174;0.2998
95.219;0.31335;95.205;0.31688;95.304;0.29544;96.076;0.31455;96.175;0.29967
95.222;0.3126;95.206;0.31663;95.305;0.29527;96.077;0.31439;96.176;0.29955
95.225;0.31186;95.207;0.31638;95.306;0.2951;96.078;0.31422;96.177;0.29942
95.228;0.31113;95.208;0.31613;95.307;0.29494;96.079;0.31405;96.178;0.2993
95.231;0.3104;95.209;0.31588;95.308;0.29477;96.08;0.31388;96.179;0.29917
95.234;0.30968;95.21;0.31563;95.309;0.29461;96.081;0.31372;96.18;0.29905
95.237;0.30895;95.211;0.31538;95.31;0.29444;96.082;0.31355;96.181;0.29893
95.24;0.30822;95.212;0.31513;95.311;0.29428;96.083;0.31338;96.182;0.2988
95.243;0.30748;95.213;0.31488;95.312;0.29412;96.084;0.31321;96.183;0.29868
95.246;0.30672;95.214;0.31462;95.313;0.29396;96.085;0.31305;96.184;0.29856
95.249;0.30593;95.215;0.31437;95.314;0.2938;96.086;0.31288;96.185;0.29844
95.252;0.30513;95.216;0.31412;95.315;0.29364;96.087;0.31271;96.186;0.29832
95.255;0.30429;95.217;0.31387;95.316;0.29348;96.088;0.31254;96.187;0.2982
95.258;0.30343;95.218;0.31362;95.317;0.29333;96.089;0.31237;96.188;0.29808
95.261;0.30254;95.219;0.31337;95.318;0.29317;96.09;0.31221;96.189;0.29796
95.264;0.30162;95.22;0.31312;95.319;0.29302;96.091;0.31204;96.19;0.29784
95.267;0.30069;95.221;0.31287;95.32;0.29286;96.092;0.31187;96.191;0.29772
95.27;0.29975;95.222;0.31262;95.321;0.29271;96.093;0.31171;96.192;0.29761
95.273;0.29883;95.223;0.31237;95.322;0.29256;96.094;0.31154;96.193;0.29749
95.276;0.29795;95.224;0.31212;95.323;0.29241;96.095;0.31138;96.194;0.29737
95.279;0.29713;95.225;0.31188;95.324;0.29226;96.096;0.31121;96.195;0.29726
95.282;0.29639;95.226;0.31163;95.325;0.29211;96.097;0.31105;96.196;0.29714
95.285;0.29574;95.227;0.31139;95.326;0.29196;96.098;0.31088;96.197;0.29703
95.288;0.29519;95.228;0.31114;95.327;0.29182;96.099;0.31072;96.198;0.29691
95.291;0.29471;95.229;0.3109;95.328;0.29167;96.1;0.31055;96.199;0.2968
95.294;0.2943;95.23;0.31066;95.329;0.29153;96.101;0.31039;96.2;0.29668
95.297;0.29394;95.432;0.28176;95.33;0.29138;96.303;0.28723;96.201;0.29657
95.3;0.29361;95.433;0.28172;95.331;0.29124;96.304;0.28716;96.202;0.29646
95.303;0.29331;95.434;0.28168;95.332;0.2911;96.305;0.28709;96.203;0.29634
95.306;0.29303;95.435;0.28164;95.333;0.29096;96.306;0.28703;96.204;0.29623
95.309;0.29275;95.436;0.2816;95.334;0.29082;96.307;0.28697;96.205;0.29612
95.312;0.29248;95.437;0.28157;95.335;0.29068;96.308;0.28691;96.206;0.29601
95.315;0.29221;95.438;0.28154;95.336;0.29054;96.309;0.28685;96.207;0.2959
95.318;0.29192;95.439;0.28151;95.337;0.2904;96.31;0.2868;96.208;0.29579
95.321;0.2916;95.44;0.28149;95.338;0.29027;96.311;0.28674;96.209;0.29568
95.324;0.29126;95.441;0.28146;95.339;0.29013;96.312;0.28669;96.21;0.29557
95.327;0.29089;95.442;0.28144;95.34;0.29;96.313;0.28664;96.211;0.29546
95.33;0.2905;95.443;0.28142;95.341;0.28987;96.314;0.2866;96.212;0.29535
95.333;0.2901;95.444;0.2814;95.342;0.28973;96.315;0.28656;96.213;0.29524
95.336;0.28971;95.445;0.28137;95.343;0.2896;96.316;0.28651;96.214;0.29514
95.339;0.28935;95.446;0.28135;95.344;0.28947;96.317;0.28648;96.215;0.29503
95.342;0.289;95.447;0.28134;95.345;0.28934;96.318;0.28644;96.216;0.29492
95.345;0.28868;95.448;0.28132;95.346;0.28922;96.319;0.2864;96.217;0.29482
95.348;0.28837;95.449;0.2813;95.347;0.28909;96.32;0.28637;96.218;0.29471
95.351;0.28806;95.45;0.28128;95.348;0.28896;96.321;0.28634;96.219;0.29461
95.354;0.28775;95.451;0.28126;95.349;0.28884;96.322;0.28631;96.22;0.2945
95.357;0.28743;95.452;0.28125;95.35;0.28871;96.323;0.28628;96.221;0.2944
95.36;0.28711;95.453;0.28123;95.351;0.28859;96.324;0.28626;96.222;0.29429
95.363;0.2868;95.454;0.28121;95.352;0.28847;96.325;0.28623;96.223;0.29419
95.366;0.28649;95.455;0.2812;95.353;0.28834;96.326;0.28621;96.224;0.29409
95.369;0.28621;95.456;0.28119;95.354;0.28822;96.327;0.28619;96.225;0.29398
95.372;0.28594;95.457;0.28117;95.355;0.2881;96.328;0.28616;96.226;0.29388
95.375;0.28568;95.458;0.28116;95.356;0.28799;96.329;0.28614;96.227;0.29378
95.378;0.28544;95.459;0.28115;95.357;0.28787;96.33;0.28612;96.228;0.29368
95.381;0.28519;95.46;0.28115;95.358;0.28775;96.331;0.2861;96.229;0.29358
95.384;0.28494;95.461;0.28114;95.359;0.28764;96.332;0.28608;96.23;0.29348
95.387;0.28468;95.462;0.28114;95.36;0.28752;96.333;0.28605;96.231;0.29338
95.39;0.28442;95.463;0.28114;95.361;0.28741;96.334;0.28603;96.232;0.29328
95.393;0.28417;95.464;0.28114;95.362;0.28729;96.335;0.28601;96.233;0.29318
95.396;0.28393;95.465;0.28115;95.363;0.28718;96.336;0.28599;96.234;0.29308
95.399;0.28371;95.466;0.28115;95.364;0.28707;96.337;0.28596;96.235;0.29298
95.402;0.28351;95.467;0.28117;95.365;0.28696;96.338;0.28594;96.236;0.29288
95.405;0.28333;95.468;0.28118;95.366;0.28685;96.339;0.28592;96.237;0.29279
95.408;0.28316;95.469;0.28119;95.367;0.28675;96.34;0.2859;96.238;0.29269
95.411;0.28299;95.47;0.28121;95.368;0.28664;96.341;0.28588;96.239;0.29259
95.414;0.28282;95.471;0.28124;95.369;0.28653;96.342;0.28586;96.24;0.2925
95.417;0.28264;95.472;0.28126;95.37;0.28643;96.343;0.28584;96.241;0.2924
95.42;0.28245;95.473;0.28129;95.371;0.28632;96.344;0.28582;96.242;0.29231
95.423;0.28226;95.474;0.28132;95.372;0.28622;96.345;0.2858;96.243;0.29221
95.426;0.28207;95.475;0.28135;95.373;0.28612;96.346;0.28578;96.244;0.29212
95.429;0.28191;95.476;0.28139;95.374;0.28602;96.347;0.28576;96.245;0.29202
95.432;0.28176;95.477;0.28143;95.375;0.28592;96.348;0.28574;96.246;0.29193
95.435;0.28164;95.478;0.28147;95.376;0.28582;96.349;0.28573;96.247;0.29183
95.438;0.28154;95.479;0.28151;95.377;0.28572;96.35;0.28571;96.248;0.29174
95.441;0.28146;95.48;0.28156;95.378;0.28562;96.351;0.2857;96.249;0.29165
95.444;0.28139;95.481;0.28161;95.379;0.28552;96.352;0.28568;96.25;0.29156
95.447;0.28133;95.482;0.28165;95.38;0.28543;96.353;0.28567;96.251;0.29147
95.45;0.28128;95.483;0.2817;95.381;0.28533;96.354;0.28566;96.252;0.29137
95.453;0.28123;95.484;0.28176;95.382;0.28524;96.355;0.28565;96.253;0.29128
95.456;0.28118;95.485;0.28181;95.383;0.28515;96.356;0.28564;96.254;0.29119
95.459;0.28115;95.486;0.28186;95.384;0.28506;96.357;0.28564;96.255;0.2911
95.462;0.28114;95.487;0.28192;95.385;0.28496;96.358;0.28563;96.256;0.29101
95.465;0.28115;95.488;0.28197;95.386;0.28487;96.359;0.28563;96.257;0.29092
95.468;0.28118;95.489;0.28203;95.387;0.28479;96.36;0.28562;96.258;0.29084
95.471;0.28124;95.49;0.28209;95.388;0.2847;96.361;0.28562;96.259;0.29075
95.474;0.28132;95.491;0.28214;95.389;0.28461;96.362;0.28562;96.26;0.29066
95.477;0.28143;95.492;0.2822;95.39;0.28452;96.363;0.28562;96.261;0.29057
95.48;0.28156;95.493;0.28226;95.391;0.28444;96.364;0.28563;96.262;0.29048
95.483;0.28171;95.494;0.28231;95.392;0.28436;96.365;0.28563;96.263;0.2904
95.486;0.28187;95.495;0.28237;95.393;0.28427;96.366;0.28564;96.264;0.29031
95.489;0.28203;95.496;0.28243;95.394;0.28419;96.367;0.28565;96.265;0.29022
95.492;0.2822;95.497;0.28249;95.395;0.28411;96.368;0.28566;96.266;0.29014
95.495;0.28238;95.498;0.28255;95.396;0.28403;96.369;0.28567;96.267;0.29005
95.498;0.28255;95.499;0.28261;95.397;0.28395;96.37;0.28569;96.268;0.28997
95.501;0.28274;95.5;0.28267;95.398;0.28387;96.371;0.2857;96.269;0.28988
95.504;0.28295;95.501;0.28274;95.399;0.28379;96.372;0.28572;96.27;0.2898
95.507;0.28319;95.502;0.28281;95.4;0.28372;96.373;0.28574;96.271;0.28972
95.51;0.28345;95.503;0.28288;95.401;0.28364;96.374;0.28577;96.272;0.28963
95.513;0.28373;95.504;0.28295;95.402;0.28357;96.375;0.2858;96.273;0.28955
95.516;0.28403;95.505;0.28302;95.403;0.28349;96.376;0.28583;96.274;0.28947
95.519;0.28435;95.506;0.2831;95.404;0.28342;96.377;0.28587;96.275;0.28938
95.522;0.28468;95.507;0.28318;95.405;0.28335;96.378;0.28591;96.276;0.2893
95.525;0.28502;95.508;0.28327;95.406;0.28328;96.379;0.28595;96.277;0.28922
95.528;0.28536;95.509;0.28335;95.407;0.28321;96.38;0.286;96.278;0.28914
95.531;0.28572;95.51;0.28344;95.408;0.28314;96.381;0.28605;96.279;0.28906
95.534;0.28609;95.511;0.28354;95.409;0.28307;96.382;0.28611;96.28;0.28898
95.537;0.28647;95.512;0.28363;95.41;0.283;96.383;0.28616;96.281;0.2889
95.54;0.28686;95.513;0.28373;95.411;0.28294;96.384;0.28622;96.282;0.28882
95.543;0.28726;95.514;0.28382;95.412;0.28287;96.385;0.28629;96.283;0.28874
95.546;0.28767;95.515;0.28392;95.413;0.28281;96.386;0.28635;96.284;0.28866
95.549;0.2881;95.516;0.28403;95.414;0.28274;96.387;0.28642;96.285;0.28858
95.552;0.28853;95.517;0.28413;95.415;0.28268;96.388;0.28649;96.286;0.2885
95.555;0.28896;95.518;0.28424;95.416;0.28262;96.389;0.28655;96.287;0.28843
95.558;0.28939;95.519;0.28434;95.417;0.28256;96.39;0.28662;96.288;0.28835
95.561;0.28985;95.52;0.28445;95.418;0.2825;96.391;0.28669;96.289;0.28827
95.564;0.29033;95.521;0.28456;95.419;0.28244;96.392;0.28676;96.29;0.2882
95.567;0.29084;95.522;0.28467;95.42;0.28238;96.393;0.28682;96.291;0.28812
95.57;0.29138;95.523;0.28478;95.421;0.28232;96.394;0.28689;96.292;0.28804
95.573;0.29193;95.524;0.28489;95.422;0.28227;96.395;0.28696;96.293;0.28797
95.576;0.29249;95.525;0.28501;95.423;0.28221;96.396;0.28702;96.294;0.28789
95.579;0.29306;95.526;0.28512;95.424;0.28216;96.397;0.28709;96.295;0.28782
95.582;0.29364;95.527;0.28524;95.425;0.28211;96.398;0.28715;96.296;0.28774
95.585;0.29424;95.528;0.28536;95.426;0.28205;96.399;0.28722;96.297;0.28767
95.588;0.29486;95.529;0.28548;95.427;0.282;96.4;0.28728;96.298;0.2876
95.591;0.29552;95.53;0.2856;95.428;0.28195;96.401;0.28735;96.299;0.28752
95.594;0.29619;95.531;0.28572;95.429;0.2819;96.402;0.28741;96.3;0.28745
95.597;0.29687;;;95.43;0.28185;;;96.301;0.28738
95.6;0.29756;;;95.431;0.28181;;;96.302;0.2873
95.603;0.29825;;;;;;;;
95.606;0.29895;;;;;;;;
95.609;0.29966;;;;;;;;
95.612;0.30037;;;;;;;;
95.615;0.30109;;;;;;;;
95.618;0.30182;;;;;;;;
95.621;0.30256;;;;;;;;
95.624;0.3033;;;;;;;;
95.627;0.30406;;;;;;;;
95.63;0.30483;;;;;;;;
95.633;0.30563;;;;;;;;
95.636;0.30646;;;;;;;;
95.639;0.3073;;;;;;;;
95.642;0.30816;;;;;;;;
95.645;0.30905;;;;;;;;
95.648;0.30996;;;;;;;;
95.651;0.31087;;;;;;;;
95.654;0.3118;;;;;;;;
95.657;0.31272;;;;;;;;
95.66;0.31364;;;;;;;;
95.663;0.31455;;;;;;;;
95.666;0.31547;;;;;;;;
95.669;0.31639;;;;;;;;
95.672;0.3173;;;;;;;;
95.675;0.31822;;;;;;;;
95.678;0.31913;;;;;;;;
95.681;0.32004;;;;;;;;
95.684;0.32093;;;;;;;;
95.687;0.3218;;;;;;;;
95.69;0.32266;;;;;;;;
95.693;0.3235;;;;;;;;
95.696;0.32432;;;;;;;;
95.699;0.32513;;;;;;;;
95.702;0.32594;;;;;;;;
95.705;0.32675;;;;;;;;
95.708;0.32756;;;;;;;;
95.711;0.32839;;;;;;;;
95.714;0.32923;;;;;;;;
95.717;0.33009;;;;;;;;
95.72;0.33095;;;;;;;;
95.723;0.33181;;;;;;;;
95.726;0.33266;;;;;;;;
95.729;0.33349;;;;;;;;
95.732;0.3343;;;;;;;;
95.735;0.3351;;;;;;;;
95.738;0.3359;;;;;;;;
95.741;0.3367;;;;;;;;
95.744;0.33752;;;;;;;;
95.747;0.33834;;;;;;;;
95.75;0.33916;;;;;;;;
95.753;0.33997;;;;;;;;
95.756;0.34077;;;;;;;;
95.759;0.34155;;;;;;;;
95.762;0.34231;;;;;;;;
95.765;0.34304;;;;;;;;
95.768;0.34373;;;;;;;;
95.771;0.3444;;;;;;;;
95.774;0.34504;;;;;;;;
95.777;0.34565;;;;;;;;
95.78;0.34622;;;;;;;;
95.783;0.34677;;;;;;;;
95.786;0.34729;;;;;;;;
95.789;0.34778;;;;;;;;
95.792;0.34825;;;;;;;;
95.795;0.34869;;;;;;;;
95.798;0.34909;;;;;;;;
95.801;0.34947;;;;;;;;
95.804;0.34981;;;;;;;;
95.807;0.35012;;;;;;;;
95.81;0.3504;;;;;;;;
95.813;0.35064;;;;;;;;
95.816;0.35084;;;;;;;;
95.819;0.35098;;;;;;;;
95.822;0.35108;;;;;;;;
95.825;0.35115;;;;;;;;
95.828;0.35117;;;;;;;;
95.831;0.35118;;;;;;;;
