i;ii;iii;iv
-2.731e-05;3.8154e-05;-7.737e-05;-0.00026678
-0.00010084;0.00012865;-0.00025024;-0.00089356
-0.00023338;0.00027775;-0.0005163;-0.0018939
-0.00043612;0.00049322;-0.00087514;-0.003262
-0.00071933;0.00078365;-0.0013287;-0.0049755
-0.0010914;0.0011573;-0.0018804;-0.0070017
-0.0015561;0.0016206;-0.0025341;-0.0093034
-0.0021098;0.0021769;-0.0032919;-0.011841
-0.0027406;0.0028265;-0.004157;-0.014573
-0.0034308;0.0035694;-0.0051359;-0.017455
-0.0041597;0.004407;-0.0062384;-0.020444
-0.004907;0.0053426;-0.0074745;-0.023501
-0.0056538;0.0063807;-0.0088512;-0.026599
-0.0063831;0.0075276;-0.010372;-0.029724
-0.0070807;0.0087902;-0.012039;-0.032867
-0.0077347;0.010173;-0.013853;-0.036031
-0.0083371;0.011676;-0.015818;-0.039223
-0.008885;0.013295;-0.017934;-0.042456
-0.0093811;0.01502;-0.020202;-0.045748
-0.0098324;0.016838;-0.022622;-0.049122
-0.010248;0.018732;-0.025194;-0.052602
-0.01064;0.020681;-0.027921;-0.056209
-0.011017;0.022661;-0.030806;-0.059954
-0.011392;0.024648;-0.033848;-0.063841
-0.011772;0.026617;-0.037047;-0.067861
-0.012168;0.028541;-0.040394;-0.071999
-0.012587;0.030395;-0.043879;-0.076236
-0.013033;0.032157;-0.047488;-0.080558
-0.01351;0.033809;-0.051203;-0.084951
-0.014015;0.035341;-0.055007;-0.089404
-0.014547;0.036752;-0.05888;-0.093904
-0.015101;0.038047;-0.062804;-0.098437
-0.01567;0.039234;-0.066758;-0.103
-0.01625;0.04032;-0.070723;-0.10758
-0.016833;0.041316;-0.074678;-0.11218
-0.017414;0.042233;-0.078607;-0.11681
-0.017986;0.043083;-0.082495;-0.12148
-0.018548;0.04388;-0.086334;-0.12619
-0.019098;0.044638;-0.090119;-0.13096
-0.01964;0.045375;-0.093847;-0.13579
-0.020179;0.046104;-0.09752;-0.14067
-0.020721;0.046834;-0.10114;-0.14561
-0.021271;0.047569;-0.10471;-0.15059
-0.021833;0.048308;-0.10823;-0.15557
-0.02241;0.049046;-0.11172;-0.16052
-0.023008;0.049774;-0.11516;-0.16539
-0.023627;0.050482;-0.11857;-0.17014
-0.024264;0.05116;-0.12193;-0.17475
-0.02491;0.051797;-0.12525;-0.17916
-0.025555;0.052388;-0.12854;-0.18337
-0.026187;0.052937;-0.13177;-0.18732
-0.026793;0.053453;-0.13495;-0.191
-0.02736;0.053953;-0.13806;-0.1944
-0.027879;0.054447;-0.14109;-0.19751
-0.028341;0.054943;-0.14401;-0.20034
-0.028739;0.055446;-0.14683;-0.20292
-0.029068;0.055963;-0.14953;-0.20527
-0.029326;0.056502;-0.15209;-0.20743
-0.029515;0.057077;-0.15451;-0.20941
-0.029639;0.057697;-0.15678;-0.21125
-0.029707;0.058364;-0.1589;-0.21298
-0.029725;0.059071;-0.16087;-0.21462
-0.029702;0.059812;-0.1627;-0.21618
-0.029645;0.060581;-0.16438;-0.21766
-0.029563;0.061375;-0.16592;-0.21904
-0.029462;0.06219;-0.16733;-0.22029
-0.029345;0.063027;-0.16863;-0.22139
-0.029212;0.063885;-0.16982;-0.22231
-0.029058;0.064763;-0.17092;-0.22301
-0.028876;0.065667;-0.17193;-0.22347
-0.028655;0.0666;-0.17289;-0.22368
-0.028387;0.06757;-0.1738;-0.22362
-0.028062;0.068584;-0.17471;-0.2233
-0.027673;0.069648;-0.17563;-0.22274
-0.027216;0.070765;-0.1766;-0.22199
-0.026691;0.071933;-0.17764;-0.2211
-0.026103;0.073151;-0.17879;-0.22012
-0.025457;0.074418;-0.18005;-0.21908
-0.024764;0.075733;-0.18146;-0.21803
-0.024035;0.077092;-0.18302;-0.21702
-0.023283;0.078485;-0.18474;-0.21609
-0.022519;0.079897;-0.18661;-0.21528
-0.021753;0.081313;-0.18865;-0.2146
-0.020992;0.082715;-0.19086;-0.21407
-0.020243;0.084091;-0.19322;-0.21366
-0.019514;0.08543;-0.19574;-0.21338
-0.018809;0.086727;-0.19841;-0.21321
-0.018132;0.087979;-0.20121;-0.21311
-0.017482;0.089185;-0.20412;-0.21307
-0.016858;0.090344;-0.20711;-0.21307
-0.016255;0.091458;-0.21016;-0.21308
-0.015671;0.092524;-0.21324;-0.21307
-0.015101;0.093541;-0.21633;-0.21303
-0.014543;0.094506;-0.21939;-0.21295
-0.013993;0.095415;-0.22241;-0.21285
-0.013448;0.09627;-0.22536;-0.21272
-0.012906;0.097071;-0.22823;-0.21259
-0.012368;0.097816;-0.231;-0.21247
-0.011838;0.098504;-0.23365;-0.21238
-0.011324;0.099129;-0.23618;-0.21232
-0.010834;0.099681;-0.23858;-0.21231
-0.010377;0.10015;-0.24083;-0.21235
-0.0099586;0.10053;-0.24293;-0.21241
-0.0095819;0.10079;-0.24486;-0.21247
-0.0092488;0.10094;-0.24661;-0.21246
-0.0089592;0.10096;-0.24818;-0.21234
-0.0087112;0.10084;-0.24955;-0.21204
-0.0085003;0.10059;-0.25072;-0.2115
-0.0083186;0.1002;-0.25168;-0.21068
-0.0081568;0.099661;-0.25244;-0.20953
-0.0080053;0.098982;-0.25297;-0.20799
-0.0078552;0.098164;-0.25329;-0.20603
-0.0076987;0.097218;-0.25338;-0.20361
-0.0075286;0.096156;-0.25323;-0.20073
-0.0073389;0.094997;-0.25285;-0.1974
-0.007125;0.09376;-0.25225;-0.19362
-0.0068852;0.092469;-0.25142;-0.18943
-0.0066211;0.091147;-0.25037;-0.18484
-0.0063379;0.089818;-0.24912;-0.17986
-0.0060422;0.088505;-0.24766;-0.17453
-0.0057403;0.087224;-0.246;-0.16885
-0.0054365;0.085987;-0.24415;-0.16285
-0.0051329;0.084799;-0.24211;-0.15655
-0.0048294;0.083657;-0.23989;-0.14996
-0.0045233;0.082554;-0.2375;-0.1431
-0.0042106;0.08148;-0.23494;-0.13595
-0.0038863;0.080418;-0.23222;-0.12854
-0.003544;0.079352;-0.22937;-0.12088
-0.0031766;0.078263;-0.22639;-0.11298
-0.0027781;0.077141;-0.2233;-0.10488
-0.002344;0.07598;-0.22013;-0.096619
-0.0018709;0.074786;-0.21688;-0.088235
-0.0013561;0.073568;-0.21357;-0.079779
-0.00079818;0.072342;-0.21022;-0.071311
-0.0001976;0.071122;-0.20681;-0.062902
0.00044386;0.069924;-0.20338;-0.054631
0.0011233;0.068766;-0.19991;-0.046592
0.0018365;0.067659;-0.19642;-0.038887
0.0025784;0.066616;-0.1929;-0.031619
0.0033431;0.06564;-0.18934;-0.024887
0.0041241;0.064726;-0.18574;-0.018766
0.0049138;0.063864;-0.18209;-0.013304
0.0057031;0.06304;-0.17839;-0.0085168
0.0064812;0.062238;-0.17462;-0.0043908
0.0072351;0.061442;-0.17078;-0.00089125
0.0079507;0.06064;-0.16686;0.0020282
0.0086139;0.059822;-0.16286;0.0044186
0.0092128;0.058978;-0.15877;0.0063333
0.0097382;0.0581;-0.15459;0.0078275
0.010183;0.057181;-0.15032;0.0089573
0.010542;0.05622;-0.14597;0.0097774
0.01081;0.055217;-0.14154;0.010338
0.010985;0.054173;-0.13704;0.010682
0.011067;0.053086;-0.13248;0.010842
0.01106;0.051956;-0.12787;0.010837
0.010971;0.050778;-0.12322;0.010675
0.010808;0.049548;-0.11856;0.010358
0.01058;0.04826;-0.11391;0.0098837
0.010299;0.046908;-0.10927;0.0092515
0.009979;0.045487;-0.10467;0.0084604
0.0096342;0.043989;-0.10011;0.0075086
0.0092822;0.042407;-0.095613;0.0063987
0.0089406;0.040737;-0.091176;0.0051463
0.0086241;0.038977;-0.086811;0.0037849
0.008343;0.03713;-0.08252;0.0023644
0.0081035;0.0352;-0.0783;0.00094291
0.00791;0.033194;-0.074147;-0.000423
0.0077673;0.03112;-0.070055;-0.0016829
0.0076804;0.028992;-0.066021;-0.0027923
0.0076523;0.026829;-0.06204;-0.0037124
0.0076825;0.024656;-0.058109;-0.0044122
0.0077661;0.022502;-0.054227;-0.0048732
0.0078952;0.020399;-0.050396;-0.0050944
0.0080591;0.018378;-0.046619;-0.005092
0.0082445;0.016468;-0.042904;-0.0048947
0.0084359;0.014696;-0.039264;-0.0045376
0.0086148;0.013085;-0.035716;-0.0040591
0.0087607;0.011651;-0.032277;-0.0035
0.0088542;0.010405;-0.028963;-0.0029047
0.0088786;0.0093484;-0.025788;-0.0023209
0.0088226;0.0084721;-0.022769;-0.0017954
0.0086797;0.0077573;-0.019919;-0.0013669
0.0084472;0.007179;-0.017253;-0.0010592
0.0081249;0.0067087;-0.014783;-0.00087896
0.0077147;0.0063158;-0.012517;-0.00081704
0.0072209;0.005969;-0.010464;-0.00085113
0.0066519;0.0056373;-0.008627;-0.00095103
0.0060209;0.0052913;-0.007005;-0.0010849
0.0053448;0.0049071;-0.0055914;-0.001222
0.0046414;0.0044704;-0.0043754;-0.0013336
0.0039295;0.0039793;-0.0033443;-0.0013944
0.0032295;0.0034424;-0.0024846;-0.0013863
0.002562;0.0028752;-0.001783;-0.0013027
0.0019458;0.0022979;-0.0012258;-0.0011491
0.0013966;0.001733;-0.00079801;-0.00094143
0.000927;0.0012057;-0.00048238;-0.00070293
0.00054671;0.0007424;-0.00026045;-0.00046074
0.00026288;0.00037078;-0.00011522;-0.00024371
8.0143e-05;0.00011668;-3.2493e-05;-8.0851e-05
0;0;0;0
3.4795e-05;-4.7701e-06;3.7324e-05;0.00043851
0.00011725;8.3918e-06;0.00012584;0.001467
0.00025245;7.0593e-05;0.00026809;0.0031131
0.00044824;0.0002114;0.00046251;0.0053878
0.0007169;0.00045497;0.00070216;0.0082945
0.0010738;0.00081791;0.00097388;0.011839
0.0015333;0.0013095;0.0012589;0.016036
0.0021039;0.0019331;0.0015352;0.02091
0.0027853;0.0026869;0.0017801;0.026495
0.0035686;0.0035658;0.0019719;0.032834
0.0044391;0.0045624;0.0020899;0.039977
0.0053787;0.0056675;0.0021132;0.047987
0.0063662;0.0068704;0.0020223;0.056938
0.0073773;0.008159;0.0018008;0.066907
0.0083836;0.0095194;0.0014353;0.077968
0.0093538;0.010935;0.00091433;0.09019
0.010258;0.012385;0.00022631;0.10362
0.011069;0.01385;-0.00064111;0.11829
0.011766;0.015311;-0.0017014;0.13419
0.01233;0.016757;-0.0029683;0.15127
0.012742;0.018183;-0.0044534;0.16945
0.012983;0.019589;-0.0061651;0.18862
0.013037;0.020979;-0.0081088;0.20861
0.01289;0.022359;-0.010288;0.2292
0.01253;0.02374;-0.012704;0.25014
0.011947;0.025132;-0.015356;0.27119
0.011132;0.026544;-0.018241;0.29209
0.010082;0.027983;-0.021357;0.31264
0.0087934;0.029445;-0.024701;0.33267
0.007271;0.030925;-0.028267;0.35205
0.0055223;0.032414;-0.03205;0.37071
0.0035611;0.033904;-0.036038;0.38862
0.0014064;0.035385;-0.040215;0.4058
-0.00091877;0.03685;-0.044564;0.42227
-0.0033886;0.038289;-0.049065;0.4381
-0.0059746;0.039696;-0.053695;0.45331
-0.0086446;0.041072;-0.058429;0.46796
-0.011362;0.042421;-0.063243;0.48206
-0.014088;0.043758;-0.068114;0.49564
-0.01678;0.045098;-0.073018;0.50871
-0.019396;0.046461;-0.077932;0.52127
-0.021898;0.047866;-0.082838;0.53326
