i;ii;iii;iv
1.4406e-05;9.0074e-07;4.9443e-06;-1.2135e-05
4.4516e-05;2.8277e-06;1.8084e-05;-4.0182e-05
8.6514e-05;5.6081e-06;4.18e-05;-8.4533e-05
0.00013605;9.0077e-06;7.8302e-05;-0.00014522
0.00018849;1.2692e-05;0.00012951;-0.00022192
0.00023908;1.6205e-05;0.00019698;-0.00031394
0.00028322;1.8989e-05;0.00028181;-0.00042026
0.00031656;2.0428e-05;0.00038459;-0.00053952
0.0003351;1.9906e-05;0.00050543;-0.00067007
0.00033528;1.6849e-05;0.00064393;-0.00080992
0.00031388;1.0768e-05;0.0007992;-0.0009568
0.00026805;1.29e-06;0.00097004;-0.0011081
0.00019526;-1.1822e-05;0.001155;-0.0012611
9.3308e-05;-2.8644e-05;0.0013525;-0.0014125
-3.9689e-05;-4.9075e-05;0.0015613;-0.0015591
-0.00020531;-7.2816e-05;0.0017803;-0.0016975
-0.00040479;-9.9351e-05;0.0020091;-0.0018244
-0.00063893;-0.00012794;0.0022481;-0.0019364
-0.00090804;-0.00015762;0.0024985;-0.0020305
-0.0012118;-0.00018718;0.0027627;-0.0021038
-0.0015491;-0.00021522;0.0030433;-0.002154
-0.001918;-0.00024014;0.0033432;-0.0021793
-0.0023155;-0.00026018;0.0036652;-0.0021782
-0.0027373;-0.00027343;0.0040114;-0.0021495
-0.0031781;-0.00027794;0.0043835;-0.0020925
-0.0036312;-0.00027171;0.0047821;-0.0020065
-0.0040895;-0.0002528;0.0052064;-0.0018913
-0.0045452;-0.00021941;0.0056549;-0.0017469
-0.0049904;-0.00017001;0.0061246;-0.0015733
-0.0054176;-0.00010339;0.006612;-0.0013713
-0.0058198;-1.8752e-05;0.007113;-0.0011415
-0.0061912;8.4348e-05;0.0076235;-0.00088476
-0.0065273;0.00020606;0.0081395;-0.00060217
-0.0068246;0.00034632;0.0086574;-0.00029478
-0.0070813;0.00050492;0.0091748;3.6284e-05
-0.007296;0.00068155;0.0096901;0.00038983
-0.0074686;0.00087579;0.010202;0.00076455
-0.0075991;0.0010871;0.010712;0.001159
-0.0076882;0.001315;0.011218;0.0015718
-0.0077368;0.0015587;0.011723;0.0020014
-0.0077459;0.0018175;0.012225;0.0024464
-0.0077168;0.0020906;0.012726;0.0029055
-0.0076508;0.0023774;0.013224;0.0033775
-0.0075489;0.002677;0.013721;0.0038615
-0.0074124;0.0029887;0.014213;0.0043567
-0.0072422;0.0033117;0.014702;0.0048626
-0.0070392;0.0036451;0.015184;0.0053787
-0.0068042;0.003988;0.015658;0.0059048
-0.0065381;0.0043394;0.016121;0.0064405
-0.0062417;0.0046986;0.016573;0.0069856
-0.0059159;0.0050649;0.017012;0.0075399
-0.0055618;0.0054377;0.017435;0.0081029
-0.0051804;0.0058171;0.017843;0.0086738
-0.004773;0.006203;0.018235;0.0092515
-0.0043412;0.0065958;0.018611;0.0098343
-0.0038867;0.0069964;0.01897;0.010421
-0.0034118;0.0074057;0.019314;0.011008
-0.0029194;0.0078245;0.019641;0.011594
-0.0024127;0.0082539;0.019952;0.012178
-0.0018957;0.0086945;0.020247;0.012756
-0.0013727;0.0091467;0.020528;0.013327
-0.0008485;0.0096101;0.020796;0.01389
-0.00032836;0.010084;0.02105;0.014443
0.00018208;0.010566;0.021294;0.014986
0.0006768;0.011054;0.021528;0.015519
0.0011495;0.011545;0.021751;0.016042
0.0015937;0.012036;0.021967;0.016555
0.0020031;0.012525;0.022173;0.017059
0.0023716;0.013009;0.02237;0.017556
0.002694;0.013487;0.022559;0.018046
0.0029661;0.013959;0.022738;0.018532
0.0031852;0.014426;0.022906;0.019014
0.0033503;0.014889;0.023063;0.019495
0.0034627;0.015353;0.023206;0.019976
0.0035258;0.01582;0.023334;0.020459
0.0035447;0.016293;0.023446;0.020945
0.0035261;0.016775;0.02354;0.021435
0.0034773;0.017267;0.023614;0.021931
0.0034061;0.017768;0.023669;0.022433
0.0033202;0.018275;0.023703;0.022941
0.0032264;0.018781;0.023715;0.023455
0.0031308;0.01928;0.023705;0.023973
0.0030382;0.019762;0.023671;0.024495
0.0029518;0.020218;0.023614;0.025019
0.002874;0.02064;0.023533;0.025543
0.0028063;0.021019;0.023427;0.026066
0.0027491;0.02135;0.023297;0.026584
0.0027026;0.02163;0.023143;0.027097
0.0026665;0.021861;0.022966;0.0276
0.0026403;0.022044;0.022765;0.028091
0.0026232;0.022187;0.022543;0.028568
0.0026147;0.022297;0.022299;0.029029
0.0026142;0.022381;0.022035;0.029471
0.0026212;0.022448;0.021752;0.029894
0.002635;0.022504;0.021453;0.030297
0.0026553;0.022557;0.021139;0.030679
0.0026817;0.022607;0.020814;0.031042
0.0027138;0.022657;0.02048;0.031385
0.0027513;0.022705;0.02014;0.031712
0.0027938;0.022748;0.019797;0.032022
0.0028411;0.022785;0.019455;0.032318
