t;z;z0
109.188;-3.84463;NaN
109.189;-3.84611;NaN
109.19;-3.85115;NaN
109.191;-3.85821;NaN
109.192;-3.86641;NaN
109.193;-3.87338;NaN
109.194;-3.88074;NaN
109.195;-3.8877;NaN
109.196;-3.89513;NaN
109.197;-3.9023;NaN
109.198;-3.90939;NaN
109.199;-3.91631;NaN
109.2;-3.92258;NaN
109.201;-3.92878;NaN
109.202;-3.93651;NaN
109.203;-3.94254;NaN
109.204;-3.94893;NaN
109.205;-3.95485;NaN
109.206;-3.9608;NaN
109.207;-3.96711;NaN
109.208;-3.97324;NaN
109.209;-3.97916;NaN
109.21;-3.98522;NaN
109.211;-3.9864;NaN
109.212;-3.99094;NaN
109.213;-3.99703;NaN
109.214;-4.00255;NaN
109.215;-4.00789;NaN
109.216;-4.01539;NaN
109.217;-4.02322;NaN
109.218;-4.02915;NaN
109.219;-4.0345;NaN
109.22;-4.0407;NaN
109.221;-4.04711;NaN
109.222;-4.05305;NaN
109.223;-4.05871;NaN
109.224;-4.06588;NaN
109.225;-4.0705;NaN
109.226;-4.07582;NaN
109.227;-4.08346;NaN
109.228;-4.08951;NaN
109.229;-4.09532;NaN
109.23;-4.09653;NaN
109.231;-4.10118;NaN
109.232;-4.10665;NaN
109.233;-4.11273;NaN
109.234;-4.11849;NaN
109.235;-4.12471;NaN
109.236;-4.13246;NaN
109.237;-4.13857;NaN
109.238;-4.14444;NaN
109.239;-4.15033;NaN
109.24;-4.1571;NaN
109.241;-4.16371;NaN
109.242;-4.16935;NaN
109.243;-4.17596;NaN
109.244;-4.18196;NaN
109.245;-4.18323;NaN
109.246;-4.18765;NaN
109.247;-4.19336;NaN
109.248;-4.20171;NaN
109.249;-4.20846;NaN
109.25;-4.21389;NaN
109.251;-4.21957;NaN
109.252;-4.22578;NaN
109.253;-4.2323;NaN
109.254;-4.23843;NaN
109.255;-4.24477;NaN
109.256;-4.2533;NaN
109.257;-4.25806;NaN
109.258;-4.26633;NaN
109.259;-4.27375;NaN
109.26;-4.28044;NaN
109.261;-4.28744;NaN
109.262;-4.28894;NaN
109.263;-4.29493;NaN
109.264;-4.30712;NaN
109.265;-4.31506;NaN
109.266;-4.31632;NaN
109.267;-4.32101;NaN
109.268;-4.3274;NaN
109.269;-4.3345;NaN
109.27;-4.34121;NaN
109.271;-4.34743;NaN
109.272;-4.35432;NaN
109.273;-4.36086;NaN
109.274;-4.37038;NaN
109.275;-4.37737;NaN
109.276;-4.38417;NaN
109.277;-4.39163;NaN
109.278;-4.39783;NaN
109.279;-4.40427;NaN
109.28;-4.41077;NaN
109.281;-4.41744;NaN
109.282;-4.4245;NaN
109.283;-4.43202;NaN
109.284;-4.43916;NaN
109.285;-4.44069;NaN
109.286;-4.44686;NaN
109.287;-4.45376;NaN
109.288;-4.46071;-4.46071
109.289;-4.46697;-4.46697
109.29;-4.47372;-4.47372
109.291;-4.47964;-4.47964
109.292;-4.48746;-4.48746
109.293;-4.49476;-4.49476
109.294;-4.50296;-4.50296
109.295;-4.50961;-4.50961
109.296;-4.51582;-4.51582
109.297;-4.52158;-4.52158
109.298;-4.52716;-4.52716
109.299;-4.53272;-4.53272
109.3;-4.53779;-4.53779
109.301;-4.54306;-4.54306
109.302;-4.54851;-4.54851
109.303;-4.54961;-4.54961
109.304;-4.55654;-4.55654
109.305;-4.56312;-4.56312
109.306;-4.56835;-4.56835
109.307;-4.5735;-4.5735
109.308;-4.57942;-4.57942
109.309;-4.58471;-4.58471
109.31;-4.58989;-4.58989
109.311;-4.59507;-4.59507
109.312;-4.60011;-4.60011
109.313;-4.60491;-4.60491
109.314;-4.61038;-4.61038
109.315;-4.61721;-4.61721
109.316;-4.62271;-4.62271
109.317;-4.62744;-4.62744
109.318;-4.63236;-4.63236
109.319;-4.63353;-4.63353
109.32;-4.63707;-4.63707
109.321;-4.6413;-4.6413
109.322;-4.64562;-4.64562
109.323;-4.65052;-4.65052
109.324;-4.65524;-4.65524
109.325;-4.6593;-4.6593
109.326;-4.66297;-4.66297
109.327;-4.66656;-4.66656
109.328;-4.67016;-4.67016
109.329;-4.67332;-4.67332
109.33;-4.67613;-4.67613
109.331;-4.67884;-4.67884
109.332;-4.68176;-4.68176
109.333;-4.68457;-4.68457
109.334;-4.68511;-4.68511
109.335;-4.68839;-4.68839
109.336;-4.69088;-4.69088
109.337;-4.69129;-4.69129
109.338;-4.69262;-4.69262
109.339;-4.69367;-4.69367
109.34;-4.6956;-4.6956
109.341;-4.69719;-4.69719
109.342;-4.69926;-4.69926
109.343;-4.70017;-4.70017
109.344;-4.70213;-4.70213
109.345;-4.70306;-4.70306
109.346;-4.70406;-4.70406
109.347;-4.70408;-4.70408
109.348;-4.70407;-4.70407
109.349;-4.70395;-4.70395
109.35;-4.70351;-4.70351
109.351;-4.70321;-4.70321
109.352;-4.70258;-4.70258
109.353;-4.70144;-4.70144
109.354;-4.70142;-4.70142
109.355;-4.70151;-4.70151
109.356;-4.69989;-4.69989
109.357;-4.69774;-4.69774
109.358;-4.69583;-4.69583
109.359;-4.69418;-4.69418
109.36;-4.68987;-4.68987
109.361;-4.68658;-4.68658
109.362;-4.68322;-4.68322
109.363;-4.68016;-4.68016
109.364;-4.67712;-4.67712
109.365;-4.6725;-4.6725
109.366;-4.66827;-4.66827
109.367;-4.66346;-4.66346
109.368;-4.65813;-4.65813
109.369;-4.65234;-4.65234
109.37;-4.64379;-4.64379
109.371;-4.64157;-4.64157
109.372;-4.63629;-4.63629
109.373;-4.62954;-4.62954
109.374;-4.62266;-4.62266
109.375;-4.61665;-4.61665
109.376;-4.61029;-4.61029
109.377;-4.60259;-4.60259
109.378;-4.59529;-4.59529
109.379;-4.58856;-4.58856
109.38;-4.57748;-4.57748
109.381;-4.56982;-4.56982
109.382;-4.56196;-4.56196
109.383;-4.55367;-4.55367
109.384;-4.54454;-4.54454
109.385;-4.53513;-4.53513
109.386;-4.52605;-4.52605
109.387;-4.51644;-4.51644
109.388;-4.50659;-4.50659
109.389;-4.50469;-4.49667
109.39;-4.49117;-4.48664
109.391;-4.47908;-4.47653
109.392;-4.46716;-4.46633
109.393;-4.45556;-4.45603
109.394;-4.44466;-4.44563
109.395;-4.43558;-4.43515
109.396;-4.42818;-4.42456
109.397;-4.4242;-4.41388
109.398;-4.41612;-4.4031
109.399;-4.41096;-4.39222
109.4;-4.40826;-4.38124
109.401;-4.40576;-4.37017
109.402;-4.4047;-4.35899
109.403;-4.40472;-4.34771
109.404;-4.40476;-4.33633
109.405;-4.40476;-4.32484
109.406;-4.40919;-4.31326
109.407;-4.41311;-4.30156
109.408;-4.41977;-4.28977
109.409;-4.42623;-4.27786
109.41;-4.42992;-4.26585
109.411;-4.4365;-4.25373
109.412;-4.44445;-4.2415
109.413;-4.45388;-4.22917
109.414;-4.46293;-4.21672
109.415;-4.47461;-4.20416
109.416;-4.48578;-4.19149
109.417;-4.49628;-4.17871
109.418;-4.51115;-4.16582
109.419;-4.52137;-4.15281
109.42;-4.53355;-4.13968
109.421;-4.55063;-4.12645
109.422;-4.565;-4.11309
109.423;-4.58079;-4.09962
109.424;-4.59545;-4.08603
109.425;-4.5984;-4.07232
109.426;-4.60882;-4.05849
109.427;-4.62415;-4.04455
109.428;-4.63606;-4.03048
109.429;-4.64565;-4.01629
109.43;-4.65278;-4.00197
109.431;-4.65774;-3.98754
109.432;-4.66065;-3.97298
109.433;-4.66457;-3.95829
109.434;-4.66569;-3.94348
109.435;-4.66481;-3.92855
109.436;-4.66348;-3.91348
109.437;-4.65894;-3.89829
109.438;-4.65544;-3.88297
109.439;-4.65156;-3.86752
109.44;-4.64761;-3.85194
109.441;-4.64427;-3.83623
109.442;-4.63954;-3.82038
109.443;-4.63263;-3.80441
109.444;-4.62362;-3.7883
109.445;-4.61122;-3.77206
109.446;-4.59703;-3.75568
109.447;-4.59357;-3.73917
109.448;-4.58455;-3.72252
109.449;-4.57308;-3.70573
109.45;-4.53199;-3.6888
109.451;-4.50583;-3.67174
109.452;-4.47994;-3.65454
109.453;-4.45376;-3.63719
109.454;-4.42801;-3.61971
109.455;-4.40244;-3.60208
109.456;-4.36647;-3.58431
109.457;-4.33536;-3.5664
109.458;-4.30715;-3.54834
109.459;-4.27888;-3.53014
109.46;-4.25057;-3.51179
109.461;-4.22064;-3.4933
109.462;-4.21446;-3.47466
109.463;-4.19356;-3.45587
109.464;-4.16669;-3.43693
109.465;-4.13949;-3.41784
109.466;-4.11171;-3.3986
109.467;-4.0759;-3.37921
109.468;-4.04727;-3.35967
109.469;-4.02127;-3.33997
109.47;-3.99615;-3.32013
109.471;-3.96922;-3.30012
109.472;-3.94367;-3.27997
109.473;-3.90778;-3.25965
109.474;-3.88599;-3.23918
109.475;-3.84991;-3.21855
109.476;-3.81843;-3.19777
109.477;-3.78986;-3.17682
109.478;-3.76107;-3.15572
109.479;-3.73182;-3.13445
109.48;-3.72665;-3.11303
109.481;-3.67932;-3.09144
109.482;-3.66762;-3.06969
109.483;-3.64479;-3.04777
109.484;-3.61658;-3.0257
109.485;-3.58747;-3.00345
109.486;-3.54728;-2.98104
109.487;-3.51392;-2.95846
109.488;-3.4852;-2.93572
109.489;-3.45458;-2.91281
109.49;-3.42552;-2.88972
109.491;-3.39378;-2.86647
109.492;-3.36284;-2.84305
109.493;-3.33049;-2.81946
109.494;-3.28803;-2.79569
109.495;-3.27762;-2.77175
109.496;-3.22508;-2.74764
109.497;-3.21245;-2.72335
109.498;-3.18704;-2.69889
109.499;-3.15338;-2.67425
109.5;-3.11889;-2.64944
109.501;-3.08524;-2.62444
109.502;-3.04863;-2.59927
109.503;-3.01469;-2.57392
109.504;-2.98001;-2.54839
109.505;-2.94479;-2.52268
109.506;-2.89713;-2.49679
109.507;-2.85745;-2.47071
109.508;-2.82085;-2.44446
109.509;-2.7851;-2.41801
109.51;-2.74689;-2.39139
109.511;-2.70879;-2.36458
109.512;-2.67127;-2.33758
109.513;-2.63454;-2.31039
109.514;-2.59651;-2.28302
109.515;-2.56074;-2.25546
109.516;-2.55172;-2.22771
109.517;-2.52225;-2.19977
109.518;-2.4698;-2.17164
109.519;-2.42965;-2.14332
109.52;-2.38956;-2.1148
109.521;-2.34905;-2.08609
109.522;-2.31287;-2.05719
109.523;-2.27265;-2.02809
109.524;-2.23201;-1.9988
109.525;-2.18998;-1.96931
109.526;-2.14832;-1.93963
109.527;-2.09344;-1.90974
109.528;-2.06339;-1.87966
109.529;-2.01158;-1.84938
109.53;-1.96962;-1.8189
109.531;-1.92793;-1.78822
109.532;-1.88591;-1.75733
109.533;-1.87701;-1.72625
109.534;-1.81473;-1.69496
109.535;-1.79452;-1.66346
109.536;-1.76138;-1.63176
109.537;-1.72009;-1.59986
109.538;-1.66346;-1.56775
109.539;-1.6175;-1.53543
109.54;-1.57802;-1.50291
109.541;-1.53414;-1.47017
109.542;-1.49297;-1.43723
109.543;-1.45023;-1.40408
109.544;-1.40788;-1.37071
109.545;-1.36696;-1.33713
109.546;-1.32557;-1.30334
109.547;-1.28334;-1.26934
109.548;-1.23942;-1.23513
109.549;-1.18391;-1.20069
109.55;-1.138;-1.16605
109.551;-1.12909;-1.13118
109.552;-1.09586;-1.0961
109.553;-1.05449;-1.0608
109.554;-1.01512;-1.02529
109.555;-0.972486;-0.989548
109.556;-0.931393;-0.95359
109.557;-0.890657;-0.917412
109.558;-0.850125;-0.881011
109.559;-0.795512;-0.844388
109.56;-0.750225;-0.807541
109.561;-0.710156;-0.770471
109.562;-0.670114;-0.733175
109.563;-0.630249;-0.695653
109.564;-0.589953;-0.657905
109.565;-0.548034;-0.619929
109.566;-0.507839;-0.581726
109.567;-0.468199;-0.543293
109.568;-0.415984;-0.504631
109.569;-0.40382;-0.465739
109.57;-0.40382;-0.426615
109.571;-0.342478;-0.387259
109.572;-0.293316;-0.347671
109.573;-0.256346;-0.307849
109.574;-0.216576;-0.267792
109.575;-0.173634;-0.227501
109.576;-0.137506;-0.186974
109.577;-0.100315;-0.14621
109.578;-0.0622542;-0.105208
109.579;-0.0245464;-0.0639688
109.58;0.0133897;-0.0224902
109.581;0.0500173;0.019228
109.582;0.085833;0.0611868
109.583;0.135053;0.103387
109.584;0.174958;0.145829
109.585;0.210106;0.188514
109.586;0.246535;0.231443
109.587;0.282003;0.274616
109.588;0.318034;0.318034
109.589;0.352894;0.352894
109.59;0.360224;0.360224
109.591;0.387918;0.387918
109.592;0.420545;0.420545
109.593;0.453945;0.453945
109.594;0.487493;0.487493
109.595;0.53293;0.53293
109.596;0.570607;0.570607
109.597;0.603833;0.603833
109.598;0.636835;0.636835
109.599;0.66851;0.66851
109.6;0.700644;0.700644
109.601;0.73361;0.73361
109.602;0.764566;0.764566
109.603;0.804511;0.804511
109.604;0.837405;0.837405
109.605;0.867875;0.867875
109.606;0.897981;0.897981
109.607;0.903562;0.903562
109.608;0.923661;0.923661
109.609;0.953558;0.953558
109.61;0.981209;0.981209
109.611;1.00947;1.00947
109.612;1.03847;1.03847
109.613;1.06603;1.06603
109.614;1.09321;1.09321
109.615;1.12905;1.12905
109.616;1.15738;1.15738
109.617;1.18244;1.18244
109.618;1.20996;1.20996
109.619;1.23564;1.23564
109.62;1.26217;1.26217
109.621;1.28646;1.28646
109.622;1.31184;1.31184
109.623;1.33594;1.33594
109.624;1.36107;1.36107
109.625;1.36603;1.36603
109.626;1.39629;1.39629
109.627;1.42294;1.42294
109.628;1.44732;1.44732
109.629;1.47003;1.47003
109.63;1.49386;1.49386
109.631;1.51568;1.51568
109.632;1.53871;1.53871
109.633;1.56006;1.56006
109.634;1.58131;1.58131
109.635;1.60299;1.60299
109.636;1.63098;1.63098
109.637;1.65335;1.65335
109.638;1.67292;1.67292
109.639;1.69197;1.69197
109.64;1.71225;1.71225
109.641;1.73151;1.73151
109.642;1.73584;1.73584
109.643;1.75177;1.75177
109.644;1.77776;1.77776
109.645;1.79923;1.79923
109.646;1.81717;1.81717
109.647;1.83572;1.83572
109.648;1.85451;1.85451
109.649;1.87186;1.87186
109.65;1.88939;1.88939
109.651;1.90713;1.90713
109.652;1.92534;1.92534
109.653;1.94301;1.94301
109.654;1.96099;1.96099
109.655;1.98479;1.98479
109.656;2.00443;2.00443
109.657;2.02026;2.02026
109.658;2.0366;2.0366
109.659;2.05125;2.05125
109.66;2.06677;2.06677
109.661;2.07013;2.07013
109.662;2.08273;2.08273
109.663;2.09787;2.09787
109.664;2.1119;2.1119
109.665;2.13231;2.13231
109.666;2.14725;2.14725
109.667;2.16104;2.16104
109.668;2.17494;2.17494
109.669;2.18791;2.18791
