idx_id_wdw_csv,idx_interp_spl_csv,K_med_err_csv
100,200,0.2599402
103,200,0.3424712
106,200,0.3565598
109,200,0.3910532
112,200,0.3829878
115,200,0.3504069
118,200,0.3102928
121,200,0.2718889
124,200,0.2725356
127,200,0.304211
130,200,0.2843317
133,200,0.2949442
136,200,0.2993217
139,200,0.2764126
142,200,0.2454153
145,200,0.2304317
148,200,0.2524102
151,200,0.2553411
154,200,0.250609
157,200,0.2382395
160,200,0.2350514
163,200,0.2268325
166,200,0.2368656
169,200,0.2200761
172,200,0.2218317
175,200,0.2097274
178,200,0.2249744
181,200,0.2261357
184,200,0.2312341
187,200,0.2278975
190,200,0.2260301
193,200,0.2215692
196,200,0.2248837
199,200,0.2185997
202,200,0.2185308
205,200,0.2185308
208,200,0.2185308
211,200,0.2185308
214,200,0.2185308
217,200,0.2185308
220,200,0.2185308
223,200,0.2185308
226,200,0.2185308
229,200,0.2185308
232,200,0.2185308
235,200,0.2185308
238,200,0.2185308
241,200,0.2185308
244,200,0.2185308
247,200,0.2185308
250,200,0.2185308
253,200,0.2185308
256,200,0.2185308
259,200,0.2185308
262,200,0.2185308
265,200,0.2185308
268,200,0.2185308
271,200,0.2185308
274,200,0.2185308
277,200,0.2185308
280,200,0.2185308
283,200,0.2185308
286,200,0.2185308
289,200,0.2185308
292,200,0.2185308
295,200,0.2185308
298,200,0.2185308
100,203,0.333792
103,203,0.3396636
106,203,0.3413156
109,203,0.3232549
112,203,0.2879977
115,203,0.2667017
118,203,0.2748724
121,203,0.2836051
124,203,0.310439
127,203,0.2715977
130,203,0.2410495
133,203,0.2806125
136,203,0.2402315
139,203,0.2004505
142,203,0.2083852
145,203,0.1956541
148,203,0.215442
151,203,0.2005826
154,203,0.1964896
157,203,0.1943468
160,203,0.1989819
163,203,0.2067266
166,203,0.1953839
169,203,0.2037378
172,203,0.205266
175,203,0.1862365
178,203,0.2085769
181,203,0.1789813
184,203,0.1811829
187,203,0.2042353
190,203,0.2030823
193,203,0.2030441
196,203,0.2058973
199,203,0.2036734
202,203,0.2034921
205,203,0.2031276
208,203,0.2031276
211,203,0.2031276
214,203,0.2031276
217,203,0.2031276
220,203,0.2031276
223,203,0.2031276
226,203,0.2031276
229,203,0.2031276
232,203,0.2031276
235,203,0.2031276
