w,mag,phase
0.01,17.4968768491596,-89.8796242471465
0.0116792708555607,16.1485627899319,-89.8594096431029
0.0136405367717549,14.8002489302513,-89.8358003085095
0.0159311523572561,13.4519353429554,-89.8082260865978
0.0186064243421598,12.1036221275635,-89.7760210227285
0.0217309469545582,10.7553094201322,-89.7384072458499
0.0253801615430108,9.40699740682066,-89.6944761245612
0.0296421781018708,8.05868634262248,-89.6431662290646
0.0346199026800519,6.71037657733811,-89.5832375450594
0.0404335220393477,5.3620685917892,-89.5132412822276
0.0472234055541824,4.01376304867722,-89.4314844931179
0.0551534944189286,2.66546086467224,-89.3359885604414
0.0644152599949322,1.31716331379071,-89.2244404113105
0.0752323268712176,-0.031127822223534,-89.0941350600826
0.0878658722623027,-1.37941003138512,-88.9419077441179
0.102620932111153,-2.72767973571034,-88.7640534648008
0.119853766157626,-4.07593177353646,-88.5562311292763
0.139980459801395,-5.42415858304321,-88.3133486331442
0.163486970450642,-6.77234888507857,-88.0294240261032
0.190940860924809,-8.12048551253491,-87.6974162178582
0.223005003213479,-9.46854176537195,-87.3090163282404
0.26045358346754,-10.8164751947875,-86.8543875661189
0.304190794661879,-12.1642168822564,-86.3218373082747
0.355272668262433,-13.5116528216995,-85.6974000064224
0.414932572021471,-14.8585915277524,-84.9643046463607
0.484610989543321,-16.2047078830357,-84.1022985494365
0.565990300645773,-17.5494467525834,-83.0868070179422
0.661035402286221,-18.8918604018501,-81.8879394300272
0.77204115084153,-20.230341577271,-80.4694318295142
0.901687771231701,-21.5622024505526,-78.787782252109
1.05310557073619,-22.8830480781776,-76.7921319306914
1.22995052001278,-24.185921972333,-74.425886818996
1.43649252621669,-25.4602930149989,-71.6315561741209
1.67771852956734,-26.6911376236542,-68.3604512826419
1.959452912621,-27.8586328340281,-64.5880463109069
2.28849812952179,-28.9391788236337,-60.3332017053705
2.6727989507129,-29.9083257443446,-55.6752500786324
3.12163428878344,-30.745420634156,-50.7595305485305
3.64584123707073,-31.4385925708915,-45.7835723232448
4.25807673041216,-31.9879291266976,-40.9647943764685
4.97312314582438,-32.405288893952,-36.5014576802861
5.8082452218141,-32.7109451212626,-32.5426645225896
6.7836069141083,-32.9287945047155,-29.1769745755943
7.92275825275251,-33.0821044831164,-26.4386531894932
9.25320395570254,-33.1909118696181,-24.3237507936356
10.8070675280395,-33.2711412293983,-22.8077081631326
12.6218668814309,-33.3349136724446,-21.8594048667159
14.7414202011062,-33.3914225502337,-21.4500976737569
15.4144508613515,-33.4073876278696,-21.4288782630712
17.2169039324353,-33.4479256883443,-21.5578289973835
20.108088432108,-33.5106174397116,-22.1685738176247
23.4847811186156,-33.5852892791525,-23.2752566622632
27.428511966787,-33.6777497543755,-24.8753942822402
32.0345020425093,-33.7939786857523,-26.9678474861271
37.4139626077478,-33.9399706599364,-29.5491444348189
43.6967803075706,-34.1212143404453,-32.6100922677406
51.0346532728048,-34.3417938156495,-36.1338219670131
59.6047538592714,-34.6032150424398,-40.0967167970344
69.6140064601457,-34.9032453249485,-44.4733642553188
81.3040836788793,-35.23522398374,-49.245303473378
94.9572414948803,-35.5883109186146,-54.4110531910006
110.903134311559,-35.9488744417203,-59.9928089229348
129.526774435533,-36.3027423343373,-66.0349476740881
151.27782816797,-36.6376129606845,-72.592003157711
176.681472961469,-36.94483504413,-79.7082391508599
206.351077787642,-37.2200878343203,-87.3951131423202
241.003012881874,-37.4630153904003,-95.6146371513983
281.47394644536,-37.6762681953468,-104.275072608134
328.741045931894,-37.8644940325333,-113.241164250199
383.94557167789,-38.0336374975178,-122.355877193623
448.420432541918,-38.1906349420808,-131.466557683848
523.722368882474,-38.3433999932773,-140.447459306971
611.669539929427,-38.5009433832431,-149.212937164074
714.385423093199,-38.6735084633182,-157.719665581265
834.350085156978,-38.8726459582616,-165.959708979624
974.460063290847,-39.1111537776101,-173.947928346814
1138.09830171006,-39.4027818455166,-181.707264924044
1329.21583259254,-39.7615913975868,-189.254841217426
1552.42717343479,-40.2009091556391,-196.591262233607
1813.12174420775,-40.7319517754742,-203.6950497352
2117.59399447089,-41.3623836970998,-210.523381210946
2473.19538235342,-42.0952131383757,-217.018875964277
2888.51187492275,-42.9284067213048,-223.120341678827
3373.57125567263,-43.8553769239389,-228.774097968923
3940.08524455347,-44.8661792040308,-233.942596780432
4601.7322765138,-45.9490322908145,-238.60852620658
5374.48776621806,-47.0917534157428,-242.774474178546
6277.0098331558,-48.2828413444837,-246.4595297566
7331.08980044444,-49.5121256324114,-249.694540502188
8562.17834458291,-50.7710363546258,-252.51738655107
10000,-52.0526071520733,-254.969037401975
