w,mag,phase
0.1,17.4970308185852,-178.795651098121
0.116792708555607,14.8004607822389,-178.593155199186
0.136405367717549,12.1039144994966,-178.356505532332
0.159311523572561,9.40740250811795,-178.079879293324
0.186064243421598,6.71094079090441,-177.756425211679
0.217309469545583,4.01455411509208,-177.378062202503
0.253801615430108,1.31828171397143,-176.935228831708
0.296421781018708,-1.37781292910151,-176.416568036274
0.346199026800519,-4.07362510361888,-175.808526600269
0.404335220393477,-6.76897933323267,-175.09484383221
0.472234055541825,-9.46357811710012,-174.255901133549
0.551534944189286,-12.156913757201,-173.26790953738
0.644152599949322,-14.848119106903,-172.101938122464
0.752323268712176,-17.5357212358195,-170.722855276491
0.878658722623027,-20.2172498226918,-169.088403381767
1.02620932111153,-22.8886477793621,-167.148900098527
1.19853766157626,-25.5434535039927,-164.848479159063
1.39980459801395,-28.1718028443053,-162.129275189191
1.63486970450642,-30.7594670578847,-158.940215497393
1.90940860924809,-33.2873972229173,-155.251466975902
2.23005003213479,-35.7324746668613,-151.073308987848
2.6045358346754,-38.0701045177165,-146.474175385974
3.04190794661879,-40.278638746023,-141.588789859702
3.55272668262433,-42.3444468570567,-136.607821454895
4.14932572021471,-44.2655371986414,-131.748105261758
4.84610989543321,-46.0519699423938,-127.213596527437
5.65990300645773,-47.722936721198,-123.162926176221
6.61035402286221,-49.302060133833,-119.69470968013
7.7204115084153,-50.812943433916,-116.851296282757
9.01687771231701,-52.2762647235134,-114.633839990378
10.5310557073619,-53.7086364378673,-113.020109448822
12.2995052001278,-55.1227612887256,-111.979318996113
14.3649252621669,-56.5282508676275,-111.48191562196
15.4144508613489,-57.1659487804674,-111.428878263069
16.7771852956734,-57.9326201010128,-111.504658959166
19.59452912621,-59.3421884928247,-112.032224003999
22.8849812952179,-60.7627787695942,-113.056510513047
26.727989507129,-62.2001783110533,-114.574476484288
31.2163428878344,-63.6603401739604,-116.585009334744
36.4584123707073,-65.1492822513243,-119.085280809778
42.5807673041216,-66.6726301593512,-122.06724326305
49.7312314582438,-68.2347786223963,-125.51533854491
58.082452218141,-69.837749210919,-129.406846812171
67.836069141083,-71.4799992928546,-133.716132369133
79.2275825275251,-73.1556189057552,-138.422865309909
92.5320395570254,-74.8543983081983,-143.522113772108
108.070675280395,-76.563031059772,-149.03196032541
126.218668814309,-78.2672614596612,-154.99363594696
147.414202011062,-79.9543270580665,-161.461233008142
172.169039324353,-81.6148890832782,-168.482333155164
201.08088432108,-83.2439063482521,-176.075272584115
234.847811186156,-84.840419739973,-184.210991167012
274.28511966787,-86.4066532736041,-192.806380880769
320.345020425093,-87.9469813092709,-201.732168246759
374.139626077478,-89.4671635394279,-210.833147239597
436.967803075706,-90.9739778908227,-219.954181245788
510.346532728048,-92.4751686478445,-228.963828017422
596.047538592714,-93.9795536167022,-237.769316727055
696.140064601457,-95.4971630601302,-246.320541867787
813.040836788793,-97.0393292620663,-254.604437416413
949.572414948803,-98.6186549991826,-262.633069558245
1109.03134311559,-100.248765468863,-270.429052024935
1295.26774435533,-101.943731708657,-278.011333019194
1512.7782816797,-103.717091699376,-285.383815696431
1766.81472961469,-105.580516674649,-292.528827563257
2063.51077787642,-107.542354298354,-299.406779471262
2410.03012881874,-109.606438552903,-305.962039935461
2814.7394644536,-111.771565698558,-312.133235843518
3287.41045931894,-114.031839213696,-317.864730418796
3839.4557167789,-116.377771744482,-323.115871316285
4484.20432541918,-118.79778185539,-327.865889900229
5237.22368882474,-121.27966702105,-332.114232524543
6116.69539929427,-123.811755758687,-335.877550980992
7143.85423093199,-126.383628110317,-339.185074417771
8343.50085156978,-128.986441486817,-342.073811288729
9744.60063290847,-131.612969809841,-344.584446384346
11380.9830171006,-134.257471903681,-346.758262137844
13292.1583259255,-136.915481012322,-348.635068082812
15524.2717343479,-139.583575635341,-350.251960674313
18131.2174420775,-142.259165020551,-351.642695611736
21175.9399447089,-144.940304133587,-352.83747607072
24731.9538235342,-147.625541889837,-353.863002979514
28885.1187492275,-150.313800726489,-354.742676954939
33735.7125567263,-153.004283182706,-355.496877520881
39400.8524455346,-155.696400569525,-356.14327207359
46017.322765138,-158.389719114932,-356.697125793695
53744.8776621806,-161.083919629021,-357.171596182463
62770.098331558,-163.778767470083,-357.578003897654
73310.8980044444,-166.474090274885,-357.926076507404
85621.7834458291,-169.169761496448,-358.22416471208
100000,-171.86568826196,-358.47943222778
