K,delta_M
0.001,0.914911976163068
0.002,0.914916754298111
0.003,0.914921532457668
0.004,0.914926310641736
0.005,0.914931088850316
0.006,0.914935867083406
0.007,0.914940645341008
0.008,0.91494542362312
0.009,0.914950201929742
0.01,0.914954980260873
0.011,0.914959758616514
0.012,0.914964536996663
0.013,0.914969315401321
0.014,0.914974093830486
0.015,0.91497887228416
0.016,0.914983650762341
0.017,0.914988429265028
0.018,0.914993207792222
0.019,0.914997986343922
0.02,0.915002764920128
0.021,0.909735226649251
0.022,0.901882234277622
0.023,0.895518717791699
0.024,0.890676602833854
0.025,0.887380794961597
0.026,0.885648557390775
0.027,0.881317372014798
0.028,0.874528900408362
0.029,0.868579357073253
0.03,0.863486083193067
0.031,0.859264305468561
0.032,0.855926919711373
0.033,0.853484300717231
0.034,0.851944144709587
0.035,0.851311349794575
0.036,0.851587938690521
0.037,0.852773026547631
0.038,0.85363827782411
0.039,0.849793336468567
0.04,0.8464463269396
0.041,0.84360317591625
0.042,0.841268991931664
0.043,0.839448020724775
0.044,0.838143607357978
0.045,0.83735816587327
0.046,0.837093157120251
0.047,0.837349075227132
0.048,0.838125443005518
0.049,0.839420816388266
0.05,0.841232797804502
0.051,0.843558058204253
0.052,0.846392367264704
0.053,0.845902091377425
0.054,0.844212934011458
0.055,0.842817512244905
0.056,0.841717286967614
0.057,0.840913416858417
0.058,0.840406752331169
0.059,0.84019783105772
0.06,0.84028687512263
0.061,0.840673789844502
0.062,0.841358164278839
0.063,0.842339273395686
0.064,0.843616081905635
0.065,0.8451872496872
0.066,0.847051138749475
0.067,0.849205821646714
0.068,0.851649091245653
0.069,0.854378471732142
0.07,0.857391230733152
0.071,0.85828392180923
0.072,0.85772971556673
0.073,0.857346990352127
0.074,0.857135975872718
0.075,0.857096798952397
0.076,0.857229483151019
0.077,0.85753394869361
0.078,0.858010012709939
0.079,0.858657389782835
0.08,0.859475692801504
0.081,0.860464434113522
0.082,0.86162302696814
0.083,0.862950787240472
0.084,0.864446935425128
0.085,0.866110598885954
0.086,0.867940814346823
0.087,0.869936530607413
0.088,0.87209661146641
0.089,0.874419838834234
0.09,0.876904916015613
0.091,0.879550471142827
0.092,0.882355060739456
0.093,0.883402053228701
0.094,0.883518944387142
0.095,0.883736803138505
0.096,0.884055554838124
0.097,0.884475090405055
0.098,0.884995266508295
0.099,0.885615905810941
0.1,0.886336797271109
0.101,0.887157696498473
0.102,0.888078326165154
0.103,0.889098376469297
0.104,0.890217505649367
0.105,0.891435340547485
0.106,0.892751477219517
0.107,0.894165481589625
0.108,0.89567689014703
0.109,0.89728521068201
0.11,0.898989923059238
0.111,0.900790480024991
0.112,0.902686308045827
0.113,0.904676808175925
0.114,0.906761356949863
0.115,0.908939307298305
0.116,0.911209989483472
0.117,0.913572712051545
0.118,0.915372575561673
0.119,0.915475965203841
0.12,0.91548074622868
0.121,0.915485527277987
0.122,0.91549030835176
0.123,0.91549508945
0.124,0.915499870572705
0.125,0.915504651719875
0.126,0.915509432891511
0.127,0.915514214087611
0.128,0.915518995308176
0.129,0.915523776553204
0.13,0.915528557822696
0.131,0.915533339116652
0.132,0.91553812043507
0.133,0.91554290177795
0.134,0.915547683145292
0.135,0.915552464537096
0.136,0.915557245953362
0.137,0.915562027394087
0.138,0.915566808859274
0.139,0.91557159034892
0.14,0.915576371863026
0.141,0.915581153401592
0.142,0.915585934964616
0.143,0.915590716552099
0.144,0.91559549816404
0.145,0.915600279800439
0.146,0.915605061461295
0.147,0.915609843146608
0.148,0.915614624856378
0.149,0.915619406590604
0.15,0.915624188349286
0.151,0.915628970132424
0.152,0.915633751940016
0.153,0.915638533772063
0.154,0.915643315628565
0.155,0.91564809750952
0.156,0.91565287941493
0.157,0.915657661344791
0.158,0.915662443299107
0.159,0.915667225277874
0.16,0.915672007281094
0.161,0.915676789308765
0.162,0.915681571360887
0.163,0.91568635343746
0.164,0.915691135538484
0.165,0.915695917663958
0.166,0.915700699813881
0.167,0.915705481988254
0.168,0.915710264187076
0.169,0.915715046410347
0.17,0.915719828658065
0.171,0.915724610930231
0.172,0.915729393226845
0.173,0.915734175547906
0.174,0.915738957893414
0.175,0.915743740263367
0.176,0.915748522657768
0.177,0.915753305076613
0.178,0.915758087519903
0.179,0.915762869987638
0.18,0.915767652479818
0.181,0.915772434996441
0.182,0.915777217537508
0.183,0.915782000103018
0.184,0.915786782692972
0.185,0.915791565307367
0.186,0.915796347946205
0.187,0.915801130609484
0.188,0.915805913297205
0.189,0.915810696009366
0.19,0.915815478745968
0.191,0.91582026150701
0.192,0.915825044292492
0.193,0.915829827102414
0.194,0.915834609936774
0.195,0.915839392795573
0.196,0.91584417567881
0.197,0.915848958586485
0.198,0.915853741518598
0.199,0.915858524475147
0.2,0.915863307456134
0.201,0.915868090461556
0.202,0.915872873491415
0.203,0.915877656545709
0.204,0.915882439624438
0.205,0.915887222727602
0.206,0.915892005855201
0.207,0.915896789007234
0.208,0.9159015721837
0.209,0.915906355384599
0.21,0.915911138609932
0.211,0.915915921859697
0.212,0.915920705133894
0.213,0.915925488432522
0.214,0.915930271755582
0.215,0.915935055103073
0.216,0.915939838474995
0.217,0.915944621871347
0.218,0.915949405292128
0.219,0.915954188737339
0.22,0.915958972206979
0.221,0.915963755701048
0.222,0.915968539219545
0.223,0.91597332276247
0.224,0.915978106329822
0.225,0.915982889921602
0.226,0.915987673537808
0.227,0.915992457178441
0.228,0.9159972408435
0.229,0.916002024532984
0.23,0.916006808246893
0.231,0.916011591985228
0.232,0.916016375747986
0.233,0.916021159535169
0.234,0.916025943346776
0.235,0.916030727182806
0.236,0.916035511043258
0.237,0.916040294928134
0.238,0.916045078837431
0.239,0.916049862771151
0.24,0.916054646729291
0.241,0.916059430711853
0.242,0.916064214718835
0.243,0.916068998750238
0.244,0.91607378280606
0.245,0.916078566886302
0.246,0.916083350990963
0.247,0.916088135120043
0.248,0.916092919273541
0.249,0.916097703451457
0.25,0.91610248765379
0.251,0.916107271880541
0.252,0.916112056131709
0.253,0.916116840407293
0.254,0.916121624707293
0.255,0.916126409031709
0.256,0.91613119338054
0.257,0.916135977753785
0.258,0.916140762151446
0.259,0.91614554657352
0.26,0.916150331020009
0.261,0.91615511549091
0.262,0.916159899986225
0.263,0.916164684505952
0.264,0.916169469050092
0.265,0.916174253618642
0.266,0.916179038211606
0.267,0.916183822828979
0.268,0.916188607470763
0.269,0.916193392136958
0.27,0.916198176827563
0.271,0.916202961542577
0.272,0.916207746282001
0.273,0.916212531045833
0.274,0.916217315834073
0.275,0.916222100646722
0.276,0.916226885483778
0.277,0.916231670345241
0.278,0.916236455231111
0.279,0.916241240141388
0.28,0.916246025076071
0.281,0.91625081003516
0.282,0.916255595018654
0.283,0.916260380026553
0.284,0.916265165058856
0.285,0.916269950115564
0.286,0.916274735196675
0.287,0.91627952030219
0.288,0.916284305432107
0.289,0.916289090586428
0.29,0.916293875765151
0.291,0.916298660968275
0.292,0.916303446195802
0.293,0.916308231447729
0.294,0.916313016724057
0.295,0.916317802024785
0.296,0.916322587349913
0.297,0.916327372699442
0.298,0.916332158073369
0.299,0.916336943471695
0.3,0.916341728894419
0.301,0.916346514341542
0.302,0.916351299813062
0.303,0.916356085308979
0.304,0.916360870829294
0.305,0.916365656374005
0.306,0.916370441943112
0.307,0.916375227536615
0.308,0.916380013154513
0.309,0.916384798796807
0.31,0.916389584463495
0.311,0.916394370154577
0.312,0.916399155870053
0.313,0.916403941609922
0.314,0.916408727374185
0.315,0.91641351316284
0.316,0.916418298975888
0.317,0.916423084813328
0.318,0.916427870675159
0.319,0.916432656561382
0.32,0.916437442471995
0.321,0.916442228406998
0.322,0.916447014366392
0.323,0.916451800350175
0.324,0.916456586358348
0.325,0.91646137239091
0.326,0.91646615844786
0.327,0.916470944529197
0.328,0.916475730634923
0.329,0.916480516765037
0.33,0.916485302919537
0.331,0.916490089098424
0.332,0.916494875301697
0.333,0.916499661529356
0.334,0.9165044477814
0.335,0.91650923405783
0.336,0.916514020358644
0.337,0.916518806683842
0.338,0.916523593033425
0.339,0.916528379407391
0.34,0.91653316580574
0.341,0.916537952228472
0.342,0.916542738675586
0.343,0.916547525147082
0.344,0.91655231164296
0.345,0.916557098163219
0.346,0.916561884707859
0.347,0.91656667127688
0.348,0.916571457870281
0.349,0.916576244488061
0.35,0.91658103113022
0.351,0.916585817796759
0.352,0.916590604487677
0.353,0.916595391202972
0.354,0.916600177942645
0.355,0.916604964706696
0.356,0.916609751495124
0.357,0.916614538307929
0.358,0.916619325145109
0.359,0.916624112006665
0.36,0.916628898892598
0.361,0.916633685802905
0.362,0.916638472737587
0.363,0.916643259696644
0.364,0.916648046680074
0.365,0.916652833687879
0.366,0.916657620720056
0.367,0.916662407776606
0.368,0.916667194857529
0.369,0.916671981962823
0.37,0.916676769092489
0.371,0.916681556246527
0.372,0.916686343424936
0.373,0.916691130627715
0.374,0.916695917854865
0.375,0.916700705106384
0.376,0.916705492382273
0.377,0.91671027968253
0.378,0.916715067007157
0.379,0.916719854356151
0.38,0.916724641729514
0.381,0.916729429127244
0.382,0.916734216549341
0.383,0.916739003995805
0.384,0.916743791466635
0.385,0.916748578961831
0.386,0.916753366481393
0.387,0.91675815402532
0.388,0.916762941593612
0.389,0.916767729186268
0.39,0.916772516803289
0.391,0.916777304444673
0.392,0.91678209211042
0.393,0.916786879800531
0.394,0.916791667515004
0.395,0.916796455253839
0.396,0.916801243017035
0.397,0.916806030804594
0.398,0.916810818616513
0.399,0.916815606452793
0.4,0.916820394313433
0.401,0.916825182198433
0.402,0.916829970107793
0.403,0.916834758041511
0.404,0.916839545999589
0.405,0.916844333982024
0.406,0.916849121988818
0.407,0.916853910019969
0.408,0.916858698075477
0.409,0.916863486155343
0.41,0.916868274259565
0.411,0.916873062388142
0.412,0.916877850541075
0.413,0.916882638718364
0.414,0.916887426920008
0.415,0.916892215146006
0.416,0.916897003396359
0.417,0.916901791671065
0.418,0.916906579970124
0.419,0.916911368293536
0.42,0.916916156641301
0.421,0.916920945013419
0.422,0.916925733409888
0.423,0.916930521830709
0.424,0.91693531027588
0.425,0.916940098745403
0.426,0.916944887239276
0.427,0.916949675757499
0.428,0.916954464300071
0.429,0.916959252866993
0.43,0.916964041458263
0.431,0.916968830073882
0.432,0.916973618713849
0.433,0.916978407378163
0.434,0.916983196066825
0.435,0.916987984779833
0.436,0.916992773517189
0.437,0.91699756227889
0.438,0.917002351064937
0.439,0.91700713987533
0.44,0.917011928710067
0.441,0.917016717569149
0.442,0.917021506452576
0.443,0.917026295360346
0.444,0.917031084292459
0.445,0.917035873248916
0.446,0.917040662229715
0.447,0.917045451234857
0.448,0.917050240264341
0.449,0.917055029318166
0.45,0.917059818396332
0.451,0.917064607498839
0.452,0.917069396625687
0.453,0.917074185776875
0.454,0.917078974952402
0.455,0.917083764152269
0.456,0.917088553376474
0.457,0.917093342625018
0.458,0.917098131897901
0.459,0.91710292119512
0.46,0.917107710516678
0.461,0.917112499862572
0.462,0.917117289232803
0.463,0.91712207862737
0.464,0.917126868046273
0.465,0.917131657489511
0.466,0.917136446957085
0.467,0.917141236448993
0.468,0.917146025965235
0.469,0.917150815505812
0.47,0.917155605070722
0.471,0.917160394659965
0.472,0.917165184273541
0.473,0.917169973911449
0.474,0.917174763573689
0.475,0.917179553260261
0.476,0.917184342971165
0.477,0.917189132706399
0.478,0.917193922465964
0.479,0.917198712249858
0.48,0.917203502058083
0.481,0.917208291890637
0.482,0.91721308174752
0.483,0.917217871628731
0.484,0.917222661534271
0.485,0.917227451464138
0.486,0.917232241418333
0.487,0.917237031396855
0.488,0.917241821399704
0.489,0.916866653128281
0.49,0.916404450167931
0.491,0.915942375266251
0.492,0.915480431423435
0.493,0.915018621605081
0.494,0.914556948742675
0.495,0.914095415734089
0.496,0.91363402544404
0.497,0.913172780704565
0.498,0.912711684315496
0.499,0.912250739044885
0.5,0.911789947629485
0.501,0.911329312775138
0.502,0.910868837157261
0.503,0.910408523421214
0.504,0.90994837418276
0.505,0.909488392028443
0.506,0.909028579516009
0.507,0.908568939174788
0.508,0.908109473506083
0.509,0.907650184983563
0.51,0.907191076053621
0.511,0.906732149135763
0.512,0.906273406622952
0.513,0.905814850881972
0.514,0.90535648425379
0.515,0.904898309053876
0.516,0.904440327572579
0.517,0.903982542075417
0.518,0.903524954803446
0.519,0.903067567973561
0.52,0.902610383778819
0.521,0.902153404388753
0.522,0.90169663194968
0.523,0.901240068585002
0.524,0.90078371639551
0.525,0.900327577459666
0.526,0.899871653833904
0.527,0.89941594755291
0.528,0.898960460629902
0.529,0.898505195056896
0.53,0.898050152804997
0.531,0.897595335824639
0.532,0.89714074604588
0.533,0.896686385378626
0.534,0.896232255712915
0.535,0.895778358919146
0.536,0.895324696848344
0.537,0.894871271332378
0.538,0.894418084184225
0.539,0.893965137198199
0.54,0.893512432150172
0.541,0.893059970797811
0.542,0.892607754880791
0.543,0.892155786121049
0.544,0.891704066222963
0.545,0.891252596873583
0.546,0.890801379742845
0.547,0.890350416483778
0.548,0.889899708732707
0.549,0.88944925810945
0.55,0.888999066217528
0.551,0.888549134644362
0.552,0.888099464961439
0.553,0.887650058724545
0.554,0.887200917473913
0.555,0.88675204273444
0.556,0.886303436015847
0.557,0.885855098812855
0.558,0.88540703260539
0.559,0.88495923885873
0.56,0.884511719023684
0.561,0.884064474536763
0.562,0.883617506820352
0.563,0.883170817282863
0.564,0.882724407318894
0.565,0.882278278309416
0.566,0.881832431621897
0.567,0.881386868610477
0.568,0.880941590616106
0.569,0.88049659896671
0.57,0.880051894977336
0.571,0.879607479950279
0.572,0.879163355175266
0.573,0.87871952192955
0.574,0.878275981478092
0.575,0.877832735073671
0.576,0.877389783957038
0.577,0.876947129357045
0.578,0.876504772490762
0.579,0.876062714563638
0.58,0.875620956769599
0.581,0.875179500291204
0.582,0.874738346299753
0.583,0.874297495955402
0.584,0.873856950407302
0.585,0.873416710793723
0.586,0.872976778242152
0.587,0.872537153869424
0.588,0.872097838781838
0.589,0.871658834075267
0.59,0.871220140835266
0.591,0.870781760137189
0.592,0.8703436930463
0.593,0.869905940617879
0.594,0.869468503897316
0.595,0.869031383920241
0.596,0.8685945817126
0.597,0.868158098290783
0.598,0.867721934661702
0.599,0.867286091822907
0.6,0.86685057076268
0.601,0.866415372460113
0.602,0.865980497885243
0.603,0.865545947999107
0.604,0.86511172375386
0.605,0.86467782609286
0.606,0.864244255950746
0.607,0.86381101425355
0.608,0.863378101918764
0.609,0.862945519855445
0.61,0.862513268964292
0.611,0.862081350137732
0.612,0.86164893121322
0.613,0.861213686590259
0.614,0.860782059535243
0.615,0.860353928513246
0.616,0.859926767640068
0.617,0.859496859489168
0.618,0.859067289425118
0.619,0.858638058277099
0.62,0.85820916686674
0.621,0.857780616008179
0.622,0.857352406508148
0.623,0.856924539166061
0.624,0.856497014774045
0.625,0.856069834117056
0.626,0.855642997972919
0.627,0.855216507112414
0.628,0.854790362299331
0.629,0.854364564290553
0.63,0.853939113836107
0.631,0.853514011679237
0.632,0.853089258556476
0.633,0.852664855197696
0.634,0.852240802326181
0.635,0.851817100658692
0.636,0.851393750905514
0.637,0.850970753770539
0.638,0.850548109951311
0.639,0.850125820139089
0.64,0.849703885018901
0.641,0.849282305269625
0.642,0.848861081564006
0.643,0.848440214568764
0.644,0.848019704944595
0.645,0.847599553346275
0.646,0.847179760422678
0.647,0.846760326816867
0.648,0.846341253166105
0.649,0.845922540101936
0.65,0.845504188250244
0.651,0.845086198231279
0.652,0.844668570659716
0.653,0.844251306144724
0.654,0.843834405289997
0.655,0.843417868693806
0.656,0.843001696949045
0.657,0.842585890643299
0.658,0.842170450358862
0.659,0.841755376672809
0.66,0.841340670157026
0.661,0.840926331378267
0.662,0.840512360898183
0.663,0.840098759273397
0.664,0.839685527055517
0.665,0.839272664791195
0.666,0.838860173022166
0.667,0.8384480522853
0.668,0.838036303112633
0.669,0.837624926031407
0.67,0.83721392156413
0.671,0.836803290228593
0.672,0.836393032537927
0.673,0.835983149000641
0.674,0.835573640120652
0.675,0.835164506397331
0.676,0.83475574832555
0.677,0.8343473663957
0.678,0.833939361093748
0.679,0.833531732901259
0.68,0.833124482295452
0.681,0.832717609749212
0.682,0.832311115731152
0.683,0.831905000705628
0.684,0.83149926513278
0.685,0.831093909468579
0.686,0.830688934164845
0.687,0.830284339669293
0.688,0.829880126425551
0.689,0.829476294873219
0.69,0.829072845447879
0.691,0.828669778581135
0.692,0.828267094700651
0.693,0.827864794230178
0.694,0.827462877589584
0.695,0.827061345194887
0.696,0.826660197458294
0.697,0.826259434788211
0.698,0.825859057589298
0.699,0.825459066262484
0.7,0.825059461205001
0.701,0.824660242810401
0.702,0.824261411468621
0.703,0.823862967565962
0.704,0.823464911485158
0.705,0.823067243605385
0.706,0.822669964302286
0.707,0.822273073948021
0.708,0.82187657291126
0.709,0.821480461557243
0.71,0.821084740247782
0.711,0.820689409341299
0.712,0.820294469192859
0.713,0.819899920154178
0.714,0.819505762573662
0.715,0.819111996796426
0.716,0.818718623164319
0.717,0.818325642015963
0.718,0.817933053686748
0.719,0.817540858508889
0.72,0.817149056811423
0.721,0.816757648920254
0.722,0.816366635158162
