time,force,filtered
146.00049024,-4.67600356832015,-4.71223450623735
146.00149024,-4.63872699030358,-4.70664686159336
146.00249024,-4.6090379397779,-4.70081549755795
146.00349024,-4.6251895708111,-4.69495626040441
146.00449024,-4.63663504020159,-4.68871236512893
146.00549024,-4.5888741957803,-4.6820422565459
146.00649024,-4.54459485757659,-4.67512195051322
146.00749024,-4.50225818780647,-4.66780047122125
146.00849024,-4.54485572719938,-4.66052677771532
146.00949024,-4.56052643692883,-4.652917220035
146.01049024,-4.66149078071,-4.64517782073821
146.01149024,-4.65795695696525,-4.63690040037222
146.01249024,-4.58811449193632,-4.62829708069128
146.01349024,-4.60584835828589,-4.61960174396962
146.01449024,-4.58744914962744,-4.61068263036714
146.01549024,-4.65616468476107,-4.60175173337958
146.01649024,-4.72398685232928,-4.59274752801756
146.01749024,-4.6826311431752,-4.58294541049154
146.01849024,-4.6759244789625,-4.57315960152699
146.01949024,-4.68488098382961,-4.56320836909209
146.02049024,-4.56595875328399,-4.55259201570978
146.02149024,-4.62873296808608,-4.54238686638538
146.02249024,-4.65873860842242,-4.53198532900951
146.02349024,-4.6554120683498,-4.52108743262137
146.02449024,-4.604305641888,-4.50979994950545
146.02549024,-4.61422859644761,-4.49883887052137
146.02649024,-4.50706472752892,-4.48743815187878
146.02749024,-4.41483907382179,-4.47590663081461
146.02849024,-4.42778949709418,-4.46460326110238
146.02949024,-4.45508925220653,-4.45331171700449
146.03049024,-4.57638365344034,-4.44210898882929
146.03149024,-4.53872236256734,-4.43048954192282
146.03249024,-4.54685225694693,-4.41872012989564
146.03349024,-4.55018123176609,-4.40712874272808
146.03449024,-4.43196447932378,-4.39493275463094
146.03549024,-4.43855344663539,-4.38307902486824
146.03649024,-4.5533659650021,-4.37184382159674
146.03749024,-4.50902029682323,-4.35983408460269
146.03849024,-4.45219483884601,-4.34774747456784
146.03949024,-4.46718298679608,-4.33612639423239
146.04049024,-4.34430202102355,-4.32378250884343
146.04149024,-4.28474607190808,-4.31165623557672
146.04249024,-4.22252114831852,-4.29966818243706
146.04349024,-4.22856252566261,-4.28805607334236
146.04449024,-4.22382523342333,-4.27623980943831
146.04549024,-4.1887342817253,-4.26481380887813
146.04649024,-4.11811827234112,-4.25327681171315
146.04749024,-4.10943732316934,-4.24191928432376
146.04849024,-4.10776143924928,-4.23069518506727
146.04949024,-4.11760992681368,-4.21946334880271
146.05049024,-4.04973780187753,-4.20828283399445
146.05149024,-4.17771985333413,-4.19793331995948
146.05249024,-4.12348685600309,-4.18694801965639
146.05349024,-4.05140048546455,-4.17625489269625
146.05449024,-4.05510102395913,-4.16589953784444
146.05549024,-4.06987201543517,-4.15568057151367
146.05649024,-4.17892000715325,-4.14611304037267
146.05749024,-4.17263261258935,-4.13618782150806
146.05849024,-4.15564717419555,-4.12632757398157
146.05949024,-4.03274876625533,-4.11627555764164
146.06049024,-3.96976970139523,-4.10693250500993
146.06149024,-4.00920701464208,-4.09803766496452
146.06249024,-4.02642291013667,-4.08912192662924
146.06349024,-3.99790310317617,-4.08024802587652
146.06449024,-4.04678682916226,-4.07190064757777
146.06549024,-3.98233060429206,-4.0635288128492
146.06649024,-3.80680405296128,-4.05516774596744
146.06749024,-3.84946966509392,-4.04741617092124
146.06849024,-3.8372335092173,-4.03982784485175
146.06949024,-3.89121329208385,-4.03273185666251
146.07049024,-3.98190599062642,-4.02579149695478
146.07149024,-3.93581256522509,-4.0189012711577
146.07249024,-3.95515295129847,-4.01225038925157
146.07349024,-3.99863534417387,-4.00613373269921
146.07449024,-3.99906063689901,-4.00003118544143
146.07549024,-3.93908234865575,-3.99387743477802
146.07649024,-3.99738295316756,-3.98842856780628
146.07749024,-4.04066523948311,-3.9830216061184
146.07849024,-3.99475133209709,-3.97759952964373
146.07949024,-3.91110327615346,-3.97235973429169
