time,force,filtered,perturbation
23.000056512,-4.77234074033583,-4.76439636731355,NaN
23.001056512,-4.77018320273508,-4.7831972156824,NaN
23.002056512,-4.81981145648956,-4.80174566786944,NaN
23.003056512,-4.87565461830434,-4.82049677849184,NaN
23.004056512,-4.83263683102572,-4.83856123477508,NaN
23.005056512,-4.83605831536825,-4.85642994881021,NaN
23.006056512,-4.81236997979963,-4.8738247499797,NaN
23.007056512,-4.84298435429669,-4.8909940087501,NaN
23.008056512,-4.85087672853284,-4.90785026071495,NaN
23.009056512,-4.88111509824279,-4.9246546174973,NaN
23.010056512,-4.8930095610746,-4.94088833177374,NaN
23.011056512,-4.92991237178467,-4.95683421190906,NaN
23.012056512,-4.87176297509993,-4.97181206254904,NaN
23.013056512,-4.92077313082782,-4.98691386053503,NaN
23.014056512,-4.94633534178594,-5.00103254150955,NaN
23.015056512,-4.88585568663897,-5.01461044659859,NaN
23.016056512,-4.93310988054361,-5.02796992145205,NaN
23.017056512,-4.88550151730645,-5.04043407434165,NaN
23.018056512,-4.93912171079189,-5.05296430811025,NaN
23.019056512,-4.88501099659053,-5.06386711570068,NaN
23.020056512,-4.92652902722273,-5.07495556540986,NaN
23.021056512,-4.90605904968748,-5.08493890582107,NaN
23.022056512,-4.92134154590512,-5.09477536699362,NaN
23.023056512,-4.94950916681467,-5.10377551708689,NaN
23.024056512,-4.96353936578221,-5.1119155225838,NaN
23.025056512,-4.93723970094733,-5.11914988842956,NaN
23.026056512,-5.00263096823339,-5.12602766886859,NaN
23.027056512,-4.93384822969929,-5.13172416070976,NaN
23.028056512,-4.95990004841326,-5.13695177085595,NaN
23.029056512,-4.86065133101204,-5.14100517709792,NaN
23.030056512,-4.94369133480923,-5.14501990165574,NaN
23.031056512,-4.95691571776018,-5.14805293482907,NaN
23.032056512,-4.92096242284483,-5.15002949968047,NaN
23.033056512,-4.90635153003203,-5.15114496425743,NaN
23.034056512,-4.93989822567451,-5.15196025377585,NaN
23.035056512,-4.92698702966484,-5.15151657957159,NaN
23.036056512,-4.9488189111443,-5.15054617208264,NaN
23.037056512,-4.89963812022859,-5.14859212605225,NaN
23.038056512,-4.88932129571069,-5.14571645593532,NaN
23.039056512,-4.86620419541337,-5.14201083031189,NaN
23.040056512,-4.93722342767146,-5.13790505527884,NaN
23.041056512,-4.91435552774272,-5.1324357589158,NaN
23.042056512,-4.9082856842494,-5.12623794917251,NaN
23.043056512,-4.95365222778105,-5.11932468563502,NaN
23.044056512,-4.95883866714195,-5.11141989820855,NaN
23.045056512,-4.97304466649416,-5.1031552152749,NaN
23.046056512,-4.87837987339961,-5.09357522054679,NaN
23.047056512,-4.91910099759135,-5.08362314471305,NaN
23.048056512,-4.89595132138858,-5.07275526412023,NaN
23.049056512,-4.90935289221922,-5.06131999599,NaN
23.050056512,-4.88735025332277,-5.04903375448942,NaN
23.051056512,-4.86081061593382,-5.03582710793507,NaN
23.052056512,-4.82240865292749,-5.02191286852198,NaN
23.053056512,-4.83175515699936,-5.00736677634597,NaN
23.054056512,-4.79613832527805,-4.99206965858226,NaN
23.055056512,-4.80635752868746,-4.97633982177052,NaN
23.056056512,-4.82503679174976,-4.95970060822633,NaN
23.057056512,-4.87490681095137,-4.94292339921866,NaN
23.058056512,-4.84035687795271,-4.92491079491863,NaN
23.059056512,-4.83127559216164,-4.90663294824527,NaN
23.060056512,-4.78942411699129,-4.88764997014711,NaN
23.061056512,-4.80609462255602,-4.86832893835135,NaN
23.062056512,-4.73557812069462,-4.84814306592159,NaN
23.063056512,-4.81954334634933,-4.8279877046207,NaN
23.064056512,-4.73173179889322,-4.80680733054025,NaN
23.065056512,-4.75138765248158,-4.7855629740474,NaN
23.066056512,-4.6893656441664,-4.7637498979009,NaN
23.067056512,-4.65645498976032,-4.74141232850465,NaN
23.068056512,-4.73692727473674,-4.71914586410478,NaN
23.069056512,-4.66351559020297,-4.69612761497005,NaN
23.070056512,-4.67928706461905,-4.67322888249848,NaN
23.071056512,-4.64906618519433,-4.64967266866787,NaN
23.072056512,-4.68592352067916,-4.62645172235318,NaN
23.073056512,-4.64083099353113,-4.60240533275655,NaN
23.074056512,-4.62142928573386,-4.57842702382492,NaN
23.075056512,-4.66683332128508,-4.5543239220298,NaN
23.076056512,-4.69082259474644,-4.5302409915945,NaN
23.077056512,-4.64561217177714,-4.50585232373281,NaN
23.078056512,-4.6824622649726,-4.48167547429533,NaN
23.079056512,-4.67902341346348,-4.45739734887088,NaN
23.080056512,-4.70308946106614,-4.43310452447968,NaN
23.081056512,-4.56054481511679,-4.40818595167262,NaN
23.082056512,-4.56753476724666,-4.38391398933934,NaN
23.083056512,-4.63084313942887,-4.3597380870656,NaN
23.084056512,-4.6180770887436,-4.33556954301331,NaN
23.085056512,-4.64208799986824,-4.31185922363754,NaN
23.086056512,-4.51439230105001,-4.28757856901085,NaN
23.087056512,-4.46204969994543,-4.26346447037832,NaN
23.088056512,-4.46114155513386,-4.23982159895261,NaN
23.089056512,-4.42359775450419,-4.21634953910844,NaN
23.090056512,-4.39766310530991,-4.19316327745291,NaN
23.091056512,-4.40136419147214,-4.17036333453358,NaN
23.092056512,-4.28800457641738,-4.14731696088402,NaN
23.093056512,-4.23576613709554,-4.12483450714681,NaN
23.094056512,-4.30136866548524,-4.10284949419139,NaN
