identif_window;K1;B1;M1;K2;B2;M2
7;NaN;NaN;0.245377664;NaN;NaN;0.245534897
8;NaN;NaN;0.185162164;NaN;NaN;0.185352538
9;NaN;NaN;0.145993947;NaN;NaN;0.146199478
10;NaN;NaN;0.118600356;NaN;NaN;0.118812143
11;NaN;NaN;0.098489078;NaN;NaN;0.098702156
12;NaN;NaN;0.083196455;NaN;NaN;0.083407873
13;NaN;NaN;0.071251885;NaN;NaN;0.071459835
14;NaN;NaN;0.061721576;NaN;0.962575406;0.061924946
15;NaN;0.995456985;0.053983959;NaN;0.777555159;0.05418208
16;NaN;0.815570519;0.047609585;NaN;0.636775656;0.047802077
17;NaN;0.676219622;0.042292625;NaN;0.527740871;0.042479301
18;NaN;0.56659438;0.037809749;NaN;0.441982246;0.037990555
19;NaN;0.479180253;0.033994373;NaN;0.3736134;0.034169342
20;NaN;0.40863751;0.030719957;NaN;0.31845195;0.030889182
21;NaN;0.351098064;0.027888846;1;0.27346848;0.028052461
22;NaN;0.303711729;0.025424621;0.900154203;0.236430997;0.025582784
23;NaN;0.264346186;0.023266739;0.747180682;0.205669838;0.023419625
24;NaN;0.23138423;0.021366702;0.625058796;0.179918811;0.021514494
25;NaN;0.203584079;0.019685272;0.526650015;0.158205764;0.019828158
26;1;0.179981445;0.018190419;0.446666305;0.139775863;0.018328585
27;0.929332721;0.159819801;0.016855776;0.381142114;0.124036966;0.016989407
28;0.797590784;0.142499988;0.015659478;0.327069961;0.110520159;0.015788754
29;0.688124742;0.127543347;0.014583265;0.282145163;0.09885087;0.014708362
30;0.596593673;0.114564396;0.013611792;0.24458456;0.088727477;0.013732879
31;0.519608649;0.103250371;0.012732083;0.21299615;0.079905282;0.012849324
32;0.45450191;0.093345741;0.011933111;0.186284229;0.072184389;0.012046661
33;0.495326702;0.099927901;0.01250764;0.20323251;0.077373553;0.012631489
34;0.519712452;0.104067036;0.012893834;0.213487339;0.080677413;0.013030181
35;0.439697845;0.090130566;0.011560507;0.180760035;0.069858648;0.011690594
36;0.350906444;0.074477511;0.010060519;0.144389207;0.057687064;0.010180987
37;0.276375596;0.061317968;0.008823181;0.113839811;0.047443448;0.008935162
38;0.218391908;0.051142376;0.007901835;0.090047166;0.039509424;0.008007268
39;0.174808998;0.043565564;0.007249966;0.072132621;0.033587748;0.007350704
40;0.142957161;0.03806574;0.006801032;0.059008803;0.029276919;0.006898579
41;0.12039524;0.034162211;0.006493608;0.049684592;0.026207476;0.006588958
42;0.105009867;0.031459432;0.006281016;0.043301973;0.02407466;0.006374602
43;0.095025523;0.029653201;0.006133282;0.039138156;0.022642815;0.006225074
44;0.088989569;0.028516063;0.006033609;0.036599749;0.021734662;0.006123327
45;0.085722172;0.02787106;0.005972236;0.035203723;0.021211867;0.006059592
46;0.084248219;0.027565791;0.005940736;0.034550849;0.020955604;0.006025613
47;0.083744447;0.027456563;0.005928613;0.034304547;0.020854479;0.006011147
48;0.083522728;0.027406432;0.005922689;0.034183739;0.02080279;0.006003253
49;0.083045871;0.027294483;0.005908736;0.033968676;0.020707305;0.005987834
50;0.081953197;0.02702923;0.005874147;0.033510938;0.020497261;0.005952274
51;0.080069895;0.02655816;0.005810288;0.032737254;0.020131614;0.005887799
52;0.077386724;0.025868658;0.005713599;0.031641611;0.01959985;0.005790646
53;0.074014661;0.024980534;0.005585263;0.030267224;0.018916425;0.005661792
54;0.07013031;0.023933972;0.005429892;0.028684597;0.018111638;0.005505694
55;0.065927833;0.022777426;0.005253903;0.026971999;0.017222377;0.005328688
56;0.061585964;0.021558382;0.005064125;0.025201914;0.016284991;0.00513758
57;0.057250929;0.020317891;0.00486685;0.023433915;0.015331018;0.004938689
58;0.053031598;0.019088324;0.00466735;0.021712527;0.014385394;0.004737339
59;0.04900205;0.017893286;0.00446973;0.020068155;0.013466344;0.004537694
60;0.045207526;0.01674869;0.00427699;0.018519443;0.012586172;0.004342813
61;0.041671198;0.015664253;0.004091187;0.017076005;0.011752404;0.004154804
62;0.038400363;0.014645004;0.003913623;0.015740938;0.010968937;0.003975011
63;0.035391523;0.013692595;0.003745026;0.014512894;0.010237054;0.003804194
64;0.032634277;0.012806352;0.003585703;0.013387678;0.00955624;0.003642685
65;0.030114152;0.011984086;0.003435665;0.012359409;0.008924797;0.003490512
66;0.02781459;0.011222675;0.00329472;0.011421336;0.008340308;0.003347495
67;0.025718286;0.010518485;0.003162543;0.010566392;0.007799957;0.003213316
68;0.023808059;0.009867656;0.003038732;0.009787554;0.007300753;0.003087575
69;0.022067385;0.009266297;0.002922838;0.009078062;0.006839682;0.002969827
70;0.020480717;0.00871061;0.002814394;0.008431553;0.006413802;0.002859604
71;0.019033629;0.008196965;0.002712934;0.007842121;0.006020301;0.002756438
72;0.017712882;0.007721945;0.002617998;0.007304346;0.005656535;0.002659867
73;0.016506405;0.007282367;0.002529147;0.006813285;0.005320039;0.00256945
74;0.015403257;0.006875288;0.002445963;0.006364458;0.005008536;0.002484765
