time,j4_torque,j4_torque_cmd
137.401,-0.486663579661754,-0.499698
137.402,-0.488835,-0.499698
137.403,-0.488835,-0.499698
137.404,-0.488835,-0.499698
137.405,-0.488835,-0.499698
137.406,-0.488835,-0.499698
137.407,-0.488835,-0.499698
137.408,-0.488835,-0.499698
137.409,-0.462104260714774,-0.499698
137.41,-0.459867,-0.499698
137.411,-0.459867,-0.499698
137.412,-0.459867,-0.499698
137.413,-0.459867,-0.499698
137.414,-0.459867,-0.499698
137.415,-0.459867,-0.499698
137.416,-0.459867,-0.499698
137.417,-0.459971549404967,-0.499698
137.418,-0.469872061245845,-0.499698
137.419,-0.47073,-0.499698
137.42,-0.47073,-0.499698
137.421,-0.47073,-0.499698
137.422,-0.47073,-0.499698
137.423,-0.47073,-0.499698
137.424,-0.47073,-0.499698
137.425,-0.470763970302797,-0.499698
137.426,-0.474351,-0.499698
137.427,-0.474351,-0.499698
137.428,-0.474351,-0.499698
137.429,-0.474351,-0.499698
137.43,-0.474351,-0.499698
137.431,-0.474351,-0.499698
137.432,-0.474351,-0.499698
137.433,-0.474606147683094,-0.499698
137.434,-0.485214,-0.499698
137.435,-0.485214,-0.499698
137.436,-0.485214,-0.499698
137.437,-0.485214,-0.499698
137.438,-0.485214,-0.499698
137.439,-0.485214,-0.499698
137.44,-0.485214,-0.499698
137.441,-0.485214,-0.499698
137.442,-0.485365863098247,-0.499698
137.443,-0.488835,-0.499698
137.444,-0.488835,-0.499698
137.445,-0.488835,-0.499698
137.446,-0.488835,-0.499698
137.447,-0.488835,-0.499698
137.448,-0.488835,-0.499698
137.449,-0.488835,-0.499698
137.45,-0.487981007836249,-0.499698
137.451,-0.467109,-0.499698
137.452,-0.467109,-0.499698
137.453,-0.467109,-0.499698
137.454,-0.467109,-0.499698
137.455,-0.467109,-0.499698
137.456,-0.467109,-0.499698
137.457,-0.467109,-0.499698
137.458,-0.467719861551537,-0.499698
137.459,-0.477972,-0.499698
137.46,-0.477972,-0.499698
137.461,-0.477972,-0.499698
137.462,-0.477972,-0.499698
137.463,-0.477972,-0.499698
137.464,-0.477972,-0.499698
137.465,-0.477972,-0.499698
137.466,-0.477972,-0.499698
137.467,-0.477817197166836,-0.499698
137.468,-0.47073,-0.499698
137.469,-0.47073,-0.499698
137.47,-0.47073,-0.499698
137.471,-0.47073,-0.499698
137.472,-0.47073,-0.499698
137.473,-0.47073,-0.499698
137.474,-0.47073,-0.499698
137.475,-0.470292151808047,-0.499698
137.476,-0.463488,-0.499698
137.477,-0.463488,-0.499698
137.478,-0.463488,-0.499698
137.479,-0.463488,-0.499698
137.48,-0.463488,-0.499698
137.481,-0.463488,-0.499698
137.482,-0.463488,-0.499698
137.483,-0.463488,-0.499698
137.484,-0.463488,-0.499698
137.485,-0.47073,-0.499698
137.486,-0.47073,-0.499698
137.487,-0.47073,-0.499698
137.488,-0.47073,-0.499698
137.489,-0.47073,-0.499698
137.49,-0.47073,-0.499698
137.491,-0.47073,-0.499698
137.492,-0.47073,-0.499698
137.493,-0.459973516980582,-0.499698
137.494,-0.459867,-0.499698
137.495,-0.459867,-0.499698
137.496,-0.459867,-0.499698
137.497,-0.459867,-0.499698
137.498,-0.459867,-0.499698
137.499,-0.459867,-0.499698
137.5,-0.460119951125836,-0.499698
137.501,-0.47073,-0.499698
137.502,-0.47073,-0.499698
137.503,-0.47073,-0.499698
137.504,-0.47073,-0.499698
137.505,-0.47073,-0.499698
137.506,-0.47073,-0.499698
137.507,-0.47073,-0.499698
137.508,-0.47073,-0.499698
137.509,-0.47073,-0.499698
137.51,-0.47073,-0.499698
137.511,-0.47073,-0.499698
137.512,-0.47073,-0.499698
137.513,-0.47073,-0.499698
137.514,-0.47073,-0.499698
137.515,-0.47073,-0.499698
137.516,-0.47073,-0.499698
137.517,-0.47073,-0.499698
137.518,-0.477972,-0.499698
137.519,-0.477972,-0.499698
137.52,-0.477972,-0.499698
137.521,-0.477972,-0.499698
137.522,-0.477972,-0.499698
137.523,-0.477972,-0.499698
137.524,-0.477972,-0.499698
137.525,-0.477972,-0.499698
137.526,-0.477797574361635,-0.499698
137.527,-0.47073,-0.499698
137.528,-0.47073,-0.499698
137.529,-0.47073,-0.499698
137.53,-0.47073,-0.499698
137.531,-0.47073,-0.499698
137.532,-0.47073,-0.499698
137.533,-0.47073,-0.499698
137.534,-0.47073,-0.499698
137.535,-0.488835,-0.499698
137.536,-0.488835,-0.499698
137.537,-0.488835,-0.499698
137.538,-0.488835,-0.499698
137.539,-0.488835,-0.499698
137.54,-0.488835,-0.499698
137.541,-0.488835,-0.499698
137.542,-0.488835,-0.499698
137.543,-0.474983842312709,-0.499698
137.544,-0.474351,-0.499698
137.545,-0.474351,-0.499698
137.546,-0.474351,-0.499698
137.547,-0.474351,-0.499698
137.548,-0.474351,-0.499698
137.549,-0.474351,-0.499698
137.55,-0.474351,-0.499698
137.551,-0.474351,-0.499698
137.552,-0.467404359999848,-0.499698
137.553,-0.467109,-0.499698
137.554,-0.467109,-0.499698
137.555,-0.467109,-0.499698
137.556,-0.467109,-0.499698
137.557,-0.467109,-0.499698
137.558,-0.467109,-0.499698
137.559,-0.466950247689356,-0.499698
137.56,-0.459883282288426,-0.499698
137.561,-0.459867,-0.499698
137.562,-0.459867,-0.499698
137.563,-0.459867,-0.499698
137.564,-0.459867,-0.499698
137.565,-0.459867,-0.499698
137.566,-0.459867,-0.499698
137.567,-0.459867,-0.499698
137.568,-0.459867,-0.499698
137.569,-0.476193153989874,-0.499698
137.57,-0.477972,-0.499698
137.571,-0.477972,-0.499698
137.572,-0.477972,-0.499698
137.573,-0.477972,-0.499698
137.574,-0.477972,-0.499698
137.575,-0.477972,-0.499698
137.576,-0.477972,-0.499698
137.577,-0.474565741822516,-0.499698
137.578,-0.474351,-0.499698
137.579,-0.474351,-0.499698
137.58,-0.474351,-0.499698
137.581,-0.474351,-0.499698
137.582,-0.474351,-0.499698
137.583,-0.474351,-0.499698
137.584,-0.474351,-0.499698
137.585,-0.484903606344776,-0.499698
137.586,-0.485214,-0.499698
137.587,-0.485214,-0.499698
137.588,-0.485214,-0.499698
