time,force,BW50hz,filtered,algorithm,pert,impact
222.600551168,-6.52638328008732,-6.48508962011852,-6.43745113884876,-6.38534658582707,NaN,NaN
222.601551168,-6.53648933658941,-6.47661197853503,-6.44308812468391,-6.39896862940793,NaN,NaN
222.602551168,-6.50729726280732,-6.46424625994564,-6.44784526951048,-6.41189208240281,NaN,NaN
222.603551168,-6.50860417377586,-6.44854109728834,-6.45172422399523,-6.42409921428747,NaN,NaN
222.604551168,-6.47111754047566,-6.43056108869701,-6.4547293231507,-6.43557129056308,NaN,NaN
222.605551168,-6.31284995020382,-6.41178348980719,-6.45686686648352,-6.44629425494678,NaN,NaN
222.606551168,-6.3742423419909,-6.39375565560439,-6.45814390117098,-6.45625083648015,NaN,NaN
222.607551168,-6.2989445732927,-6.3776926050332,-6.45856683464065,-6.46542628812514,NaN,NaN
222.608551168,-6.36394866414967,-6.36431371982155,-6.45814078993007,-6.47380071434344,NaN,NaN
222.609551168,-6.35447163841029,-6.35392909682557,-6.45686994727208,-6.48135653351712,NaN,NaN
222.610551168,-6.35053873534356,-6.3466407726008,-6.45475844959517,-6.48807216965152,NaN,NaN
222.611551168,-6.29075887273957,-6.34247962251832,-6.4518109893296,-6.49393014847624,NaN,NaN
222.612551168,-6.30321268946962,-6.3413381944259,-6.44803252045946,-6.49890955723834,NaN,NaN
222.613551168,-6.29545412609832,-6.34279814471947,-6.44342753779947,-6.50299232493165,NaN,NaN
222.614551168,-6.38669947214765,-6.34607583357738,-6.43799981742823,-6.50615618064084,NaN,NaN
222.615551168,-6.38660597920049,-6.35020551009996,-6.43175330984473,-6.50838267959896,NaN,NaN
222.616551168,-6.33160191728603,-6.35430897953738,-6.42469348477477,-6.50965143982957,NaN,NaN
222.617551168,-6.37477087896751,-6.3576715517633,-6.41682746600279,-6.50994742987266,NaN,NaN
222.618551168,-6.36968036704886,-6.35965933827424,-6.40816310871124,-6.5092529955556,NaN,NaN
222.619551168,-6.36275600169935,-6.35969591243686,-6.39870855560736,-6.50755507220782,NaN,NaN
222.620551168,-6.35544948155222,-6.35727798877499,-6.38847252520381,-6.5048375876865,NaN,NaN
222.621551168,-6.3730766147746,-6.35195850755066,-6.37746462740781,-6.50108944161013,NaN,NaN
222.622551168,-6.39080620472962,-6.34338051593156,-6.36569535620503,-6.49629737077343,NaN,NaN
222.623551168,-6.35692208442113,-6.33139955934413,-6.35317591402186,-6.49045288728022,NaN,NaN
222.624551168,-6.27796170999178,-6.31614247430149,-6.33991801692193,-6.48354507507243,NaN,NaN
222.625551168,-6.34438521770638,-6.29789827758121,-6.32593368381072,-6.47556787278292,NaN,NaN
222.626551168,-6.30269050940185,-6.27703907122454,-6.3112353524666,-6.46651253274308,NaN,NaN
222.627551168,-6.22007466828967,-6.25407560592636,-6.29583613941414,-6.45637559978255,NaN,NaN
222.628551168,-6.27711560422978,-6.2296527556927,-6.27974975358635,-6.44515106176031,NaN,NaN
222.629551168,-6.23227125572834,-6.20451777475959,-6.26299074757457,-6.43283886628132,NaN,NaN
222.630551168,-6.15338372937777,-6.17958105507872,-6.24557519708237,-6.41943720266108,NaN,NaN
222.631551168,-6.0547720440604,-6.15582631822865,-6.22752048046195,-6.40495054980974,NaN,NaN
222.632551168,-6.06649521332601,-6.13394128695616,-6.20884400164842,-6.38938062905611,NaN,NaN
222.633551168,-6.09107959081078,-6.11399945676305,-6.1895621295575,-6.37273315782512,NaN,NaN
222.634551168,-6.12000607222088,-6.09550653417675,-6.16969000006161,-6.35500978543416,NaN,NaN
222.635551168,-6.10083659097623,-6.07772453514383,-6.14924190557581,-6.33621635367564,NaN,NaN
222.636551168,-6.04663772980211,-6.05995763796954,-6.12823203123948,-6.31635600923612,NaN,NaN
222.637551168,-6.0340361059232,-6.04160623976668,-6.10667517355971,-6.29543796340781,NaN,NaN
222.638551168,-6.06154322246964,-6.0220998052529,-6.08458717456407,-6.27346916110611,NaN,NaN
