lower_window,upper_window,rmse_100ms,rmse_300ms
30,80,0.5236985,2.60769
40,80,0.4910944,2.464615
50,80,0.48706,2.178421
60,80,0.449049,2.072831
70,80,0.4366863,1.887259
80,80,0.4447992,1.855353
90,80,0.4173553,1.89766
100,80,0.3863207,1.900906
110,80,0.4574495,1.812202
120,80,0.4368449,1.772506
30,90,0.514158,2.358363
40,90,0.4806259,1.951602
50,90,0.509753,1.918217
60,90,0.4597472,1.752848
70,90,0.4556662,1.790148
80,90,0.4056993,1.780157
90,90,0.4057575,1.577199
100,90,0.4404206,1.663843
110,90,0.4263282,1.619541
120,90,0.3838196,1.437626
30,100,0.497647,1.772613
40,100,0.4911309,1.73058
50,100,0.5147367,1.50278
60,100,0.4883594,1.561867
70,100,0.4279617,1.481945
80,100,0.4359487,1.435672
90,100,0.4265332,1.263824
100,100,0.4073904,1.468824
110,100,0.3802677,1.355279
120,100,0.3669954,1.292987
30,110,0.5144786,1.342894
40,110,0.4869222,1.283887
50,110,0.5441807,1.285451
60,110,0.4665241,1.272354
70,110,0.4401164,1.21916
80,110,0.4625787,1.16955
90,110,0.4128803,1.174698
100,110,0.3765374,1.148123
110,110,0.4329921,1.071809
120,110,0.4003085,1.068301
30,120,0.4876646,1.094507
40,120,0.5004684,0.9793038
50,120,0.5034457,0.996405
60,120,0.4667449,1.011591
70,120,0.456668,0.9510415
80,120,0.4457284,0.888295
90,120,0.4432271,0.8591558
100,120,0.391594,0.8476107
110,120,0.3662153,0.8359979
120,120,0.3538791,0.7717045
30,130,0.5121586,0.8286398
40,130,0.4958403,0.8810083
50,130,0.4624281,0.763347
60,130,0.440169,0.7316008
70,130,0.437037,0.759242
80,130,0.4246861,0.718683
90,130,0.4251654,0.6785296
100,130,0.4163417,0.7005749
110,130,0.3696304,0.726246
120,130,0.3518505,0.6312607
30,140,0.5099871,0.6087849
40,140,0.5187452,0.6018139
50,140,0.459929,0.5251954
60,140,0.4520923,0.5362277
70,140,0.4492043,0.5317041
80,140,0.4330854,0.5362332
90,140,0.4133598,0.5094188
100,140,0.3817289,0.540453
110,140,0.3807297,0.4773194
120,140,0.3554252,0.5168285
30,150,0.5329576,0.4822942
40,150,0.4912419,0.4522262
50,150,0.4877076,0.46088
60,150,0.4059744,0.4341766
70,150,0.4038593,0.4088451
80,150,0.4037203,0.4488359
90,150,0.3930999,0.4353674
100,150,0.374692,0.418896
110,150,0.3598002,0.4061897
120,150,0.3798365,0.3959406
30,160,0.4871936,0.3759636
40,160,0.453083,0.3454809
50,160,0.4330557,0.3242685
60,160,0.4637076,0.3528858
70,160,0.4885127,0.3649483
80,160,0.4216075,0.3297275
90,160,0.3673849,0.3136794
100,160,0.4182442,0.3474918
110,160,0.3744897,0.3263359
120,160,0.3203896,0.2982157
30,170,0.520445,0.3386372
40,170,0.4610756,0.3113801
50,170,0.467304,0.3078392
60,170,0.444549,0.2969208
70,170,0.4311556,0.2909603
80,170,0.4595174,0.2978222
90,170,0.3842007,0.2648292
100,170,0.3944462,0.2754009
110,170,0.4269284,0.3002021
120,170,0.39532,0.2753324
30,180,0.4309598,0.2658457
40,180,0.4006002,0.2487956
50,180,0.4274885,0.2637447
60,180,0.4251693,0.2618469
70,180,0.4006228,0.2517239
80,180,0.3887376,0.2431956
90,180,0.3872816,0.2464461
100,180,0.4244713,0.2667587
110,180,0.3689654,0.2390434
120,180,0.3413884,0.2239962
30,190,0.4574764,0.2708007
40,190,0.387723,0.2322019
50,190,0.3725839,0.2242203
60,190,0.4208507,0.2511589
70,190,0.4064134,0.2444277
80,190,0.4326037,0.2584733
90,190,0.3823751,0.2313921
100,190,0.3240544,0.1998055
110,190,0.3765318,0.2303785
120,190,0.3201625,0.2005296
30,200,0.468143,0.2753761
40,200,0.4157643,0.2462002
50,200,0.398149,0.2364058
60,200,0.4142419,0.2461285
70,200,0.3398805,0.2054756
80,200,0.3685178,0.221159
90,200,0.3938137,0.2361151
100,200,0.3547975,0.2153738
110,200,0.3414762,0.2082638
120,200,0.3721597,0.2258619
