lower_window,upper_window,K_med_err_csv,B_med_err_csv,M_med_err_csv
30,80,0.003836496,0.004272779,0.0009971261
40,80,0.002886418,0.001380205,0.0009192427
50,80,0.00183367,0.0004811287,0.0001475612
60,80,0.004777418,0.00420936,0.0003652175
70,80,0.0002284459,0.0002961159,0.0005776087
80,80,0.001824842,0.001586596,0.001142363
90,80,0.001875959,0.001584609,0.001393497
100,80,0.002627346,0.003816128,0.001686156
110,80,0.002886091,0.003032128,0.001544595
120,80,0.0001911708,0.0004072189,0.0004890958
30,90,0.0001799447,0.001303037,0.001277069
40,90,0.002514321,0.003275792,0.001059612
50,90,0.0006211417,0.003057559,0.0004547238
60,90,0.0006277902,0.005484581,0.0008688768
70,90,0.002637482,0.004524867,0.0005638996
80,90,0.003082057,0.003258705,5.920728e-06
90,90,0.0008169992,0.002644062,0.0005327066
100,90,0.001032257,3.854434e-05,0.001293063
110,90,0.0007198878,0.003049453,0.001595954
120,90,0.00226157,0.002277215,0.001621982
30,100,0.0001959665,0.003806988,0.00139002
40,100,0.005205863,0.008289258,0.0009039442
50,100,0.003112575,0.005437931,0.0008210937
60,100,0.001746804,0.005146424,0.001270811
70,100,0.004349627,0.004356464,0.001258592
80,100,0.0011346,0.002146482,0.001345913
90,100,0.001751927,0.004429499,0.001234055
100,100,0.002480861,0.0008789698,0.0006142656
110,100,0.001970782,0.001194557,1.684825e-05
120,100,0.004702541,0.004856586,1.748403e-06
30,110,0.004897962,0.005735159,0.0004947582
40,110,0.0005608695,0.0001570384,0.0007107258
50,110,0.002976663,0.002683799,0.0007778803
60,110,0.002859606,0.0009360313,0.0002937913
70,110,0.00525044,0.003123363,0.00109458
80,110,0.006523023,0.004521052,0.001240313
90,110,0.00729599,0.004803578,0.0009777546
100,110,0.002734157,0.003348033,0.0009375215
110,110,0.002268764,0.001360258,0.001134912
120,110,0.001148006,0.001924674,0.0007966558
30,120,0.0002166748,0.0007837613,0.0005959868
40,120,0.002716718,0.001393716,0.0007215539
50,120,0.002556719,0.0007991791,0.0009253026
60,120,0.003687068,0.002722025,0.0008282463
70,120,0.005766514,0.005428871,0.001106302
80,120,0.001703208,0.002678394,0.001306474
90,120,0.003135354,0.003604571,0.0007452965
100,120,0.004234532,0.005076488,0.001225909
110,120,0.003042821,0.002734343,0.0007802645
120,120,0.005673327,0.005125999,0.001035671
30,130,0.0005504063,0.002240578,0.001189451
40,130,0.004209246,0.005835613,0.001156469
50,130,0.0009651184,0.002963702,0.0009706021
60,130,0.001031603,0.001501242,0.0009207329
70,130,0.002770015,0.0002631346,0.0001278917
80,130,0.003875514,0.003956954,0.0004295905
90,130,0.0006501334,0.001782417,0.0006284714
100,130,0.001798684,0.003751199,0.0007768869
110,130,0.001681301,0.003742218,0.001242995
120,130,0.002795737,0.003730218,0.0007361571
30,140,0.002686201,0.00570027,0.0009379188
40,140,0.003224073,0.003721952,0.0004677375
50,140,0.006751251,0.003273726,0.0008316239
60,140,0.006941114,0.006578922,0.0002810756
70,140,0.004884883,0.0001662572,0.0009463629
80,140,0.0004200527,0.002105951,0.0003705819
90,140,0.001290022,9.234747e-05,0.0004359484
100,140,0.0049857,0.002070904,0.0001763701
110,140,0.003390503,0.003912687,0.0009492437
120,140,0.001853071,0.001679023,0.0007925828
30,150,0.001623317,0.001271963,0.0008205971
40,150,0.001668985,0.001495202,0.0007754961
50,150,0.001428114,0.003212214,0.0006266832
60,150,0.003092303,0.003677766,0.0008051991
70,150,0.003480094,0.006323656,0.0008174182
80,150,0.001114328,0.007915258,0.0008393725
90,150,0.003372846,0.002735376,0.0009570917
100,150,0.004728372,0.00248313,0.0003462434
110,150,0.002483477,0.002621015,0.0005729397
120,150,0.002920641,0.002497752,0.0002094507
30,160,0.00329361,0.00584809,0.000157992
40,160,0.004798562,0.002251625,0.0005059838
50,160,0.003500584,0.00408411,0.0003851851
60,160,0.003294046,0.003158649,0.0002938906
70,160,0.001133074,0.001596451,0.0006649295
80,160,0.0004101344,0.002823909,0.0002056758
90,160,0.003673336,0.003825108,0.0007456938
100,160,0.00521055,0.004520973,0.0004620751
110,160,0.005244337,0.007923841,0.0008114576
120,160,0.003610774,0.003286521,0.0009038449
30,170,0.002801187,0.003202438,0.0002747178
40,170,0.003624834,0.0004291534,0.0009569923
50,170,0.005636052,0.003715277,0.0005532702
60,170,0.003703526,0.003074487,0.0002834598
70,170,0.004757254,0.00471282,0.000195841
80,170,0.003372519,0.006487051,0.0006057222
90,170,0.005587223,0.008246263,0.0002714396
100,170,0.001038688,0.002720753,7.732709e-05
110,170,0.002749307,0.003349543,0.0008047024
120,170,0.002602059,0.0001118978,0.0009692113
30,180,0.003039333,0.009074688,0.0007376472
40,180,0.0008698599,0.007351478,0.00060304
50,180,0.003605652,0.00527517,0.0002020001
60,180,0.005605643,0.003419717,0.0006282727
70,180,0.006251308,0.006637573,0.0007842382
80,180,0.005671474,0.007101536,0.0003580649
90,180,0.003847831,0.009339889,3.691515e-05
100,180,0.003427015,0.005907854,0.0001728932
110,180,0.004435185,0.002688646,0.000452737
120,180,0.004056549,0.003058275,0.0005370775
30,190,0.003572955,0.004082918,1.376867e-05
40,190,0.003567287,0.0038685,0.0008039077
50,190,0.004323905,0.001407464,4.386902e-05
60,190,0.001148551,0.0008998712,0.0005838672
70,190,0.002805437,0.003785213,0.0008972884
80,190,0.005685207,0.007355054,6.218751e-06
90,190,0.004765756,0.002719084,0.0002357761
100,190,0.005594635,0.002923727,0.000896593
110,190,0.005656433,0.00257508,5.805493e-05
120,190,0.004911368,0.01012953,0.0001218518
30,200,0.005948421,0.01142971,0.0004662673
40,200,0.005742645,0.007285992,0.0007261236
50,200,0.003792245,0.004622459,0.000196139
60,200,0.003469195,0.008168857,0.0002550483
70,200,0.0024583,0.003876527,0.0002656977
80,200,0.003752463,0.005108675,0.0004031658
90,200,0.005092185,0.006458918,0.0001238187
100,200,0.007044002,0.003984372,0.0008416573
110,200,0.004127938,0.002910058,0.0001374284
120,200,0.006699699,0.004151344,0.0004050533
