time,force,virtual
147.10049024,-4.91669838352554,NaN
147.10149024,-4.92925546661475,NaN
147.10249024,-4.94060453048793,NaN
147.10349024,-4.95169170379993,NaN
147.10449024,-4.9634163736032,NaN
147.10549024,-4.97660763073019,NaN
147.10649024,-4.99201979297132,NaN
147.10749024,-5.01024659855492,NaN
147.10849024,-5.0314776065638,NaN
147.10949024,-5.05522168471824,NaN
147.11049024,-5.08026032125528,NaN
147.11149024,-5.10492035006426,NaN
147.11249024,-5.1275088018614,NaN
147.11349024,-5.14668832432183,NaN
147.11449024,-5.16164704946998,NaN
147.11549024,-5.1720574045489,NaN
147.11649024,-5.17793481502119,NaN
147.11749024,-5.17958308834235,NaN
147.11849024,-5.17774737060801,NaN
147.11949024,-5.17382717410266,NaN
147.12049024,-5.16986387718331,NaN
147.12149024,-5.16820108242355,NaN
147.12249024,-5.17104367498316,NaN
147.12349024,-5.18021495579204,NaN
147.12449024,-5.19712687512727,NaN
147.12549024,-5.22279671254764,NaN
147.12649024,-5.25784192549303,NaN
147.12749024,-5.30242605585135,NaN
147.12849024,-5.35605503142825,NaN
147.12949024,-5.41730831106348,NaN
147.13049024,-5.4838656025374,NaN
147.13149024,-5.55296047243674,NaN
147.13249024,-5.6219173491653,NaN
147.13349024,-5.68850783760138,NaN
147.13449024,-5.75120921573207,NaN
147.13549024,-5.80931459431541,NaN
147.13649024,-5.86271933639723,NaN
147.13749024,-5.91155334190079,NaN
147.13849024,-5.9560553464361,NaN
147.13949024,-5.99674814095611,NaN
147.14049024,-6.0345291032,NaN
147.14149024,-6.07046958028447,NaN
147.14249024,-6.10553441659211,NaN
147.14349024,-6.14045565000385,NaN
147.14449024,-6.17577900442461,NaN
147.14549024,-6.21192418665925,NaN
147.14649024,-6.2491888504051,NaN
147.14749024,-6.28770410787979,NaN
147.14849024,-6.32733888271674,NaN
147.14949024,-6.36763578968976,NaN
147.15049024,-6.40778704875934,NaN
147.15149024,-6.44667605006453,NaN
147.15249024,-6.48307943479406,NaN
147.15349024,-6.51589668234281,NaN
147.15449024,-6.54423339776685,NaN
147.15549024,-6.56737166697851,NaN
147.15649024,-6.58474741978402,NaN
147.15749024,-6.59609792467232,NaN
147.15849024,-6.60172980710902,NaN
147.15949024,-6.60258343862198,NaN
147.16049024,-6.6000418880232,NaN
147.16149024,-6.59567097232193,NaN
147.16249024,-6.59093446817706,NaN
147.16349024,-6.5869935434054,NaN
147.16449024,-6.58476974481373,NaN
147.16549024,-6.58517466837514,NaN
147.16649024,-6.58917947364287,NaN
147.16749024,-6.59753712598886,NaN
147.16849024,-6.61037861975214,NaN
147.16949024,-6.62705136505255,NaN
147.17049024,-6.64624155902412,NaN
147.17149024,-6.66622995949886,NaN
147.17249024,-6.68522713620238,NaN
147.17349024,-6.70170582803558,NaN
147.17449024,-6.71454785233129,NaN
147.17549024,-6.72294011157821,NaN
147.17649024,-6.72619009327988,NaN
147.17749024,-6.72366189918312,NaN
147.17849024,-6.71490890658999,NaN
147.17949024,-6.69995666111901,NaN
147.18049024,-6.67945533275001,NaN
147.18149024,-6.6544678504777,NaN
147.18249024,-6.62612756765492,NaN
147.18349024,-6.59548802911651,NaN
147.18449024,-6.56359929997224,NaN
147.18549024,-6.53166699783891,NaN
147.18649024,-6.50105372491062,NaN
147.18749024,-6.47298351903736,NaN
147.18849024,-6.44816488284851,NaN
147.18949024,-6.42667823755656,NaN
147.19049024,-6.40805947915614,NaN
147.19149024,-6.39133147762432,NaN
147.19249024,-6.37510775183885,NaN
147.19349024,-6.35784751459731,NaN
147.19449024,-6.33805351568512,NaN
147.19549024,-6.31433808414336,NaN
147.19649024,-6.28548343759373,NaN
147.19749024,-6.25068889579288,NaN
147.19849024,-6.2099544922437,NaN
147.19949024,-6.16423940346053,NaN
147.20049024,-6.11524835437949,NaN
147.20149024,-6.06501591802694,NaN
147.20249024,-6.01546622037059,NaN
147.20349024,-5.96810394115264,NaN
147.20449024,-5.92394530852806,NaN
147.20549024,-5.88360407679345,NaN
147.20649024,-5.84736046929709,NaN
147.20749024,-5.81514157607804,NaN
147.20849024,-5.78650778842714,NaN
147.20949024,-5.7607464141456,NaN
147.21049024,-5.73693888875539,NaN
147.21149024,-5.71395739966782,NaN
147.21249024,-5.69062328044778,NaN
147.21349024,-5.66599451583549,NaN
147.21449024,-5.63944805627346,NaN
147.21549024,-5.61055892768376,NaN
147.21649024,-5.57905366112822,NaN
147.21749024,-5.54486778952453,NaN
147.21849024,-5.50823155836628,NaN
147.21949024,-5.46972696873729,NaN
147.22049024,-5.43019265150589,NaN
147.22149024,-5.39058553164566,NaN
147.22249024,-5.3519650940375,NaN
147.22349024,-5.31542613604587,NaN
147.22449024,-5.28191814532436,NaN
147.22549024,-5.252188509989,NaN
147.22649024,-5.22682821853458,NaN
147.22749024,-5.20617357817082,NaN
147.22849024,-5.19012440755012,NaN
147.22949024,-5.17813316204954,NaN
147.23049024,-5.16933213455365,NaN
147.23149024,-5.16263877251343,NaN
147.23249024,-5.15683657923215,NaN
147.23349024,-5.15069647072779,NaN
147.23449024,-5.14319292333084,NaN
147.23549024,-5.13366737818455,NaN
147.23649024,-5.12178392293235,NaN
147.23749024,-5.10744878986699,NaN
147.23849024,-5.09082440324229,NaN
147.23949024,-5.07233892861299,NaN
147.24049024,-5.05259247458405,NaN
147.24149024,-5.03214923684504,NaN
147.24249024,-5.01137325506706,NaN
147.24349024,-4.99048034188046,NaN
147.24449024,-4.96969936163967,NaN
147.24549024,-4.94935168550141,NaN
147.24649024,-4.92981778610563,NaN
147.24749024,-4.91138834525436,NaN
147.24849024,-4.89404841040965,NaN
147.24949024,-4.87737077710357,NaN
147.25049024,-4.8606269893777,NaN
147.25149024,-4.84305593936784,NaN
147.25249024,-4.82415078429342,NaN
147.25349024,-4.80381401980499,NaN
147.25449024,-4.78234689935598,NaN
147.25549024,-4.76035987669186,NaN
147.25649024,-4.73854790199908,NaN
147.25749024,-4.71734033548924,NaN
147.25849024,-4.69678884647672,NaN
147.25949024,-4.67680704068036,NaN
147.26049024,-4.65739109102859,NaN
147.26149024,-4.63862323101972,NaN
147.26249024,-4.62063218333944,NaN
147.26349024,-4.60364427361284,NaN
147.26449024,-4.58801139682385,NaN
147.26549024,-4.57412407040733,NaN
147.26649024,-4.5623040539268,NaN
147.26749024,-4.55272785061589,NaN
147.26849024,-4.54533395221734,NaN
147.26949024,-4.53975811539718,NaN
147.27049024,-4.53543502864731,NaN
147.27149024,-4.53186747720624,NaN
147.27249024,-4.52882727918874,NaN
147.27349024,-4.52630695293202,NaN
147.27449024,-4.52432361247006,NaN
147.27549024,-4.52277956231118,NaN
147.27649024,-4.52145334351908,NaN
147.27749024,-4.5200523161088,NaN
147.27849024,-4.51829830397904,NaN
147.27949024,-4.51605665016847,NaN
147.28049024,-4.51339733539494,NaN
147.28149024,-4.51051555396891,NaN
147.28249024,-4.50759262640136,NaN
147.28349024,-4.50469999084115,NaN
147.28449024,-4.50184446003056,NaN
147.28549024,-4.49912585274401,NaN
147.28649024,-4.49678252093913,NaN
147.28749024,-4.49503024081622,NaN
147.28849024,-4.49383718309299,NaN
147.28949024,-4.49276856314311,NaN
147.29049024,-4.49102310370968,NaN
147.29149024,-4.48768252576845,NaN
147.29249024,-4.4819774372839,NaN
147.29349024,-4.4734683178626,NaN
147.29449024,-4.46214910718978,NaN
147.29549024,-4.4483826566559,NaN
147.29649024,-4.43268168344974,NaN
147.29749024,-4.41554091919124,NaN
147.29849024,-4.39742415191744,NaN
147.29949024,-4.37878183269144,NaN
147.30049024,-4.3600422764615,NaN
147.30149024,-4.3416326952461,NaN
147.30249024,-4.32392619646959,NaN
147.30349024,-4.30709122606676,NaN
147.30449024,-4.29103731296619,NaN
147.30549024,-4.27549190259496,NaN
147.30649024,-4.26012174104891,NaN
147.30749024,-4.24462157010061,NaN
147.30849024,-4.22870739433779,NaN
147.30949024,-4.21210557827025,NaN
147.31049024,-4.19462218575311,NaN
147.31149024,-4.17622160847739,NaN
147.31249024,-4.15700486941462,NaN
147.31349024,-4.13709212638045,NaN
147.31449024,-4.11653155104355,NaN
147.31549024,-4.09528946522431,NaN
147.31649024,-4.07329740939723,NaN
147.31749024,-4.05050756306906,NaN
147.31849024,-4.0268990808048,NaN
147.31949024,-4.0024278278119,NaN
147.32049024,-3.97704437153161,NaN
147.32149024,-3.95089016938131,NaN
147.32249024,-3.92440486553129,NaN
147.32349024,-3.89813214612047,NaN
147.32449024,-3.87251986292763,NaN
147.32549024,-3.84788433012697,NaN
147.32649024,-3.82435691773774,NaN
147.32749024,-3.80175068494044,NaN
147.32849024,-3.7794944020645,NaN
