%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1578324389341269507,147419,1578324389341096310,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389341288865,147420,1578324389341130804,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389341659688,147421,1578324389341577667,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389342330199,147422,1578324389342244672,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389342981158,147423,1578324389342911452,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389343689501,147424,1578324389343578879,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389344362571,147425,1578324389344245313,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389345008730,147426,1578324389344912014,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389345693435,147427,1578324389345578492,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389346347267,147428,1578324389346245133,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389347006039,147429,1578324389346910528,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389347688301,147430,1578324389347578642,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389348345768,147431,1578324389348242758,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389349014694,147432,1578324389348910314,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389349692922,147433,1578324389349578684,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389350347925,147434,1578324389350245333,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389351022269,147435,1578324389350912318,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389351667752,147436,1578324389351576981,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389352335595,147437,1578324389352244890,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389353000529,147438,1578324389352911900,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389353691402,147439,1578324389353578831,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389354362352,147440,1578324389354245219,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389355021463,147441,1578324389354910923,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389355665880,147442,1578324389355577174,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389356350896,147443,1578324389356242926,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389357028438,147444,1578324389356911779,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389357696510,147445,1578324389357578875,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389358359347,147446,1578324389358245056,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389359008392,147447,1578324389358910606,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10471975512,-0.10471975512,0.10471975512,-0.10471975512,-0.10471975512,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
