%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1578324389341269417,147419,1578324389341096310,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,2.01384144461e-05,-4.71238898038e-05,-2.21238919267e-05,0.00752212325507,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.005226,0.0,-0.0,0.003479,0.0,0.0
1578324389341285141,147420,1578324389341130804,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,2.01384144461e-05,-4.71238898038e-05,-2.21238919267e-05,0.00752212325507,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.005226,0.0,-0.0,0.003479,0.0,0.0
1578324389341668963,147421,1578324389341577667,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,2.01384144461e-05,-4.71238898038e-05,-2.21238919267e-05,0.00752212325507,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.005226,-0.0,0.00335,-0.0,-0.0,0.0,0.0
1578324389342339248,147422,1578324389342244672,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,2.01384144461e-05,-4.71238898038e-05,-2.21238919267e-05,0.00752212325507,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.005226,-0.0,0.00335,-0.0,-0.0,0.0,0.0
1578324389342988831,147423,1578324389342911452,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,2.01384144461e-05,-4.71238898038e-05,-2.21238919267e-05,0.00752212325507,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1578324389343694567,147424,1578324389343578879,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,2.01384144461e-05,-4.71238898038e-05,-2.21238919267e-05,0.00752212325507,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.010452,0.0,-0.0,-0.006958,0.0,0.0
1578324389344362055,147425,1578324389344245313,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,2.01384144461e-05,-4.71238898038e-05,-2.21238919267e-05,0.00752212325507,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.010452,0.0,-0.0,-0.006958,0.0,0.0
1578324389345014042,147426,1578324389344912014,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,2.01384144461e-05,-4.71238898038e-05,-2.21238919267e-05,0.00752212325507,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.005226,0.0,-0.007242,-0.0,0.0,0.0
1578324389345700523,147427,1578324389345578492,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,2.01384144461e-05,-4.71238898038e-05,-2.21238919267e-05,0.00752212325507,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.005226,-0.0,0.0,-0.0,-0.003479,0.0,0.0
1578324389346353658,147428,1578324389346245133,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,2.01384144461e-05,-4.71238898038e-05,-2.21238919267e-05,0.00752212325507,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.005226,-0.0,0.0,-0.0,-0.003479,0.0,0.0
