%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.torques0.timeStamp,field.torques0.joint_uri,field.torques0.unit,field.torques0.value,field.torques1.timeStamp,field.torques1.joint_uri,field.torques1.unit,field.torques1.value,field.torques2.timeStamp,field.torques2.joint_uri,field.torques2.unit,field.torques2.value
1578500810959258294,,,0.0,0,arm_joint_2,N m,0.874373622938,0,arm_joint_3,N m,0.616013637512,0,arm_joint_4,N m,-0.275222836231
1578500810960208109,,,0.0,0,arm_joint_2,N m,0.87296684462,0,arm_joint_3,N m,0.604727922536,0,arm_joint_4,N m,-0.275093824227
1578500810961239082,,,0.0,0,arm_joint_2,N m,0.896823988944,0,arm_joint_3,N m,0.613232112713,0,arm_joint_4,N m,-0.275300050453
1578500810962250857,,,0.0,0,arm_joint_2,N m,0.882207664899,0,arm_joint_3,N m,0.601803331926,0,arm_joint_4,N m,-0.2753218162
1578500810963251978,,,0.0,0,arm_joint_2,N m,0.867637588644,0,arm_joint_3,N m,0.610920704794,0,arm_joint_4,N m,-0.275364937953
1578500810964235223,,,0.0,0,arm_joint_2,N m,0.865770714724,0,arm_joint_3,N m,0.599377398932,0,arm_joint_4,N m,-0.275449345263
1578500810965255258,,,0.0,0,arm_joint_2,N m,0.877213083087,0,arm_joint_3,N m,0.608493425625,0,arm_joint_4,N m,-0.27311830326
1578500810966221880,,,0.0,0,arm_joint_2,N m,0.87576640978,0,arm_joint_3,N m,0.586875458568,0,arm_joint_4,N m,-0.275533884713
1578500810967271638,,,0.0,0,arm_joint_2,N m,0.874157648187,0,arm_joint_3,N m,0.606258767909,0,arm_joint_4,N m,-0.275588930114
1578500810968241938,,,0.0,0,arm_joint_2,N m,0.874157648187,0,arm_joint_3,N m,0.606258767909,0,arm_joint_4,N m,-0.275588930114
1578500810969250917,,,0.0,0,arm_joint_2,N m,0.871237423606,0,arm_joint_3,N m,0.593826539172,0,arm_joint_4,N m,-0.275622510978
1578500810970233497,,,0.0,0,arm_joint_2,N m,0.871237423606,0,arm_joint_3,N m,0.593826539172,0,arm_joint_4,N m,-0.275622510978
1578500810971201438,,,0.0,0,arm_joint_2,N m,0.854854271153,0,arm_joint_3,N m,0.601461782156,0,arm_joint_4,N m,-0.278035412943
1578500810972229900,,,0.0,0,arm_joint_2,N m,0.854854271153,0,arm_joint_3,N m,0.601461782156,0,arm_joint_4,N m,-0.278035412943
1578500810973232787,,,0.0,0,arm_joint_2,N m,0.840418383032,0,arm_joint_3,N m,0.600381069292,0,arm_joint_4,N m,-0.275641628168
1578500810974202132,,,0.0,0,arm_joint_2,N m,0.839029769675,0,arm_joint_3,N m,0.58902975705,0,arm_joint_4,N m,-0.275662780268
1578500810975262852,,,0.0,0,arm_joint_2,N m,0.837241292688,0,arm_joint_3,N m,0.608317217529,0,arm_joint_4,N m,-0.275729929177
1578500810976219673,,,0.0,0,arm_joint_2,N m,0.835821024498,0,arm_joint_3,N m,0.586681641224,0,arm_joint_4,N m,-0.27338931918
