%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1554455016212867588,162302,1554455016212789122,base_link,-14.047443,0.242225,-10.703694,0.024879,0.870028,0.052049
1554455016214894744,162303,1554455016214839837,base_link,-14.142871,0.25435,-11.080173,0.024863,0.870725,0.055955
1554455016216901573,162304,1554455016216842016,base_link,-14.086281,0.325099,-11.202676,0.025401,0.868083,0.05632
1554455016218911903,162305,1554455016218856646,base_link,-14.040775,0.313933,-11.284587,0.024726,0.869678,0.056732
1554455016220914194,162306,1554455016220860540,base_link,-14.107364,0.260649,-11.749239,0.025567,0.870918,0.06275
1554455016222922384,162307,1554455016222870731,base_link,-14.081737,0.230344,-11.639721,0.025058,0.868597,0.060635
1554455016224936484,162308,1554455016224880441,base_link,-14.11451,0.207057,-11.146536,0.024879,0.86994,0.057834
1554455016226936083,162309,1554455016226878010,base_link,-14.143093,0.274322,-11.164155,0.024996,0.869215,0.056971
1554455016228921376,162310,1554455016228851324,base_link,-14.100671,0.264599,-11.144233,0.025936,0.869873,0.05679
1554455016230920412,162311,1554455016230857500,base_link,-14.149691,0.23346,-10.535577,0.025368,0.87033,0.049986
1554455016232961928,162312,1554455016232906856,base_link,-14.089095,0.263919,-10.664026,0.024672,0.871671,0.052073
1554455016234985620,162313,1554455016234920253,base_link,-14.1016,0.24848,-11.08168,0.025502,0.869291,0.056373
1554455016236980699,162314,1554455016236918707,base_link,-14.113642,0.239538,-11.188163,0.025106,0.870339,0.05804
1554455016239014112,162315,1554455016238926514,base_link,-14.129985,0.283061,-11.143391,0.026034,0.868936,0.056566
1554455016240995609,162316,1554455016240934569,base_link,-14.122522,0.239606,-11.747082,0.024116,0.86871,0.062703
1554455016242997562,162317,1554455016242936830,base_link,-14.137525,0.310244,-11.619473,0.025241,0.869989,0.06023
1554455016245007148,162318,1554455016244946282,base_link,-14.170956,0.307154,-11.247191,0.026483,0.870197,0.057187
1554455016246748665,162319,1554455016246667885,base_link,-14.08521,0.273637,-11.163098,0.023761,0.868814,0.056954
1554455016248734477,162320,1554455016248668681,base_link,-14.100263,0.282467,-11.18546,0.025415,0.869118,0.057184
1554455016250733949,162321,1554455016250680133,base_link,-14.135585,0.22708,-10.57917,0.025334,0.869471,0.051021
1554455016252749269,162322,1554455016252685631,base_link,-14.074375,0.289933,-10.724326,0.024543,0.87101,0.052046
1554455016254787987,162323,1554455016254691675,base_link,-14.058998,0.236675,-10.919045,0.02418,0.869756,0.056202
1554455016256762496,162324,1554455016256698970,base_link,-14.086981,0.225356,-11.161637,0.025353,0.86879,0.056343
1554455016258789316,162325,1554455016258709446,base_link,-14.100381,0.266059,-11.183706,0.025301,0.869104,0.05676
1554455016260751176,162326,1554455016260694889,base_link,-14.121211,0.267643,-11.686483,0.024318,0.871015,0.062327
1554455016262788568,162327,1554455016262688418,base_link,-14.080385,0.246121,-11.699513,0.024848,0.869169,0.060409
1554455016264795828,162328,1554455016264732912,base_link,-14.112498,0.256192,-11.247512,0.024578,0.870339,0.057802
1554455016266799722,162329,1554455016266742364,base_link,-14.100351,0.24885,-11.145995,0.024861,0.869293,0.057615
1554455016268813377,162330,1554455016268742599,base_link,-14.099978,0.247017,-11.16284,0.025815,0.870618,0.056369
1554455016270823218,162331,1554455016270756102,base_link,-14.121366,0.198954,-10.437468,0.024193,0.870314,0.05106
1554455016272832264,162332,1554455016272763175,base_link,-14.074948,0.289308,-10.68217,0.024861,0.871201,0.051431
1554455016274834423,162333,1554455016274771623,base_link,-14.142828,0.270716,-11.079687,0.024977,0.870733,0.055744
1554455016276838731,162334,1554455016276777759,base_link,-14.029108,0.273278,-11.164566,0.02542,0.869002,0.056984
1554455016278815029,162335,1554455016278742500,base_link,-14.072402,0.249993,-11.186945,0.025858,0.868909,0.057614
1554455016280832916,162336,1554455016280772527,base_link,-14.106866,0.261233,-11.789155,0.025248,0.870723,0.062731
1554455016282862769,162337,1554455016282800345,base_link,-14.079816,0.244093,-11.620359,0.02355,0.869554,0.061054
1554455016284857912,162338,1554455016284800342,base_link,-14.197569,0.275871,-11.365156,0.02463,0.86978,0.056906
1554455016286877016,162339,1554455016286811543,base_link,-14.044456,0.249368,-11.147021,0.026203,0.868908,0.057634
1554455016288878941,162340,1554455016288819830,base_link,-14.100989,0.182404,-11.041703,0.023115,0.868868,0.057194
1554455016290894445,162341,1554455016290827490,base_link,-14.206319,0.199542,-10.491126,0.024116,0.870883,0.049137
1554455016292902876,162342,1554455016292832364,base_link,-14.132478,0.258803,-10.728153,0.025235,0.870827,0.053106
1554455016294931367,162343,1554455016294846428,base_link,-14.100396,0.247886,-11.121518,0.024856,0.869664,0.056356
1554455016296882432,162344,1554455016296819522,base_link,-14.0861,0.274242,-11.184579,0.025371,0.869013,0.056973
1554455016298915539,162345,1554455016298856467,base_link,-14.029106,0.274163,-11.205003,0.025746,0.86881,0.056974
1554455016300927877,162346,1554455016300864270,base_link,-14.077767,0.343683,-11.790235,0.024883,0.870002,0.062929
1554455016302923715,162347,1554455016302871147,base_link,-14.051679,0.276204,-11.599903,0.024444,0.86976,0.060654
