%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1555680891939830049,276792,1555680891939523047,base_link,-17.969542,1.448655,-11.11492,0.049971,0.824164,0.027879
1555680891941770480,276793,1555680891941676094,base_link,-17.9391,1.478332,-11.028743,0.046995,0.824346,0.026808
1555680891943793956,276794,1555680891943679953,base_link,-17.97635,1.427939,-11.633653,0.047558,0.824424,0.032768
1555680891945811921,276795,1555680891945696983,base_link,-17.919589,1.424555,-11.570129,0.048558,0.825743,0.031553
1555680891947878681,276796,1555680891947712057,base_link,-17.995624,1.482045,-11.235865,0.04889,0.824364,0.028037
1555680891949795949,276797,1555680891949716334,base_link,-17.968711,1.466181,-11.153386,0.048806,0.8234,0.027629
1555680891951898107,276798,1555680891951709289,base_link,-17.926087,1.424301,-11.133472,0.048557,0.823463,0.027849
1555680891953786111,276799,1555680891953711133,base_link,-17.918771,1.474395,-10.405177,0.047644,0.823014,0.02128
1555680891955815799,276800,1555680891955738645,base_link,-17.944301,1.409297,-10.589835,0.0462,0.823731,0.022692
1555680891957817495,276801,1555680891957745517,base_link,-17.940613,1.429781,-10.967683,0.046978,0.823751,0.026821
1555680891959832234,276802,1555680891959755910,base_link,-17.981237,1.488989,-11.132222,0.047025,0.823884,0.027614
1555680891961844910,276803,1555680891961765932,base_link,-17.967118,1.463513,-11.09139,0.046541,0.823961,0.027623
1555680891963841038,276804,1555680891963767269,base_link,-18.003577,1.479291,-11.720553,0.04692,0.823704,0.034625
1555680891965845233,276805,1555680891965777392,base_link,-18.005355,1.460047,-11.588293,0.048077,0.824822,0.031098
1555680891967867495,276806,1555680891967791954,base_link,-17.967756,1.515108,-11.178568,0.048825,0.823628,0.028894
1555680891969575736,276807,1555680891969509971,base_link,-17.982374,1.503617,-11.073308,0.049058,0.825051,0.027463
1555680891971585227,276808,1555680891971523433,base_link,-17.967768,1.526447,-11.035942,0.049232,0.825738,0.028121
1555680891973593567,276809,1555680891973525949,base_link,-17.95852,1.465165,-10.570225,0.047541,0.824821,0.022304
1555680891975598360,276810,1555680891975537205,base_link,-17.929532,1.466671,-10.634611,0.047254,0.824057,0.023544
1555680891977609406,276811,1555680891977544267,base_link,-18.053133,1.460356,-10.907509,0.045479,0.825126,0.027035
1555680891979614379,276812,1555680891979553534,base_link,-17.967937,1.478679,-11.049712,0.047934,0.824737,0.026818
1555680891981626611,276813,1555680891981565171,base_link,-17.952965,1.468396,-11.028755,0.047558,0.825583,0.026618
1555680891983634782,276814,1555680891983575758,base_link,-17.975929,1.462212,-11.656195,0.046829,0.823493,0.033586
1555680891985631495,276815,1555680891985566382,base_link,-17.963038,1.370791,-11.628029,0.047817,0.824281,0.031293
1555680891987683552,276816,1555680891987578566,base_link,-17.923198,1.45731,-11.272087,0.047179,0.823648,0.027365
1555680891989723705,276817,1555680891989599955,base_link,-18.025081,1.462746,-11.093854,0.049055,0.825512,0.027671
1555680891991683916,276818,1555680891991610890,base_link,-17.9945,1.507741,-11.115797,0.049722,0.82782,0.027703
1555680891993836482,276819,1555680891993629600,base_link,-17.972747,1.487984,-10.469308,0.046724,0.825127,0.022325
1555680891995708692,276820,1555680891995630630,base_link,-17.957331,1.482782,-10.654051,0.047018,0.824449,0.023325
1555680891997794131,276821,1555680891997649874,base_link,-18.01112,1.520051,-10.993312,0.047859,0.824499,0.027884
1555680891999765781,276822,1555680891999651942,base_link,-17.995355,1.514465,-11.173054,0.047509,0.823806,0.027606
1555680892001787371,276823,1555680892001658516,base_link,-17.997551,1.516545,-11.174695,0.04977,0.823249,0.027631
1555680892003743353,276824,1555680892003664103,base_link,-17.975061,1.494694,-11.697822,0.047056,0.823892,0.033792
1555680892005708474,276825,1555680892005635669,base_link,-17.94973,1.461517,-11.552477,0.04846,0.823494,0.032373
1555680892007758592,276826,1555680892007688478,base_link,-17.952818,1.519381,-11.074013,0.047909,0.82486,0.02787
1555680892009846665,276827,1555680892009706847,base_link,-17.996253,1.482021,-11.113228,0.046961,0.823221,0.028033
1555680892011800268,276828,1555680892011701056,base_link,-17.938974,1.447376,-11.151467,0.048063,0.824327,0.02721
1555680892013910620,276829,1555680892013729293,base_link,-17.945837,1.407993,-10.441964,0.045871,0.823535,0.020825
1555680892015914480,276830,1555680892015724434,base_link,-17.971711,1.425462,-10.672835,0.046928,0.8247,0.023109
1555680892017866072,276831,1555680892017735049,base_link,-17.926144,1.468932,-10.907152,0.046945,0.824251,0.026633
1555680892019830878,276832,1555680892019741455,base_link,-17.937658,1.476824,-11.087223,0.046987,0.825477,0.026169
1555680892021819042,276833,1555680892021749262,base_link,-17.98098,1.534875,-11.092177,0.048635,0.825823,0.027037
1555680892023856021,276834,1555680892023755587,base_link,-17.960595,1.470961,-11.817381,0.04851,0.824344,0.033148
1555680892025804225,276835,1555680892025734074,base_link,-17.917191,1.522519,-11.610047,0.046989,0.825597,0.031514
1555680892027575704,276836,1555680892027491992,base_link,-17.951374,1.439228,-11.253027,0.04735,0.824791,0.027597
1555680892029571649,276837,1555680892029495729,base_link,-17.981273,1.452117,-11.051929,0.047739,0.825967,0.027463
1555680892031595509,276838,1555680892031507504,base_link,-17.968199,1.431382,-11.093403,0.047603,0.823953,0.028061
1555680892033581811,276839,1555680892033513652,base_link,-17.944063,1.487912,-10.528379,0.047715,0.825497,0.021693
1555680892035588729,276840,1555680892035520707,base_link,-17.972982,1.491551,-10.571976,0.047065,0.823795,0.022918
1555680892037603531,276841,1555680892037532682,base_link,-17.939796,1.460773,-11.028916,0.048803,0.825485,0.026425
1555680892039572126,276842,1555680892039504184,base_link,-17.912242,1.466082,-11.071612,0.047574,0.822244,0.027628
1555680892041593729,276843,1555680892041529752,base_link,-17.923657,1.47044,-11.110376,0.046632,0.824427,0.027204
1555680892043626631,276844,1555680892043555616,base_link,-17.935236,1.46935,-11.50971,0.047243,0.823012,0.031941
1555680892045642217,276845,1555680892045570185,base_link,-17.933928,1.46876,-11.569987,0.046918,0.823576,0.031925
1555680892047657557,276846,1555680892047578592,base_link,-17.995888,1.398364,-11.17338,0.04799,0.824885,0.02784
1555680892049657091,276847,1555680892049584443,base_link,-18.009745,1.470252,-11.130084,0.048479,0.825783,0.026598
1555680892051675791,276848,1555680892051595706,base_link,-17.966797,1.494806,-11.153143,0.049011,0.8257,0.027236
1555680892053717651,276849,1555680892053605641,base_link,-17.944186,1.520637,-10.486528,0.0473,0.825133,0.021272
1555680892055728218,276850,1555680892055615710,base_link,-18.00105,1.475242,-10.654228,0.04821,0.824745,0.02313
1555680892057745776,276851,1555680892057638112,base_link,-17.997393,1.512051,-11.02935,0.049103,0.824768,0.026414
1555680892059692603,276852,1555680892059598378,base_link,-17.995832,1.510664,-11.074111,0.048774,0.825725,0.027677
1555680892061708852,276853,1555680892061609447,base_link,-17.966688,1.415806,-11.209598,0.046851,0.823919,0.026957
1555680892063743354,276854,1555680892063658416,base_link,-17.917946,1.478176,-11.775569,0.048281,0.824242,0.032737
1555680892065742853,276855,1555680892065659015,base_link,-17.920024,1.459038,-11.547832,0.047831,0.824424,0.031109
1555680892067768122,276856,1555680892067675665,base_link,-17.951915,1.422278,-11.213597,0.047555,0.824979,0.027826
1555680892069759449,276857,1555680892069685153,base_link,-18.022673,1.461558,-11.173529,0.047763,0.826258,0.027637
1555680892071807831,276858,1555680892071693671,base_link,-17.996445,1.415912,-11.193412,0.048753,0.824515,0.027628
1555680892073763522,276859,1555680892073704545,base_link,-18.018574,1.398985,-10.359556,0.047028,0.824409,0.020024
1555680892075839341,276860,1555680892075716197,base_link,-18.028218,1.472963,-10.615441,0.046885,0.825703,0.023767
1555680892077832787,276861,1555680892077723962,base_link,-17.968408,1.459117,-10.891212,0.04716,0.825504,0.027711
1555680892079850403,276862,1555680892079700992,base_link,-17.952318,1.468178,-11.032715,0.046914,0.825589,0.027878
1555680892081800524,276863,1555680892081713170,base_link,-17.981645,1.471121,-11.090995,0.047546,0.824638,0.02722
1555680892083928837,276864,1555680892083754605,base_link,-17.889057,1.430545,-11.859611,0.047975,0.823638,0.033973
1555680892085838730,276865,1555680892085755809,base_link,-17.932616,1.497682,-11.549825,0.047446,0.825689,0.031539
1555680892087852956,276866,1555680892087766112,base_link,-18.008924,1.456855,-11.252635,0.047739,0.824624,0.027383
1555680892089570120,276867,1555680892089487740,base_link,-18.023791,1.494885,-11.13272,0.048636,0.825902,0.027234
1555680892091572024,276868,1555680892091495222,base_link,-17.995315,1.478519,-11.135438,0.048549,0.825703,0.028079
1555680892093886872,276869,1555680892093801291,base_link,-18.018238,1.481823,-10.383845,0.047602,0.824086,0.020866
