%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1583774106713371158,405,1583774106713287270,base_link,-16.708884,2.158415,-8.333796,0.063546,0.812343,0.028669
1583774106714242150,406,1583774106714163427,base_link,-16.678557,2.123794,-8.410918,0.063014,0.813441,0.027807
1583774106714829466,407,1583774106714721855,base_link,-16.732388,2.14558,-8.791101,0.064067,0.813291,0.032567
1583774106715451924,408,1583774106715316959,base_link,-16.587393,2.096911,-9.037064,0.064506,0.813413,0.033783
1583774106716247011,409,1583774106715974658,base_link,-16.715829,2.120648,-8.929016,0.063265,0.813917,0.031888
1583774106716845288,410,1583774106716752613,base_link,-16.687518,2.069738,-8.849592,0.062298,0.814078,0.032538
1583774106717410494,411,1583774106717328390,base_link,-16.67572,2.078183,-8.728114,0.063334,0.813427,0.03216
1583774106718296940,412,1583774106718198172,base_link,-16.718537,2.068113,-8.678294,0.063227,0.814458,0.029431
1583774106718916210,413,1583774106718774862,base_link,-16.635459,2.086073,-8.574466,0.06343,0.812358,0.028602
1583774106719485571,414,1583774106719347635,base_link,-16.593524,2.089159,-8.290113,0.061571,0.812837,0.028248
1583774106720276662,415,1583774106720184112,base_link,-16.749293,2.080327,-8.39192,0.063291,0.815437,0.028047
1583774106720839967,416,1583774106720767244,base_link,-16.663758,2.065217,-8.447814,0.062944,0.81425,0.02696
1583774106721386897,417,1583774106721319036,base_link,-16.592267,2.121694,-8.395299,0.062761,0.813813,0.02909
1583774106722066813,418,1583774106721930555,base_link,-16.635861,2.132858,-8.43402,0.063116,0.812777,0.028644
1583774106722891716,419,1583774106722754716,base_link,-16.707011,2.057413,-8.42927,0.06317,0.814357,0.02739
1583774106723471423,420,1583774106723351639,base_link,-16.65311,2.091097,-8.336374,0.066027,0.813641,0.028937
1583774106724009097,421,1583774106723914458,base_link,-16.635623,2.079272,-8.331012,0.06275,0.814651,0.028058
1583774106724862710,422,1583774106724785064,base_link,-16.757262,2.126533,-7.773183,0.063938,0.81377,0.023779
1583774106725430542,423,1583774106725344454,base_link,-16.768928,2.116285,-7.852427,0.062892,0.81518,0.023544
1583774106726059109,424,1583774106725946619,base_link,-16.613256,2.159406,-7.936444,0.065265,0.813753,0.023972
1583774106726917461,425,1583774106726797732,base_link,-16.642271,2.143419,-7.919259,0.065448,0.81376,0.024824
1583774106727520419,426,1583774106727417972,base_link,-16.770072,2.151419,-7.874292,0.064097,0.814256,0.023755
1583774106728075478,427,1583774106727952073,base_link,-16.695334,2.127211,-8.145066,0.064317,0.815082,0.026232
1583774106728876817,428,1583774106728799321,base_link,-16.649984,2.120181,-8.287802,0.062378,0.814387,0.027214
1583774106729463406,429,1583774106729370478,base_link,-16.635149,2.162961,-8.434376,0.064293,0.814512,0.028257
1583774106730053482,430,1583774106729944203,base_link,-16.651937,2.140201,-8.273832,0.063154,0.812515,0.0289
1583774106730919359,431,1583774106730808295,base_link,-16.69245,2.11478,-8.433167,0.063582,0.814301,0.028241
1583774106731449909,432,1583774106731370949,base_link,-16.662926,2.146869,-8.431145,0.062547,0.814114,0.027803
1583774106732041521,433,1583774106731947402,base_link,-16.765265,2.059931,-8.413484,0.063451,0.813433,0.028653
1583774106732897594,434,1583774106732816578,base_link,-16.606882,2.147471,-8.436652,0.06389,0.813739,0.029091
1583774106733494303,435,1583774106733364419,base_link,-16.721192,2.098368,-8.408741,0.06312,0.814288,0.027181
1583774106734039682,436,1583774106733961121,base_link,-16.692609,2.031103,-8.391121,0.063003,0.815013,0.028044
1583774106734932834,437,1583774106734828158,base_link,-16.673274,2.128335,-8.917126,0.064002,0.814032,0.034023
1583774106735533005,438,1583774106735411470,base_link,-16.629766,2.10161,-8.935286,0.064181,0.815048,0.033402
1583774106736074307,439,1583774106735973826,base_link,-16.715663,2.087118,-8.914471,0.063033,0.814293,0.033587
1583774106736943028,440,1583774106736822764,base_link,-16.718618,2.057246,-8.850842,0.063785,0.812565,0.032751
1583774106737523895,441,1583774106737406069,base_link,-16.647226,2.081758,-8.873893,0.064344,0.812285,0.033389
1583774106738075294,442,1583774106737973144,base_link,-16.691473,2.088717,-8.706472,0.063712,0.812199,0.031733
1583774106738929580,443,1583774106738843177,base_link,-16.66343,2.067472,-8.640367,0.065848,0.814845,0.02949
1583774106739492869,444,1583774106739412745,base_link,-16.679174,2.026388,-8.408909,0.062014,0.812807,0.027788
1583774106740067751,445,1583774106739965738,base_link,-16.692568,2.098371,-8.431412,0.063468,0.814288,0.027817
1583774106740968283,446,1583774106740840217,base_link,-16.692586,2.114813,-8.394528,0.062939,0.813926,0.028874
1583774106741498586,447,1583774106741405805,base_link,-16.621802,2.072842,-8.331486,0.062073,0.813406,0.028458
1583774106742088907,448,1583774106741971127,base_link,-16.692448,2.063877,-8.39239,0.06323,0.815035,0.028258
1583774106742999380,449,1583774106742891451,base_link,-16.622146,2.09004,-8.307877,0.061549,0.812646,0.027602
1583774106743527053,450,1583774106743427364,base_link,-16.678805,2.058286,-8.410621,0.062558,0.813402,0.028013
1583774106744078496,451,1583774106743998643,base_link,-16.708447,2.073031,-8.315316,0.063921,0.814396,0.029129
1583774106744991771,452,1583774106744870139,base_link,-16.685535,2.054727,-7.890016,0.063182,0.812644,0.023092
1583774106745556620,453,1583774106745436929,base_link,-16.643249,2.160067,-7.817096,0.064599,0.81282,0.02462
1583774106746131185,454,1583774106746017543,base_link,-16.670965,2.208385,-7.879648,0.066195,0.814192,0.024637
1583774106746662535,455,1583774106746589612,base_link,-16.670115,2.079037,-7.994321,0.064329,0.813515,0.023723
1583774106747562313,456,1583774106747453368,base_link,-16.699751,2.095193,-7.89537,0.064415,0.813354,0.024173
1583774106748127042,457,1583774106748030987,base_link,-16.697059,2.129554,-8.083904,0.064008,0.813373,0.026226
1583774106748968388,458,1583774106748873740,base_link,-16.678559,2.08741,-8.304741,0.062445,0.814746,0.026366
1583774106749548457,459,1583774106749453469,base_link,-16.765514,2.12574,-8.414302,0.06455,0.813476,0.028456
1583774106750100580,460,1583774106750028282,base_link,-16.649083,2.137222,-8.372592,0.062817,0.814592,0.028255
1583774106750654292,461,1583774106750587985,base_link,-16.679174,2.026388,-8.408909,0.062014,0.812807,0.027788
1583774106751569715,462,1583774106751426838,base_link,-16.69455,2.084698,-8.414376,0.064333,0.812961,0.028665
1583774106752105959,463,1583774106752018969,base_link,-16.690994,2.077889,-8.391748,0.062688,0.816181,0.028052
1583774106752948399,464,1583774106752885017,base_link,-16.678171,2.122078,-8.393603,0.063326,0.814402,0.028463
1583774106753589615,465,1583774106753484572,base_link,-16.706731,2.106596,-8.432294,0.063511,0.814393,0.028029
1583774106754108465,466,1583774106754030768,base_link,-16.692673,2.098368,-8.410973,0.063146,0.814097,0.027816
1583774106754690825,467,1583774106754602579,base_link,-16.620408,2.009527,-8.539936,0.062594,0.813562,0.030522
1583774106755597022,468,1583774106755491051,base_link,-16.658285,2.13711,-8.998794,0.064397,0.814126,0.034218
1583774106756139204,469,1583774106756038739,base_link,-16.702869,2.06123,-8.807084,0.06319,0.814364,0.03172
1583774106756667699,470,1583774106756582630,base_link,-16.674265,2.065336,-8.92922,0.062918,0.812449,0.032293
1583774106757601509,471,1583774106757491846,base_link,-16.702545,2.127664,-8.850058,0.063972,0.814217,0.032138
1583774106758149341,472,1583774106758054381,base_link,-16.705267,2.09334,-8.643324,0.064057,0.814013,0.030719
1583774106758737084,473,1583774106758623100,base_link,-16.677669,2.044901,-8.594491,0.062783,0.812815,0.0288
1583774106759591715,474,1583774106759513845,base_link,-16.67817,2.070292,-8.31239,0.062648,0.815327,0.02849
1583774106760192420,475,1583774106760078299,base_link,-16.67837,2.074348,-8.389174,0.061706,0.813216,0.027793
1583774106760726521,476,1583774106760625606,base_link,-16.695897,2.134818,-8.380323,0.065965,0.812633,0.029964
1583774106761573744,477,1583774106761509243,base_link,-16.664334,2.098322,-8.390525,0.062852,0.81371,0.027816
1583774106762138924,478,1583774106762041093,base_link,-16.649566,2.074397,-8.434526,0.062376,0.813411,0.029064
1583774106762778773,479,1583774106762671057,base_link,-16.593205,2.039153,-8.351091,0.06251,0.81395,0.028257
1583774106763598439,480,1583774106763509585,base_link,-16.720695,2.098067,-8.40822,0.062475,0.814284,0.027172
1583774106764204607,481,1583774106764096195,base_link,-16.664349,2.063862,-8.312864,0.061971,0.814082,0.02889
1583774106764748433,482,1583774106764653952,base_link,-16.66807,2.096445,-8.122986,0.063806,0.813531,0.026004
1583774106765577533,483,1583774106765514680,base_link,-16.700582,2.127326,-7.772724,0.063675,0.812804,0.023769
1583774106766216103,484,1583774106766113881,base_link,-16.699339,2.063043,-7.936257,0.063869,0.813141,0.024574
1583774106766779637,485,1583774106766678982,base_link,-16.69819,2.226006,-7.981682,0.065967,0.814202,0.025023
1583774106767666118,486,1583774106767531755,base_link,-16.684621,2.151415,-7.860549,0.063856,0.813492,0.025659
1583774106768181452,487,1583774106768105745,base_link,-16.638054,2.126823,-8.12409,0.063404,0.814495,0.026223
1583774106768794014,488,1583774106768695262,base_link,-16.708983,2.154193,-8.248051,0.064487,0.814432,0.026828
1583774106769337463,489,1583774106769238991,base_link,-16.692338,2.144822,-8.329085,0.063152,0.815078,0.027217
1583774106770178212,490,1583774106770096324,base_link,-16.579177,2.048134,-8.367481,0.062585,0.813466,0.02719
1583774106770746920,491,1583774106770672192,base_link,-16.606029,2.162664,-8.456527,0.063997,0.814507,0.028884
1583774106771356398,492,1583774106771257966,base_link,-16.649518,2.12116,-8.394038,0.063669,0.814778,0.028475
1583774106772182018,493,1583774106772104810,base_link,-16.635705,2.049192,-8.453293,0.063501,0.81406,0.028449
1583774106772737088,494,1583774106772660930,base_link,-16.69279,2.082844,-8.449655,0.063359,0.813891,0.027382
1583774106773320491,495,1583774106773247397,base_link,-16.620472,2.120822,-8.413949,0.063373,0.814768,0.028467
1583774106774184817,496,1583774106774118904,base_link,-16.708947,2.04382,-8.396275,0.063713,0.81285,0.029507
1583774106774775392,497,1583774106774691160,base_link,-16.673678,2.12728,-8.847288,0.063354,0.814011,0.031495
1583774106775324039,498,1583774106775259124,base_link,-16.743209,2.119603,-8.974305,0.063554,0.815074,0.033159
1583774106776198835,499,1583774106776119638,base_link,-16.703673,2.129184,-8.852897,0.064944,0.813658,0.03278
1583774106776798253,500,1583774106776697916,base_link,-16.672853,2.127108,-8.873928,0.063031,0.814214,0.03339
1583774106777335452,501,1583774106777269964,base_link,-16.731104,2.113067,-8.929184,0.064484,0.814017,0.031694
1583774106778215668,502,1583774106778133811,base_link,-16.706194,2.07899,-8.661645,0.064276,0.813048,0.030282
1583774106778786376,503,1583774106778699553,base_link,-16.663955,2.102068,-8.563473,0.064157,0.812971,0.030948
1583774106779362186,504,1583774106779272404,base_link,-16.692953,2.100971,-8.489163,0.063482,0.813136,0.027151
1583774106780329866,505,1583774106780107932,base_link,-16.692641,2.082927,-8.454135,0.063359,0.813902,0.028651
1583774106780776552,506,1583774106780714199,base_link,-16.649774,2.155688,-8.394421,0.063263,0.813655,0.028667
1583774106781355696,507,1583774106781284088,base_link,-16.664079,2.046622,-8.334232,0.062495,0.814837,0.029112
1583774106782186816,508,1583774106782115386,base_link,-16.664001,2.065605,-8.473255,0.06391,0.814455,0.028239
1583774106782786480,509,1583774106782723495,base_link,-16.664392,2.064667,-8.36926,0.062619,0.81407,0.027612
1583774106783341888,510,1583774106783265903,base_link,-16.678302,2.089266,-8.410534,0.063419,0.814564,0.027615
1583774106784240151,511,1583774106784155942,base_link,-16.664078,2.063794,-8.390142,0.063257,0.814833,0.027624
1583774106784821925,512,1583774106784733054,base_link,-16.728159,2.109305,-7.858102,0.065453,0.814906,0.024638
1583774106785353618,513,1583774106785277718,base_link,-16.701434,2.113018,-7.793285,0.063893,0.811845,0.023967
1583774106786247735,514,1583774106786164111,base_link,-16.784703,2.079493,-7.933555,0.063902,0.813734,0.023728
1583774106786823827,515,1583774106786740667,base_link,-16.641317,2.12822,-7.999576,0.064698,0.813361,0.024996
1583774106787395224,516,1583774106787313235,base_link,-16.756397,2.094888,-7.869945,0.063395,0.813542,0.022893
1583774106788241978,517,1583774106788173561,base_link,-16.724177,2.175806,-8.085502,0.064628,0.815315,0.026254
1583774106788833811,518,1583774106788749189,base_link,-16.666849,2.097737,-8.209538,0.063169,0.813157,0.027869
1583774106789386384,519,1583774106789322827,base_link,-16.621831,2.090051,-8.369196,0.062513,0.813217,0.027604
1583774106790247692,520,1583774106790183872,base_link,-16.621178,2.121999,-8.414027,0.063701,0.814199,0.028465
1583774106790784885,521,1583774106790720106,base_link,-16.721825,2.018288,-8.410284,0.061917,0.8131,0.028209
1583774106791393143,522,1583774106791329098,base_link,-16.578805,2.081801,-8.450065,0.063782,0.813678,0.027395
1583774106792265345,523,1583774106792190772,base_link,-16.664173,2.131097,-8.391794,0.063079,0.813732,0.02803
1583774106792814805,524,1583774106792752470,base_link,-16.607121,2.112886,-8.35227,0.063009,0.814095,0.028263
1583774106793402292,525,1583774106793335500,base_link,-16.678599,2.108312,-8.45184,0.063226,0.813241,0.028007
1583774106794266657,526,1583774106794198595,base_link,-16.694496,2.1157,-8.314332,0.063586,0.813176,0.028899
1583774106794842333,527,1583774106794776327,base_link,-16.687205,2.104365,-8.936214,0.063178,0.813728,0.034001
1583774106795406710,528,1583774106795343500,base_link,-16.701295,2.180705,-9.036022,0.064335,0.813102,0.033342
1583774106796275562,529,1583774106796210816,base_link,-16.646086,2.11293,-8.867842,0.0636,0.812855,0.031693
1583774106796866661,530,1583774106796785473,base_link,-16.673442,2.080567,-8.930896,0.062704,0.813031,0.03272
1583774106797420613,531,1583774106797349250,base_link,-16.645203,2.110913,-8.850006,0.063267,0.813811,0.03234
1583774106797993425,532,1583774106797931658,base_link,-16.706017,2.077267,-8.603452,0.063945,0.813627,0.030937
1583774106798857962,533,1583774106798791464,base_link,-16.664151,2.083849,-8.478605,0.06339,0.813335,0.029909
1583774106799420002,534,1583774106799360090,base_link,-16.691843,2.065349,-8.493182,0.06356,0.814838,0.02823
1583774106800005471,535,1583774106799933312,base_link,-16.73634,2.156445,-8.336409,0.063508,0.813686,0.029316
1583774106800884945,536,1583774106800800101,base_link,-16.692627,2.063832,-8.36971,0.062909,0.814839,0.027623
1583774106801478086,537,1583774106801366878,base_link,-16.664375,2.031053,-8.350234,0.062386,0.814435,0.028043
1583774106802051949,538,1583774106801943825,base_link,-16.694228,2.097577,-8.295264,0.063784,0.814122,0.029131
1583774106802889353,539,1583774106802822202,base_link,-16.63482,2.045933,-8.310502,0.060912,0.814436,0.02846
1583774106803427264,540,1583774106803346555,base_link,-16.690869,2.096592,-8.430292,0.061851,0.814848,0.027801
1583774106804049476,541,1583774106803950790,base_link,-16.635916,2.065472,-8.427887,0.063293,0.813867,0.026969
1583774106804942821,542,1583774106804814707,base_link,-16.744467,2.10153,-7.706232,0.064421,0.813649,0.021902
