%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.torques0.timeStamp,field.torques0.joint_uri,field.torques0.unit,field.torques0.value
1583862914995822304,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862914996679171,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862914997678434,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862914998660813,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915027225593,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915028065002,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915029025506,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915029990535,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915030989623,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915031982443,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915033027801,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915033989526,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915034987740,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915035975581,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915036988026,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915037980706,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915066650707,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915067467291,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915068425882,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915069421638,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915070401900,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915071406514,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915072392594,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915073387331,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915074411484,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915075386495,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915076394258,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915077397466,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915078391623,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915107800417,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915108659604,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915109562455,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915110556692,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915111580288,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915112575737,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915113541735,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915114567260,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915115564590,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915116578947,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915117545771,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915118565206,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915147866323,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915148699744,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915149567489,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915150581850,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915151587855,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915152570983,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915153565155,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915154598360,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915155577385,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915156566885,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915157578644,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915158542888,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915188096082,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915188952075,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915189848157,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915190847970,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915191868525,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915192837663,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915193862411,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915194851226,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915195874652,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915196849763,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915197873812,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915198845464,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915227192558,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915228062738,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915228968944,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915229996185,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915230974694,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915231989411,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915233014980,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915234005187,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915235004623,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915235986011,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915236959144,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915237993890,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915267974574,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915268888067,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915269758759,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915270747431,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915271727055,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915272759870,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915273738376,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915274752122,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915275751006,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915276770943,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915277740910,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915278755957,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915308135619,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915309005634,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915309900676,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915310917100,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915311916255,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915312909486,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915313922232,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915314879210,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915315904730,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915316893042,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915317925724,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915318904127,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915347776107,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915348670165,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915349502061,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915350534099,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915351515917,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915352513480,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915353520395,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915354523376,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915355537437,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915356513547,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915357514227,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915358528749,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915388270434,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915389122977,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915390052636,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915391075442,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915392063150,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915393052484,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915394050096,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915395037227,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915396043090,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915397043651,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915398026545,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915428324209,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
