%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.velocities0.timeStamp,field.velocities0.joint_uri,field.velocities0.unit,field.velocities0.value,field.velocities1.timeStamp,field.velocities1.joint_uri,field.velocities1.unit,field.velocities1.value,field.velocities2.timeStamp,field.velocities2.joint_uri,field.velocities2.unit,field.velocities2.value
1576160804238514615,,,0.0,0,arm_joint_2,s^-1 rad,0.00210432708263,0,arm_joint_3,s^-1 rad,-0.00737686920911,0,arm_joint_4,s^-1 rad,-0.00135520554613
1576160804245180962,,,0.0,0,arm_joint_2,s^-1 rad,0.00106724095531,0,arm_joint_3,s^-1 rad,-0.00374128948897,0,arm_joint_4,s^-1 rad,-0.00068731274223
1576160804251838833,,,0.0,0,arm_joint_2,s^-1 rad,0.0020484761335,0,arm_joint_3,s^-1 rad,-0.00718107959256,0,arm_joint_4,s^-1 rad,-0.00131923693698
1576160804258656040,,,0.0,0,arm_joint_2,s^-1 rad,0.00105182174593,0,arm_joint_3,s^-1 rad,-0.00368714681827,0,arm_joint_4,s^-1 rad,-0.000677369185723
1576160804265158342,,,0.0,0,arm_joint_2,s^-1 rad,0.00208892626688,0,arm_joint_3,s^-1 rad,-0.00732270209119,0,arm_joint_4,s^-1 rad,-0.00134526041802
1576160804271818432,,,0.0,0,arm_joint_2,s^-1 rad,0.00201255339198,0,arm_joint_3,s^-1 rad,-0.00705497851595,0,arm_joint_4,s^-1 rad,-0.00129607669078
1576160804278501242,,,0.0,0,arm_joint_2,s^-1 rad,0.00208892626688,0,arm_joint_3,s^-1 rad,-0.00732270209119,0,arm_joint_4,s^-1 rad,-0.00134526041802
1576160804285170366,,,0.0,0,arm_joint_2,s^-1 rad,0.00105182174593,0,arm_joint_3,s^-1 rad,-0.00368714681827,0,arm_joint_4,s^-1 rad,-0.000677369185723
1576160804291816418,,,0.0,0,arm_joint_2,s^-1 rad,0.0020156763494,0,arm_joint_3,s^-1 rad,-0.00706592574716,0,arm_joint_4,s^-1 rad,-0.00129808788188
1576160804298677816,,,0.0,0,arm_joint_2,s^-1 rad,0.00208131503314,0,arm_joint_3,s^-1 rad,-0.00729602063075,0,arm_joint_4,s^-1 rad,-0.00134035875089
1576160804305284975,,,0.0,0,arm_joint_2,s^-1 rad,0.00105182174593,0,arm_joint_3,s^-1 rad,-0.00368714681827,0,arm_joint_4,s^-1 rad,-0.000677369185723
1576160804311859516,,,0.0,0,arm_joint_2,s^-1 rad,0.00201247096993,0,arm_joint_3,s^-1 rad,-0.00705478619784,0,arm_joint_4,s^-1 rad,-0.00129604351241
1576160804318502279,,,0.0,0,arm_joint_2,s^-1 rad,0.00105183536652,0,arm_joint_3,s^-1 rad,-0.00368724483997,0,arm_joint_4,s^-1 rad,-0.000677388277836
1576160804325178253,,,0.0,0,arm_joint_2,s^-1 rad,0.00105183536652,0,arm_joint_3,s^-1 rad,-0.00368724483997,0,arm_joint_4,s^-1 rad,-0.000677388277836
1576160804331837314,,,0.0,0,arm_joint_2,s^-1 rad,0.00201247096993,0,arm_joint_3,s^-1 rad,-0.00705478619784,0,arm_joint_4,s^-1 rad,-0.00129604351241
1576160804338502792,,,0.0,0,arm_joint_2,s^-1 rad,0.00208892067894,0,arm_joint_3,s^-1 rad,-0.00732278311625,0,arm_joint_4,s^-1 rad,-0.00134527753107
1576160804345162511,,,0.0,0,arm_joint_2,s^-1 rad,0.00208892067894,0,arm_joint_3,s^-1 rad,-0.00732278311625,0,arm_joint_4,s^-1 rad,-0.00134527753107
1576160804351831584,,,0.0,0,arm_joint_2,s^-1 rad,0.00201237364672,0,arm_joint_3,s^-1 rad,-0.00705427350476,0,arm_joint_4,s^-1 rad,-0.00129595515318
1576160804358560477,,,0.0,0,arm_joint_2,s^-1 rad,0.00105193431955,0,arm_joint_3,s^-1 rad,-0.00368750235066,0,arm_joint_4,s^-1 rad,-0.00067743868567
1576160804365171423,,,0.0,0,arm_joint_2,s^-1 rad,0.00105193431955,0,arm_joint_3,s^-1 rad,-0.00368750235066,0,arm_joint_4,s^-1 rad,-0.00067743868567
1576160804371839869,,,0.0,0,arm_joint_2,s^-1 rad,0.00205081910826,0,arm_joint_3,s^-1 rad,-0.00718886684626,0,arm_joint_4,s^-1 rad,-0.00132068747189
1576160804378507544,,,0.0,0,arm_joint_2,s^-1 rad,0.00208916445263,0,arm_joint_3,s^-1 rad,-0.00732328137383,0,arm_joint_4,s^-1 rad,-0.00134538114071
1576160804385197877,,,0.0,0,arm_joint_2,s^-1 rad,0.0010520425858,0,arm_joint_3,s^-1 rad,-0.00368779199198,0,arm_joint_4,s^-1 rad,-0.000677494914271
1576160804391832241,,,0.0,0,arm_joint_2,s^-1 rad,0.00201231776737,0,arm_joint_3,s^-1 rad,-0.00705373147503,0,arm_joint_4,s^-1 rad,-0.00129586737603
1576160804398484245,,,0.0,0,arm_joint_2,s^-1 rad,0.00105214188807,0,arm_joint_3,s^-1 rad,-0.00368804926984,0,arm_joint_4,s^-1 rad,-0.000677545322105
1576160804405187351,,,0.0,0,arm_joint_2,s^-1 rad,0.00208928226493,0,arm_joint_3,s^-1 rad,-0.00732351420447,0,arm_joint_4,s^-1 rad,-0.00134543015156
1576160804411826325,,,0.0,0,arm_joint_2,s^-1 rad,0.00201218668371,0,arm_joint_3,s^-1 rad,-0.00705327279866,0,arm_joint_4,s^-1 rad,-0.00129578309134
1576160804418492543,,,0.0,0,arm_joint_2,s^-1 rad,0.00105214188807,0,arm_joint_3,s^-1 rad,-0.00368804926984,0,arm_joint_4,s^-1 rad,-0.000677545322105
1576160804425217706,,,0.0,0,arm_joint_2,s^-1 rad,0.00105212244671,0,arm_joint_3,s^-1 rad,-0.00368803110905,0,arm_joint_4,s^-1 rad,-0.000677542993799
1576160804431864855,,,0.0,0,arm_joint_2,s^-1 rad,0.00201210426167,0,arm_joint_3,s^-1 rad,-0.00705307954922,0,arm_joint_4,s^-1 rad,-0.00129574968014
1576160804438483299,,,0.0,0,arm_joint_2,s^-1 rad,0.00105215574149,0,arm_joint_3,s^-1 rad,-0.00368814799003,0,arm_joint_4,s^-1 rad,-0.000677564472426
1576160804445319298,,,0.0,0,arm_joint_2,s^-1 rad,0.00105215574149,0,arm_joint_3,s^-1 rad,-0.00368814799003,0,arm_joint_4,s^-1 rad,-0.000677564472426
1576160804451849777,,,0.0,0,arm_joint_2,s^-1 rad,0.00201210426167,0,arm_joint_3,s^-1 rad,-0.00705307954922,0,arm_joint_4,s^-1 rad,-0.00129574968014
1576160804458496302,,,0.0,0,arm_joint_2,s^-1 rad,0.00105217262171,0,arm_joint_3,s^-1 rad,-0.00368811981753,0,arm_joint_4,s^-1 rad,-0.000677562318742
1576160804465171791,,,0.0,0,arm_joint_2,s^-1 rad,0.00106764037628,0,arm_joint_3,s^-1 rad,-0.00374233815819,0,arm_joint_4,s^-1 rad,-0.000687523046508
1576160804471810031,,,0.0,0,arm_joint_2,s^-1 rad,0.00201200949959,0,arm_joint_3,s^-1 rad,-0.00705257989466,0,arm_joint_4,s^-1 rad,-0.0012956635328
1576160804478497750,,,0.0,0,arm_joint_2,s^-1 rad,0.00107105122879,0,arm_joint_3,s^-1 rad,-0.00375429377891,0,arm_joint_4,s^-1 rad,-0.000689719454385
1576160804485210011,,,0.0,0,arm_joint_2,s^-1 rad,0.00105225143488,0,arm_joint_3,s^-1 rad,-0.00368839595467,0,arm_joint_4,s^-1 rad,-0.000677613075823
1576160804491843520,,,0.0,0,arm_joint_2,s^-1 rad,0.00201200949959,0,arm_joint_3,s^-1 rad,-0.00705257989466,0,arm_joint_4,s^-1 rad,-0.0012956635328
