%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.velocities0.timeStamp,field.velocities0.joint_uri,field.velocities0.unit,field.velocities0.value
1576487399709694583,,,0.0,1576487399000000000,arm_joint_5,s^-1 rad,0.0
1576487399713225722,,,0.0,1576487399000000000,arm_joint_5,s^-1 rad,0.0
1576487399770486818,,,0.0,1576487399000000000,arm_joint_5,s^-1 rad,0.0
1576487399828212781,,,0.0,1576487399000000000,arm_joint_5,s^-1 rad,0.0
1576487399886479665,,,0.0,1576487399000000000,arm_joint_5,s^-1 rad,0.0
1576487399942740601,,,0.0,1576487399000000000,arm_joint_5,s^-1 rad,0.0
1576487399998137956,,,0.0,1576487399000000000,arm_joint_5,s^-1 rad,0.0
1576487400052413831,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400109700516,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400168129577,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400229381180,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400290653076,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400347708847,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400405533097,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400460927233,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400517375163,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400573863005,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400631260309,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400687212118,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400743963834,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400801138060,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400857836220,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400922082736,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487400980162041,,,0.0,1576487400000000000,arm_joint_5,s^-1 rad,0.0
1576487401054518868,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401114259906,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401170397670,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401224796484,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401281347930,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401340740048,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401398291375,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401455356227,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401515439307,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401574271464,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401633596957,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401695359469,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401755108714,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401812768974,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401869514777,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401926693531,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487401983388397,,,0.0,1576487401000000000,arm_joint_5,s^-1 rad,0.0
1576487402039636033,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402098499618,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402157223183,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402215291846,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402270705667,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402326534454,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402382237476,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402440769124,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402499278323,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402556091643,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
