%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1576487397670937812,289306,1576487397670826266,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.003479,0.0,0.0
1576487397671609177,289307,1576487397671490973,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00335,0.003621,0.003479,0.0,0.0
1576487397672254967,289308,1576487397672157687,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00335,0.003621,0.003479,0.0,0.0
1576487397672923691,289309,1576487397672824326,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00335,-0.0,-0.0,0.0,0.0
1576487397673595638,289310,1576487397673490112,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.003479,0.0,0.0
1576487397674316682,289311,1576487397674160765,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.003479,0.0,0.0
1576487397674964247,289312,1576487397674828294,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1576487397675664580,289313,1576487397675493040,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.005226,-0.0,0.0,-0.0,-0.006958,0.0,0.0
1576487397676285785,289314,1576487397676158334,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.005226,-0.0,0.0,-0.0,-0.006958,0.0,0.0
1576487397676937424,289315,1576487397676826942,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.003621,-0.0,0.0,0.0
1576487397677596193,289316,1576487397677492247,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.003621,-0.0,0.0,0.0
1576487397678275602,289317,1576487397678158069,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.00335,0.003621,-0.0,0.0,0.0
1576487397678957519,289318,1576487397678826288,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.00335,0.003621,-0.006958,0.0,0.0
1576487397679616804,289319,1576487397679490469,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.00335,0.003621,-0.006958,0.0,0.0
1576487397680286047,289320,1576487397680159811,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00335,-0.0,0.006958,0.0,0.0
1576487397680951743,289321,1576487397680826843,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.003479,0.0,0.0
1576487397681630166,289322,1576487397681492368,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.003479,0.0,0.0
1576487397682283353,289323,1576487397682157932,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,1.0069207223e-05,3.02076216691e-05,-7.85398163397e-05,-4.42477838534e-05,0.00727876044388,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.005226,-0.0,0.0,-0.0,-0.0,0.0,0.0
