%time,field.stamp,field.data
1579171399774347301,1579171399774254372,1
1579171399805299252,1579171399805244691,0
1579171400806448314,1579171400806328416,1
1579171427609253774,1579171427609160095,1
1579171427640235075,1579171427640171798,0
1579171428641274047,1579171428641165550,1
1579171428672236122,1579171428672170588,0
1579171429673208812,1579171429673148929,1
1579171429704199402,1579171429704134878,0
1579171430705239755,1579171430705175201,1
1579171430736217109,1579171430736155395,0
1579171431737247368,1579171431737175228,1
1579171431768255285,1579171431768177584,0
1579171432769235047,1579171432769182120,1
1579171432800235685,1579171432800177855,0
1579171433801266209,1579171433801201932,1
1579171433832252417,1579171433832180196,0
1579171434833227899,1579171434833162747,1
1579171434864215443,1579171434864143339,0
1579171435865229308,1579171435865171438,1
1579171435896228182,1579171435896139140,0
1579171436897197511,1579171436897140380,1
1579171436928208000,1579171436928136953,0
1579171437929200278,1579171437929140535,1
1579171437960200972,1579171437960143289,0
1579171438961220396,1579171438961153286,1
1579171438992208077,1579171438992139749,0
1579171439993250679,1579171439993186188,1
1579171440024203270,1579171440024137432,0
1579171441025192677,1579171441025148188,1
1579171441056238675,1579171441056165229,0
1579171442057212761,1579171442057140519,1
1579171442088203244,1579171442088142836,0
1579171443089237195,1579171443089166577,1
1579171443120195063,1579171443120141797,0
1579171444121239351,1579171444121160320,1
1579171444152251627,1579171444152182152,0
1579171445153205837,1579171445153141641,1
1579171445184204714,1579171445184144235,0
1579171446185188237,1579171446185141423,1
1579171446216231800,1579171446216173642,0
1579171447217247568,1579171447217175579,1
1579171447248234894,1579171447248166711,0
1579171448249245134,1579171448249176018,1
1579171448280240062,1579171448280166259,0
1579171449281204194,1579171449281147622,1
1579171449312200625,1579171449312134667,0
1579171450313240550,1579171450313175943,1
1579171450344222566,1579171450344166116,0
1579171451345242251,1579171451345175427,1
1579171451376239318,1579171451376158946,0
1579171452377225129,1579171452377151711,1
1579171452408212070,1579171452408145565,0
1579171453409206222,1579171453409141300,1
1579171453440232917,1579171453440163664,0
1579171454441244916,1579171454441166787,1
1579171454472231670,1579171454472160285,0
1579171455473200419,1579171455473144028,1
1579171455504194634,1579171455504133925,0
1579171456505220126,1579171456505163479,1
1579171456536283952,1579171456536210694,0
1579171457537237052,1579171457537177271,1
1579171457568225143,1579171457568161619,0
1579171458569200332,1579171458569150134,1
1579171458600199796,1579171458600149922,0
1579171459601230609,1579171459601171697,1
1579171459632218065,1579171459632139262,0
1579171460633244526,1579171460633184765,1
1579171460664239695,1579171460664154285,0
1579171461665239526,1579171461665184231,1
1579171461696271546,1579171461696169574,0
1579171462697260373,1579171462697175074,1
1579171462728267617,1579171462728174537,0
1579171463729194352,1579171463729142441,1
1579171463760244705,1579171463760138374,0
1579171464761212587,1579171464761160812,1
1579171464792204715,1579171464792135572,0
1579171465793195316,1579171465793147123,1
1579171465824240014,1579171465824169516,0
1579171466825270182,1579171466825185954,1
1579171466856218765,1579171466856158894,0
1579171467857256843,1579171467857183906,1
1579171467888248450,1579171467888174865,0
1579171468889262016,1579171468889175619,1
1579171468920197164,1579171468920149337,0
1579171469921230630,1579171469921169864,1
1579171469952220521,1579171469952146468,0
1579171470953235122,1579171470953180818,1
1579171470984225007,1579171470984156105,0
1579171471985234553,1579171471985188530,1
1579171472016222732,1579171472016151458,0
1579171473017212164,1579171473017149241,1
1579171473048224119,1579171473048145823,0
1579171474049251078,1579171474049181883,1
1579171474080208885,1579171474080147345,0
1579171475081201570,1579171475081140511,1
1579171475112237264,1579171475112155718,0
1579171476113232309,1579171476113167842,1
1579171476144248209,1579171476144164710,0
1579171477145242196,1579171477145181236,1
1579171477176196445,1579171477176143749,0
1579171478177220644,1579171478177138434,1
1579171478208221002,1579171478208157795,0
1579171479209243512,1579171479209175811,1
1579171479240213362,1579171479240142727,0
1579171480241228127,1579171480241154547,1
1579171480272224178,1579171480272149834,0
1579171481273218270,1579171481273142259,1
1579171481304277366,1579171481304142939,0
1579171482305236114,1579171482305184603,1
1579171482336211222,1579171482336131489,0
1579171483337198662,1579171483337141470,1
1579171483368217880,1579171483368150724,0
1579171484369245967,1579171484369185395,1
1579171484400190664,1579171484400133255,0
1579171485401219715,1579171485401164733,1
1579171485432201713,1579171485432148959,0
1579171486433213148,1579171486433152728,1
1579171486464279179,1579171486464143080,0
1579171487465239446,1579171487465181904,1
1579171487496214391,1579171487496146777,0
1579171488497245376,1579171488497183389,1
1579171488528211489,1579171488528147261,0
1579171489529206584,1579171489529165088,1
1579171489560205285,1579171489560140080,0
1579171490561210230,1579171490561146297,1
1579171490592244157,1579171490592142161,0
1579171491593212149,1579171491593169787,1
1579171491624231742,1579171491624144517,0
1579171492625248188,1579171492625176579,1
1579171492656266268,1579171492656158634,0
1579171493657235232,1579171493657184476,1
1579171493688221898,1579171493688137107,0
