%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1576658838782749079,262564,1576658838782527520,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838783346201,262565,1576658838783203515,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838784005515,262566,1576658838783868030,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838784677039,262567,1576658838784536719,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838785340739,262568,1576658838785203723,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838786014687,262569,1576658838785879666,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838786689783,262570,1576658838786535672,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838787320681,262571,1576658838787203993,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838788010127,262572,1576658838787869433,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838788666521,262573,1576658838788536305,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838789353797,262574,1576658838789207192,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838790018212,262575,1576658838789870028,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838790691251,262576,1576658838790535899,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838791319511,262577,1576658838791203934,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838791997397,262578,1576658838791873055,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838792667221,262579,1576658838792542516,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838793350983,262580,1576658838793203245,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838794040371,262581,1576658838793872660,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838794658615,262582,1576658838794536247,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
1576658838795325638,262583,1576658838795203485,,arm_joint_1,arm_joint_2,arm_joint_3,arm_joint_4,arm_joint_5,,,-0.0,1.1344673702,-2.54817721725,1.78896002508,-0.0,0.0,0.0,-0.10471975512,-0.0,0.0,-0.0,-0.10471975512,0.0,0.0,-0.0,0.073164,0.07035,-0.07242,-0.0,0.0,0.0
